Technique ID,Test Support,Train Support,Precision (%),Recall (%),F1-Score (%),Optimal Threshold,Group,False Negatives
T1027,358,1432,83.63,78.49,80.98,0.75,Head (>500),77
T1059,257,1028,78.68,78.99,78.83,0.8,Head (>500),53
T1105,168,670,74.05,81.55,77.62,0.7,Head (>500),30
T1078,77,310,79.66,61.04,69.12,0.9,Major (100-499),29
T1082,105,419,78.79,74.29,76.47,0.7,Major (100-499),26
T1083,88,351,64.29,71.59,67.74,0.7,Major (100-499),25
T1106,102,406,70.91,76.47,73.58,0.7,Major (100-499),24
T1218,69,274,88.68,68.12,77.05,0.9,Major (100-499),21
T1041,48,194,66.67,62.5,64.52,0.85,Major (100-499),18
T1021,67,267,77.78,73.13,75.38,0.9,Major (100-499),18
