Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.75,0.2727272727272727,0.4,3,1,8,0.62,Medium,global
T1003,237,237,68,0.8548387096774194,0.7794117647058824,0.8153846153846154,53,9,15,0.62,Head,global
T1005,156,156,44,0.5952380952380952,0.5681818181818182,0.5813953488372093,25,17,19,0.62,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.62,Tail,global
T1007,34,34,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.62,Medium,global
T1008,31,31,9,0.25,0.1111111111111111,0.15384615384615385,1,3,8,0.62,Medium,global
T1010,17,17,5,1.0,0.6,0.75,3,0,2,0.62,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.62,Tail,global
T1012,88,88,25,0.782608695652174,0.72,0.75,18,5,7,0.62,Medium,global
T1014,19,19,5,1.0,1.0,1.0,5,0,0,0.62,Tail,global
T1016,182,182,52,0.7547169811320755,0.7692307692307693,0.7619047619047619,40,13,12,0.62,Head,global
T1018,40,40,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.62,Medium,global
T1020,18,18,5,0.0,0.0,0.0,0,0,5,0.62,Tail,global
T1021,226,226,64,0.7741935483870968,0.75,0.7619047619047619,48,14,16,0.62,Head,global
T1025,18,18,5,0.3333333333333333,0.2,0.25,1,2,4,0.62,Tail,global
T1027,1105,1105,316,0.7962962962962963,0.8164556962025317,0.80625,258,66,58,0.62,Head,global
T1029,12,12,4,0.0,0.0,0.0,0,0,4,0.62,Tail,global
T1030,9,9,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1033,153,153,44,0.8260869565217391,0.8636363636363636,0.8444444444444444,38,8,6,0.62,Head,global
T1036,280,280,80,0.7441860465116279,0.8,0.7710843373493976,64,22,16,0.62,Head,global
T1037,32,32,9,0.0,0.0,0.0,0,1,9,0.62,Medium,global
T1039,10,10,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1040,12,12,4,0.0,0.0,0.0,0,0,4,0.62,Tail,global
T1041,165,165,47,0.7631578947368421,0.6170212765957447,0.6823529411764706,29,9,18,0.62,Head,global
T1046,31,31,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.62,Medium,global
T1047,142,142,40,0.7959183673469388,0.975,0.8764044943820225,39,10,1,0.62,Head,global
T1048,37,37,11,0.75,0.2727272727272727,0.4,3,1,8,0.62,Medium,global
T1049,51,51,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.62,Medium,global
T1052,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.62,Tail,global
T1053,242,242,69,0.9508196721311475,0.8405797101449275,0.8923076923076924,58,3,11,0.62,Head,global
T1055,502,502,143,0.8848920863309353,0.8601398601398601,0.8723404255319149,123,16,20,0.62,Head,global
T1056,156,156,44,0.8636363636363636,0.8636363636363636,0.8636363636363636,38,6,6,0.62,Head,global
T1057,227,227,65,0.8983050847457628,0.8153846153846154,0.8548387096774194,53,6,12,0.62,Head,global
T1059,807,807,231,0.8075313807531381,0.8354978354978355,0.8212765957446808,193,46,38,0.62,Head,global
T1068,37,37,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.62,Medium,global
T1069,45,45,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.62,Medium,global
T1070,329,329,94,0.7857142857142857,0.9361702127659575,0.8543689320388349,88,24,6,0.62,Head,global
T1071,432,432,124,0.8859649122807017,0.8145161290322581,0.8487394957983193,101,13,23,0.62,Head,global
T1072,20,20,6,0.0,0.0,0.0,0,0,6,0.62,Medium,global
T1074,103,103,29,0.84,0.7241379310344828,0.7777777777777778,21,4,8,0.62,Head,global
T1078,257,257,74,0.7972972972972973,0.7972972972972973,0.7972972972972973,59,15,15,0.62,Head,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.62,Tail,global
T1082,332,332,95,0.7916666666666666,0.8,0.7958115183246073,76,20,19,0.62,Head,global
T1083,287,287,82,0.7625,0.7439024390243902,0.7530864197530864,61,19,21,0.62,Head,global
T1087,66,66,19,0.6,0.631578947368421,0.6153846153846154,12,8,7,0.62,Medium,global
T1090,254,254,73,0.8333333333333334,0.8904109589041096,0.8609271523178808,65,13,8,0.62,Head,global
T1091,17,17,5,0.6666666666666666,0.4,0.5,2,1,3,0.62,Tail,global
T1092,4,4,1,0.0,0.0,0.0,0,0,1,0.62,Tail,global
T1095,98,98,28,0.6428571428571429,0.6428571428571429,0.6428571428571429,18,10,10,0.62,Medium,global
T1098,33,33,10,0.75,0.6,0.6666666666666666,6,2,4,0.62,Medium,global
T1102,71,71,20,0.5714285714285714,0.4,0.47058823529411764,8,6,12,0.62,Medium,global
