Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,1.0,0.8918918918918919,0.9428571428571428,33,0,4,0.7,Head,global
T1005,78,78,22,0.8181818181818182,0.4090909090909091,0.5454545454545454,9,2,13,0.7,Medium,global
T1012,29,29,8,1.0,0.25,0.4,2,0,6,0.7,Medium,global
T1016,46,46,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.7,Medium,global
T1021,121,121,34,0.9,0.7941176470588235,0.84375,27,3,7,0.7,Head,global
T1027,761,761,218,0.8556701030927835,0.7614678899082569,0.8058252427184466,166,28,52,0.7,Head,global
T1033,45,45,13,0.75,0.23076923076923078,0.35294117647058826,3,1,10,0.7,Medium,global
T1036,88,88,25,0.9375,0.6,0.7317073170731707,15,1,10,0.7,Medium,global
T1041,101,101,29,0.7272727272727273,0.5517241379310345,0.6274509803921569,16,6,13,0.7,Head,global
T1047,82,82,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,22,2,2,0.7,Medium,global
T1053,121,121,35,0.9310344827586207,0.7714285714285715,0.84375,27,2,8,0.7,Head,global
T1055,332,332,95,0.9080459770114943,0.8315789473684211,0.8681318681318682,79,8,16,0.7,Head,global
T1056,55,55,16,1.0,1.0,1.0,16,0,0,0.7,Medium,global
T1057,82,82,24,0.9130434782608695,0.875,0.8936170212765957,21,2,3,0.7,Medium,global
T1059,325,325,93,0.7951807228915663,0.7096774193548387,0.75,66,17,27,0.7,Head,global
T1068,11,11,3,1.0,0.3333333333333333,0.5,1,0,2,0.7,Tail,global
T1070,91,91,26,0.7777777777777778,0.8076923076923077,0.7924528301886793,21,6,5,0.7,Medium,global
T1071,178,178,51,0.8888888888888888,0.7843137254901961,0.8333333333333334,40,5,11,0.7,Head,global
T1072,13,13,4,0.0,0.0,0.0,0,0,4,0.7,Tail,global
T1074,34,34,10,1.0,0.7,0.8235294117647058,7,0,3,0.7,Medium,global
T1078,194,194,56,0.8269230769230769,0.7678571428571429,0.7962962962962963,43,9,13,0.7,Head,global
T1082,128,128,36,0.88,0.6111111111111112,0.7213114754098361,22,3,14,0.7,Head,global
T1083,108,108,31,0.8928571428571429,0.8064516129032258,0.847457627118644,25,3,6,0.7,Head,global
T1090,167,167,48,0.9523809523809523,0.8333333333333334,0.8888888888888888,40,2,8,0.7,Head,global
T1095,60,60,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.7,Medium,global
T1105,311,311,89,0.9,0.7078651685393258,0.7924528301886793,63,7,26,0.7,Head,global
T1106,222,222,64,0.7213114754098361,0.6875,0.704,44,17,20,0.7,Head,global
T1110,63,63,18,0.9333333333333333,0.7777777777777778,0.8484848484848485,14,1,4,0.7,Medium,global
T1112,123,123,35,0.9,0.7714285714285715,0.8307692307692308,27,3,8,0.7,Head,global
T1113,37,37,11,1.0,0.45454545454545453,0.625,5,0,6,0.7,Medium,global
T1140,479,479,137,0.9323308270676691,0.9051094890510949,0.9185185185185185,124,9,13,0.7,Head,global
T1190,68,68,20,0.9,0.9,0.9,18,2,2,0.7,Medium,global
T1204,114,114,32,0.92,0.71875,0.8070175438596491,23,2,9,0.7,Head,global
T1210,17,17,5,0.0,0.0,0.0,0,0,5,0.7,Tail,global
T1218,59,59,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.7,Medium,global
T1219,68,68,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,16,1,3,0.7,Medium,global
T1484,28,28,8,1.0,0.625,0.7692307692307693,5,0,3,0.7,Medium,global
T1518,43,43,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.7,Medium,global
T1543,58,58,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.7,Medium,global
T1547,80,80,23,1.0,0.782608695652174,0.8780487804878049,18,0,5,0.7,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.7,Medium,global
T1552,28,28,8,1.0,0.5,0.6666666666666666,4,0,4,0.7,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.7,Tail,global
T1562,108,108,31,0.8888888888888888,0.7741935483870968,0.8275862068965517,24,3,7,0.7,Head,global
T1564,21,21,6,1.0,0.6666666666666666,0.8,4,0,2,0.7,Medium,global
T1566,107,107,31,0.9583333333333334,0.7419354838709677,0.8363636363636363,23,1,8,0.7,Head,global
T1569,26,26,8,1.0,0.125,0.2222222222222222,1,0,7,0.7,Medium,global
T1570,73,73,21,0.9230769230769231,0.5714285714285714,0.7058823529411765,12,1,9,0.7,Medium,global
T1573,72,72,21,1.0,0.47619047619047616,0.6451612903225806,10,0,11,0.7,Medium,global
T1574,88,88,25,1.0,0.92,0.9583333333333334,23,0,2,0.7,Medium,global
