Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,0.65,Medium,global
T1003,237,237,68,0.85,0.75,0.796875,51,9,17,0.65,Head,global
T1005,156,156,44,0.6428571428571429,0.6136363636363636,0.627906976744186,27,15,17,0.65,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.65,Tail,global
T1007,34,78,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.65,Medium,global
T1008,31,78,9,0.5,0.1111111111111111,0.18181818181818182,1,1,8,0.65,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.65,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.65,Tail,global
T1012,88,88,25,0.782608695652174,0.72,0.75,18,5,7,0.65,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.65,Tail,global
T1016,182,182,52,0.7222222222222222,0.75,0.7358490566037735,39,15,13,0.65,Head,global
T1018,40,78,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,7,2,5,0.65,Medium,global
T1020,18,78,5,0.5,0.4,0.4444444444444444,2,2,3,0.65,Tail,global
T1021,226,226,64,0.7580645161290323,0.734375,0.746031746031746,47,15,17,0.65,Head,global
T1025,18,78,5,1.0,0.2,0.3333333333333333,1,0,4,0.65,Tail,global
T1027,1105,1110,316,0.7865853658536586,0.8164556962025317,0.8012422360248447,258,70,58,0.65,Head,global
T1029,12,78,4,0.3333333333333333,0.5,0.4,2,4,2,0.65,Tail,global
T1030,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.65,Tail,global
T1033,153,153,44,0.7916666666666666,0.8636363636363636,0.8260869565217391,38,10,6,0.65,Head,global
T1036,280,280,80,0.7857142857142857,0.825,0.8048780487804879,66,18,14,0.65,Head,global
T1037,32,78,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.65,Medium,global
T1039,10,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.65,Tail,global
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.65,Tail,global
T1041,165,165,47,0.7692307692307693,0.6382978723404256,0.6976744186046512,30,9,17,0.65,Head,global
T1046,31,78,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.65,Medium,global
T1047,142,142,40,0.8085106382978723,0.95,0.8735632183908046,38,9,2,0.65,Head,global
T1048,37,78,11,0.42857142857142855,0.2727272727272727,0.3333333333333333,3,4,8,0.65,Medium,global
T1049,51,78,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.65,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.65,Tail,global
T1053,242,243,69,0.9523809523809523,0.8695652173913043,0.9090909090909091,60,3,9,0.65,Head,global
T1055,502,502,143,0.8857142857142857,0.8671328671328671,0.8763250883392226,124,16,19,0.65,Head,global
T1056,156,156,44,0.8863636363636364,0.8863636363636364,0.8863636363636364,39,5,5,0.65,Head,global
T1057,227,227,65,0.873015873015873,0.8461538461538461,0.859375,55,8,10,0.65,Head,global
T1059,807,808,231,0.8506787330316742,0.8138528138528138,0.831858407079646,188,33,43,0.65,Head,global
T1068,37,78,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,7,4,4,0.65,Medium,global
T1069,45,78,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.65,Medium,global
T1070,329,329,94,0.8155339805825242,0.8936170212765957,0.8527918781725888,84,19,10,0.65,Head,global
T1071,432,432,124,0.8583333333333333,0.8306451612903226,0.8442622950819673,103,17,21,0.65,Head,global
T1072,20,78,6,0.75,0.5,0.6,3,1,3,0.65,Medium,global
T1074,103,103,29,0.8076923076923077,0.7241379310344828,0.7636363636363637,21,5,8,0.65,Head,global
T1078,257,263,74,0.7887323943661971,0.7567567567567568,0.7724137931034483,56,15,18,0.65,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.65,Tail,global
T1082,332,332,95,0.8064516129032258,0.7894736842105263,0.7978723404255319,75,18,20,0.65,Head,global
T1083,287,287,82,0.7682926829268293,0.7682926829268293,0.7682926829268293,63,19,19,0.65,Head,global
T1087,66,78,19,0.6470588235294118,0.5789473684210527,0.6111111111111112,11,6,8,0.65,Medium,global
T1090,254,254,73,0.8441558441558441,0.8904109589041096,0.8666666666666667,65,12,8,0.65,Head,global
T1091,17,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.65,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.65,Tail,global
T1095,98,98,28,0.7857142857142857,0.7857142857142857,0.7857142857142857,22,6,6,0.65,Medium,global
T1098,33,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.65,Medium,global
T1102,71,78,20,0.7272727272727273,0.4,0.5161290322580645,8,3,12,0.65,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.65,Tail,global
T1105,547,547,156,0.8367346938775511,0.7884615384615384,0.8118811881188119,123,24,33,0.65,Head,global
T1106,304,305,87,0.7282608695652174,0.7701149425287356,0.7486033519553073,67,25,20,0.65,Head,global
T1110,112,112,32,0.8620689655172413,0.78125,0.819672131147541,25,4,7,0.65,Head,global
