Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.5,0.09090909090909091,0.15384615384615385,1,1,10,0.63,Medium,global
T1003,107,107,30,0.8181818181818182,0.6,0.6923076923076923,18,4,12,0.63,Head,global
T1005,78,78,22,0.6071428571428571,0.7727272727272727,0.68,17,11,5,0.63,Medium,global
T1006,3,48,1,0.5,1.0,0.6666666666666666,1,1,0,0.63,Tail,global
T1007,34,48,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.63,Medium,global
T1008,31,48,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.63,Medium,global
T1010,17,48,5,1.0,1.0,1.0,5,0,0,0.63,Tail,global
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.63,Tail,global
T1012,59,59,17,0.7058823529411765,0.7058823529411765,0.7058823529411765,12,5,5,0.63,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1016,136,136,39,0.8421052631578947,0.8205128205128205,0.8311688311688312,32,6,7,0.63,Head,global
T1018,40,48,12,0.6363636363636364,0.5833333333333334,0.6086956521739131,7,4,5,0.63,Medium,global
T1020,18,48,5,0.25,0.2,0.2222222222222222,1,3,4,0.63,Tail,global
T1021,105,105,30,0.8,0.5333333333333333,0.64,16,4,14,0.63,Head,global
T1025,18,48,5,0.4,0.4,0.4,2,3,3,0.63,Tail,global
T1027,344,344,98,0.7735849056603774,0.8367346938775511,0.803921568627451,82,24,16,0.63,Head,global
T1029,12,48,4,0.0,0.0,0.0,0,0,4,0.63,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.63,Tail,global
T1033,108,108,31,0.725,0.9354838709677419,0.8169014084507042,29,11,2,0.63,Head,global
T1036,192,192,55,0.8113207547169812,0.7818181818181819,0.7962962962962963,43,10,12,0.63,Head,global
T1037,32,48,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.63,Medium,global
T1039,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.63,Tail,global
T1041,64,64,18,0.6842105263157895,0.7222222222222222,0.7027027027027027,13,6,5,0.63,Medium,global
T1046,31,48,9,0.8,0.8888888888888888,0.8421052631578947,8,2,1,0.63,Medium,global
T1047,59,59,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.63,Medium,global
T1048,37,48,11,0.6666666666666666,0.18181818181818182,0.2857142857142857,2,1,9,0.63,Medium,global
T1049,51,51,14,0.7777777777777778,0.5,0.6086956521739131,7,2,7,0.63,Medium,global
T1052,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1053,121,121,35,0.7948717948717948,0.8857142857142857,0.8378378378378378,31,8,4,0.63,Head,global
T1055,170,170,49,0.8723404255319149,0.8367346938775511,0.8541666666666666,41,6,8,0.63,Head,global
T1056,100,100,29,0.8928571428571429,0.8620689655172413,0.8771929824561403,25,3,4,0.63,Head,global
T1057,144,144,41,0.8809523809523809,0.9024390243902439,0.891566265060241,37,5,4,0.63,Head,global
T1059,481,481,138,0.84,0.9130434782608695,0.875,126,24,12,0.63,Head,global
T1068,26,48,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.63,Medium,global
T1069,45,48,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.63,Medium,global
T1070,238,238,68,0.8472222222222222,0.8970588235294118,0.8714285714285714,61,11,7,0.63,Head,global
T1071,255,255,73,0.8048780487804879,0.9041095890410958,0.8516129032258064,66,16,7,0.63,Head,global
T1072,7,48,2,0.0,0.0,0.0,0,0,2,0.63,Tail,global
T1074,68,68,20,0.8,0.6,0.6857142857142857,12,3,8,0.63,Medium,global
T1078,63,63,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,10,8,8,0.63,Medium,global
T1080,16,48,4,1.0,0.25,0.4,1,0,3,0.63,Tail,global
T1082,205,205,59,0.782608695652174,0.9152542372881356,0.84375,54,15,5,0.63,Head,global
T1083,178,178,51,0.7090909090909091,0.7647058823529411,0.7358490566037735,39,16,12,0.63,Head,global
T1087,66,66,19,0.8461538461538461,0.5789473684210527,0.6875,11,2,8,0.63,Medium,global
T1090,87,87,25,0.8,0.8,0.8,20,5,5,0.63,Medium,global
T1091,17,48,5,1.0,0.6,0.75,3,0,2,0.63,Tail,global
T1092,4,48,1,0.0,0.0,0.0,0,0,1,0.63,Tail,global
T1095,38,48,11,0.4444444444444444,0.36363636363636365,0.4,4,5,7,0.63,Medium,global
T1098,33,48,10,1.0,0.3,0.46153846153846156,3,0,7,0.63,Medium,global
T1102,71,71,20,0.6956521739130435,0.8,0.7441860465116279,16,7,4,0.63,Medium,global
T1104,12,48,3,0.0,0.0,0.0,0,0,3,0.63,Tail,global
T1105,236,236,67,0.8235294117647058,0.835820895522388,0.8296296296296296,56,12,11,0.63,Head,global
T1106,81,81,23,0.6842105263157895,0.5652173913043478,0.6190476190476191,13,6,10,0.63,Medium,global
