Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9736842105263158,1.0,0.9866666666666667,37,1,0,0.58,Head,global
T1005,78,115,22,0.5416666666666666,0.5909090909090909,0.5652173913043478,13,11,9,0.58,Medium,global
T1012,29,116,8,0.6,0.75,0.6666666666666666,6,4,2,0.58,Medium,global
T1016,46,115,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.58,Medium,global
T1021,121,128,34,0.90625,0.8529411764705882,0.8787878787878788,29,3,5,0.58,Head,global
T1027,761,791,218,0.7682926829268293,0.8669724770642202,0.8146551724137931,189,57,29,0.58,Head,global
T1033,45,118,13,0.7142857142857143,0.38461538461538464,0.5,5,2,8,0.58,Medium,global
T1036,88,114,25,0.8333333333333334,0.8,0.8163265306122449,20,4,5,0.58,Medium,global
T1041,101,114,29,0.5454545454545454,0.6206896551724138,0.5806451612903226,18,15,11,0.58,Head,global
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.58,Medium,global
T1053,121,125,35,0.9655172413793104,0.8,0.875,28,1,7,0.58,Head,global
T1055,332,340,95,0.8936170212765957,0.8842105263157894,0.8888888888888888,84,10,11,0.58,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.58,Medium,global
T1057,82,114,24,0.84,0.875,0.8571428571428571,21,4,3,0.58,Medium,global
T1059,325,363,93,0.7169811320754716,0.8172043010752689,0.7638190954773869,76,30,17,0.58,Head,global
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.58,Tail,global
T1070,91,114,26,0.6285714285714286,0.8461538461538461,0.7213114754098361,22,13,4,0.58,Medium,global
T1071,178,184,51,0.8571428571428571,0.8235294117647058,0.84,42,7,9,0.58,Head,global
T1072,13,114,4,1.0,0.5,0.6666666666666666,2,0,2,0.58,Tail,global
T1074,34,119,10,0.75,0.9,0.8181818181818182,9,3,1,0.58,Medium,global
T1078,194,217,56,0.75,0.8035714285714286,0.7758620689655172,45,15,11,0.58,Head,global
T1082,128,173,36,0.7142857142857143,0.6944444444444444,0.704225352112676,25,10,11,0.58,Head,global
T1083,108,120,31,0.75,0.8709677419354839,0.8059701492537313,27,9,4,0.58,Head,global
T1090,167,167,48,0.8888888888888888,0.8333333333333334,0.8602150537634409,40,5,8,0.58,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.58,Medium,global
T1105,311,324,89,0.7872340425531915,0.8314606741573034,0.8087431693989071,74,20,15,0.58,Head,global
T1106,222,244,64,0.7076923076923077,0.71875,0.7131782945736435,46,19,18,0.58,Head,global
T1110,63,116,18,0.8823529411764706,0.8333333333333334,0.8571428571428571,15,2,3,0.58,Medium,global
T1112,123,131,35,0.8235294117647058,0.8,0.8115942028985508,28,6,7,0.58,Head,global
T1113,37,118,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,9,2,2,0.58,Medium,global
T1140,479,485,137,0.900709219858156,0.927007299270073,0.9136690647482014,127,14,10,0.58,Head,global
T1190,68,114,20,0.8181818181818182,0.9,0.8571428571428571,18,4,2,0.58,Medium,global
T1204,114,118,32,0.896551724137931,0.8125,0.8524590163934426,26,3,6,0.58,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.58,Tail,global
T1218,59,114,17,0.7619047619047619,0.9411764705882353,0.8421052631578947,16,5,1,0.58,Medium,global
T1219,68,116,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,3,3,0.58,Medium,global
T1484,28,114,8,0.8,1.0,0.8888888888888888,8,2,0,0.58,Medium,global
T1518,43,114,12,0.9090909090909091,0.8333333333333334,0.8695652173913043,10,1,2,0.58,Medium,global
T1543,58,117,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.58,Medium,global
T1547,80,114,23,1.0,0.9565217391304348,0.9777777777777777,22,0,1,0.58,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.58,Medium,global
T1552,28,114,8,0.5833333333333334,0.875,0.7,7,5,1,0.58,Medium,global
T1557,7,114,2,1.0,0.5,0.6666666666666666,1,0,1,0.58,Tail,global
T1562,108,126,31,0.8333333333333334,0.8064516129032258,0.819672131147541,25,5,6,0.58,Head,global
T1564,21,117,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.58,Medium,global
T1566,107,114,31,0.896551724137931,0.8387096774193549,0.8666666666666667,26,3,5,0.58,Head,global
T1569,26,115,8,1.0,0.625,0.7692307692307693,5,0,3,0.58,Medium,global
T1570,73,114,21,0.7894736842105263,0.7142857142857143,0.75,15,4,6,0.58,Medium,global
T1573,72,115,21,0.9230769230769231,0.5714285714285714,0.7058823529411765,12,1,9,0.58,Medium,global
T1574,88,114,25,0.96,0.96,0.96,24,1,1,0.58,Medium,global
