Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5555555555555556,0.45454545454545453,0.5,5,4,6,0.6700000166893005,Medium,minority_f2
T1003,237,237,68,0.9583333333333334,0.6764705882352942,0.7931034482758621,46,2,22,0.6700000166893005,Head,minority_f2
T1005,156,156,44,0.5074626865671642,0.7727272727272727,0.6126126126126126,34,33,10,0.6700000166893005,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.36000001430511475,Tail,minority_f2
T1007,34,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.6700000166893005,Medium,minority_f2
T1008,31,78,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.6700000166893005,Medium,minority_f2
T1010,17,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.36000001430511475,Tail,minority_f2
T1011,5,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.36000001430511475,Tail,minority_f2
T1012,88,88,25,0.8181818181818182,0.72,0.7659574468085106,18,4,7,0.6700000166893005,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.36000001430511475,Tail,minority_f2
T1016,182,182,52,0.7407407407407407,0.7692307692307693,0.7547169811320755,40,14,12,0.6700000166893005,Head,minority_f2
T1018,40,78,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,7,2,5,0.6700000166893005,Medium,minority_f2
T1020,18,78,5,0.3,0.6,0.4,3,7,2,0.36000001430511475,Tail,minority_f2
T1021,226,226,64,0.7666666666666667,0.71875,0.7419354838709677,46,14,18,0.6700000166893005,Head,minority_f2
T1025,18,78,5,0.21052631578947367,0.8,0.3333333333333333,4,15,1,0.36000001430511475,Tail,minority_f2
T1027,1105,1110,316,0.7478753541076487,0.8354430379746836,0.7892376681614349,264,89,52,0.6700000166893005,Head,minority_f2
T1029,12,78,4,0.3333333333333333,0.75,0.46153846153846156,3,6,1,0.36000001430511475,Tail,minority_f2
T1030,9,78,3,0.6,1.0,0.75,3,2,0,0.36000001430511475,Tail,minority_f2
T1033,153,153,44,0.8372093023255814,0.8181818181818182,0.8275862068965517,36,7,8,0.6700000166893005,Head,minority_f2
