Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,1.0,0.2727272727272727,0.42857142857142855,3,0,8,0.67,Medium,global
T1003,237,237,68,0.8333333333333334,0.7352941176470589,0.78125,50,10,18,0.67,Head,global
T1005,156,156,44,0.6486486486486487,0.5454545454545454,0.5925925925925926,24,13,20,0.67,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.67,Tail,global
T1007,34,78,10,0.8,0.8,0.8,8,2,2,0.67,Medium,global
T1008,31,78,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,1,2,8,0.67,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.67,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.67,Tail,global
T1012,88,88,25,0.7777777777777778,0.56,0.6511627906976745,14,4,11,0.67,Medium,global
T1014,19,78,5,1.0,1.0,1.0,5,0,0,0.67,Tail,global
T1016,182,182,52,0.78,0.75,0.7647058823529411,39,11,13,0.67,Head,global
T1018,40,78,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.67,Medium,global
T1020,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.67,Tail,global
T1021,226,226,64,0.7627118644067796,0.703125,0.7317073170731707,45,14,19,0.67,Head,global
T1025,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.67,Tail,global
T1027,1105,1110,316,0.819047619047619,0.8164556962025317,0.8177496038034865,258,57,58,0.67,Head,global
T1029,12,78,4,0.3333333333333333,0.25,0.2857142857142857,1,2,3,0.67,Tail,global
T1030,9,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.67,Tail,global
T1033,153,153,44,0.8260869565217391,0.8636363636363636,0.8444444444444444,38,8,6,0.67,Head,global
T1036,280,280,80,0.8,0.8,0.8,64,16,16,0.67,Head,global
T1037,32,78,9,0.0,0.0,0.0,0,1,9,0.67,Medium,global
T1039,10,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.67,Tail,global
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.67,Tail,global
T1041,165,165,47,0.6744186046511628,0.6170212765957447,0.6444444444444445,29,14,18,0.67,Head,global
T1046,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.67,Medium,global
T1047,142,142,40,0.8297872340425532,0.975,0.896551724137931,39,8,1,0.67,Head,global
T1048,37,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.67,Medium,global
T1049,51,78,14,0.75,0.6428571428571429,0.6923076923076923,9,3,5,0.67,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.67,Tail,global
T1053,242,243,69,0.953125,0.8840579710144928,0.9172932330827067,61,3,8,0.67,Head,global
T1055,502,502,143,0.8955223880597015,0.8391608391608392,0.8664259927797834,120,14,23,0.67,Head,global
T1056,156,156,44,0.9047619047619048,0.8636363636363636,0.8837209302325582,38,4,6,0.67,Head,global
T1057,227,227,65,0.9107142857142857,0.7846153846153846,0.8429752066115702,51,5,14,0.67,Head,global
T1059,807,808,231,0.8584474885844748,0.8138528138528138,0.8355555555555556,188,31,43,0.67,Head,global
T1068,37,78,11,0.6666666666666666,0.7272727272727273,0.6956521739130435,8,4,3,0.67,Medium,global
T1069,45,78,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.67,Medium,global
T1070,329,329,94,0.8415841584158416,0.9042553191489362,0.8717948717948718,85,16,9,0.67,Head,global
