minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.71,0.005480115720334918,0.95625,0.014130154048672383,0.8018912529550828,0.027770955117813693,0.4635894844536434,0.8043914528074744,0.4191648606267822,0.3099356899755705
0.06,0.71,0.0071074495799741165,0.94375,0.018408705851687735,0.8014184397163121,0.035990699748383606,0.4637296728898769,0.7990723038713043,0.41944438506779425,0.23698922598292027
0.07,0.71,0.009793131308668207,0.9270833333333333,0.025466203097484985,0.8,0.049361106248906,0.46396211033368595,0.7919801052897438,0.4199073052324002,0.1700979266281085
0.08,0.71,0.014216824400192429,0.8958333333333333,0.036784563115253945,0.798581560283688,0.07032957881368283,0.4643482106856561,0.7786822329493183,0.42067462274793477,0.11654364938508759
0.09,0.71,0.021897605024228183,0.8958333333333333,0.054519044544867654,0.798581560283688,0.10206979906330262,0.4650266972038485,0.7786822329493183,0.42201889732120407,0.07756091704424446
0.1,0.71,0.03376676355955745,0.8708333333333332,0.08129218900675024,0.7971631205673759,0.14753883176547802,0.4661032605608842,0.7680439350769779,0.4241374452376633,0.05085033303405508
0.11,0.71,0.05229653748029247,0.8583333333333332,0.12058970872396765,0.7966903073286052,0.20947289905519642,0.46784783325951357,0.7627247861408076,0.42753710530561545,0.03319378614828889
0.12,0.71,0.07825984672497385,0.8291666666666666,0.1724633220478096,0.7947990543735225,0.2834260664306188,0.4704766495752474,0.7503134386230773,0.43255971978073704,0.02218487044035663
0.13,0.71,0.1120982832884505,0.7875,0.23967414606259826,0.7929078014184398,0.36808604038630377,0.4742824359585847,0.7325829421691765,0.4396141713737467,0.015028292234773349
0.14,0.71,0.15478796817024115,0.78125,0.31292008961911877,0.7924349881796691,0.4486681836434212,0.4795009156065425,0.7299233677010915,0.4490511539359923,0.010750527216921053
0.15,0.71,0.20793149026131968,0.7625,0.3907965428638169,0.791016548463357,0.5231394621638524,0.48778136045474985,0.7219446442968361,0.4628037582108144,0.007960453510951496
0.16,0.71,0.25313689347085244,0.74375,0.46224066390041496,0.7900709219858156,0.5832460732984294,0.49566825078865284,0.7139659208925807,0.47548237887801686,0.006232643601361368
0.17,0.71,0.30787756572046815,0.7395833333333334,0.528146742567995,0.789598108747045,0.6329353799507296,0.5095339279852176,0.7121928712471907,0.49383520400320224,0.0050555404756436224
0.18,0.71,0.3558947543398796,0.7333333333333334,0.5841792089604481,0.7891252955082743,0.67135961383749,0.521264558932016,0.7095332967791055,0.5103558632127612,0.004264715094063851
0.19,0.71,0.37831242761172995,0.6958333333333333,0.6221973094170403,0.7872340425531915,0.6950532247964935,0.5291857925812397,0.6935758499705948,0.5205235136439367,0.003813187730983651
0.2,0.71,0.4112686465327509,0.6854166666666666,0.6578322784810127,0.7862884160756501,0.7163471893172518,0.5419924205814315,0.6891432258571198,0.5352688277424218,0.003437349925876433
0.21,0.71,0.43195623254379756,0.675,0.6812961443806399,0.7853427895981088,0.7296288161651658,0.5531044012356651,0.6847106017436446,0.5465786558689659,0.0032128912367151777
0.22,0.71,0.4515255532347545,0.6625,0.7045840407470289,0.7848699763593381,0.7425631849698054,0.5626748937707629,0.6793914528074744,0.5570092043783629,0.0030040924561000565
0.23,0.71,0.4713873959717385,0.65625,0.7200520833333334,0.7843971631205674,0.7508486082824168,0.5756712524667569,0.6767318783393893,0.568937075071096,0.0028735932182156055
0.24,0.71,0.49290649956768373,0.65625,0.7363515312916112,0.7843971631205674,0.7596153846153846,0.5865705390446935,0.6767318783393893,0.5804232676610119,0.002740483995573466
0.25,0.71,0.49847021179499895,0.6479166666666666,0.7460603331832508,0.783451536643026,0.7642988929889298,0.5944677098408004,0.6731857790486092,0.5855858296852762,0.0026674044223581736
0.26,0.71,0.5133756554703854,0.6479166666666666,0.7566210045662101,0.783451536643026,0.7698025551684088,0.6040250695521354,0.6731857790486092,0.5941966337748036,0.002586494894869814
0.27,0.71,0.5279811100921782,0.6479166666666666,0.7671296296296296,0.783451536643026,0.7752046783625731,0.6151881167979095,0.6731857790486092,0.6036482326300978,0.0025081953521391433
0.28,0.71,0.5420567953825499,0.6479166666666666,0.7746610565684899,0.783451536643026,0.7790314997649271,0.627191029665184,0.6731857790486092,0.6132189235417742,0.0024533856722276743
0.29,0.71,0.5378615469390431,0.6375,0.7773602630342884,0.7825059101654847,0.7799245994344958,0.6289767439508983,0.668753154935134,0.6133301285653697,0.0024377257636815403
