Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.71,Medium,global
T1003,237,237,68,0.8333333333333334,0.8088235294117647,0.8208955223880597,55,11,13,0.71,Head,global
T1005,156,156,44,0.6086956521739131,0.6363636363636364,0.6222222222222222,28,18,16,0.71,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.71,Tail,global
T1007,34,78,10,0.8,0.8,0.8,8,2,2,0.71,Medium,global
T1008,31,78,9,0.5,0.3333333333333333,0.4,3,3,6,0.71,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.71,Tail,global
T1011,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.71,Tail,global
T1012,88,88,25,0.875,0.56,0.6829268292682927,14,2,11,0.71,Medium,global
T1014,19,78,5,1.0,1.0,1.0,5,0,0,0.71,Tail,global
T1016,182,182,52,0.78,0.75,0.7647058823529411,39,11,13,0.71,Head,global
T1018,40,78,12,0.875,0.5833333333333334,0.7,7,1,5,0.71,Medium,global
T1020,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.71,Tail,global
T1021,226,226,64,0.7833333333333333,0.734375,0.7580645161290323,47,13,17,0.71,Head,global
T1025,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.71,Tail,global
T1027,1105,1110,316,0.8426229508196721,0.8132911392405063,0.8276972624798712,257,48,59,0.71,Head,global
T1029,12,78,4,0.5,0.25,0.3333333333333333,1,1,3,0.71,Tail,global
T1030,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.71,Tail,global
T1033,153,153,44,0.8085106382978723,0.8636363636363636,0.8351648351648352,38,9,6,0.71,Head,global
T1036,280,280,80,0.8026315789473685,0.7625,0.782051282051282,61,15,19,0.71,Head,global
T1037,32,78,9,0.5,0.1111111111111111,0.18181818181818182,1,1,8,0.71,Medium,global
T1039,10,78,3,1.0,1.0,1.0,3,0,0,0.71,Tail,global
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.71,Tail,global
T1041,165,165,47,0.6521739130434783,0.6382978723404256,0.6451612903225806,30,16,17,0.71,Head,global
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.71,Medium,global
T1047,142,142,40,0.8478260869565217,0.975,0.9069767441860465,39,7,1,0.71,Head,global
T1048,37,78,11,0.6666666666666666,0.18181818181818182,0.2857142857142857,2,1,9,0.71,Medium,global
T1049,51,78,14,0.7272727272727273,0.5714285714285714,0.64,8,3,6,0.71,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.71,Tail,global
T1053,242,243,69,0.9393939393939394,0.8985507246376812,0.9185185185185185,62,4,7,0.71,Head,global
T1055,502,502,143,0.9307692307692308,0.8461538461538461,0.8864468864468864,121,9,22,0.71,Head,global
T1056,156,156,44,0.8863636363636364,0.8863636363636364,0.8863636363636364,39,5,5,0.71,Head,global
T1057,227,227,65,0.8870967741935484,0.8461538461538461,0.8661417322834646,55,7,10,0.71,Head,global
T1059,807,808,231,0.8482142857142857,0.8225108225108225,0.8351648351648352,190,34,41,0.71,Head,global
T1068,37,78,11,0.5833333333333334,0.6363636363636364,0.6086956521739131,7,5,4,0.71,Medium,global
T1069,45,78,13,1.0,0.6923076923076923,0.8181818181818182,9,0,4,0.71,Medium,global
T1070,329,329,94,0.8235294117647058,0.8936170212765957,0.8571428571428571,84,18,10,0.71,Head,global
T1071,432,432,124,0.8629032258064516,0.8629032258064516,0.8629032258064516,107,17,17,0.71,Head,global
