Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,1.0,0.972972972972973,0.9863013698630136,36,0,1,0.77,Head,global
T1005,78,115,22,0.7777777777777778,0.3181818181818182,0.45161290322580644,7,2,15,0.77,Medium,global
T1012,29,116,8,1.0,0.5,0.6666666666666666,4,0,4,0.77,Medium,global
T1016,46,115,13,1.0,0.6923076923076923,0.8181818181818182,9,0,4,0.77,Medium,global
T1021,121,128,34,0.9615384615384616,0.7352941176470589,0.8333333333333334,25,1,9,0.77,Head,global
T1027,761,791,218,0.8663366336633663,0.8027522935779816,0.8333333333333334,175,27,43,0.77,Head,global
T1033,45,118,13,0.8333333333333334,0.38461538461538464,0.5263157894736842,5,1,8,0.77,Medium,global
T1036,88,114,25,1.0,0.68,0.8095238095238095,17,0,8,0.77,Medium,global
T1041,101,114,29,0.6521739130434783,0.5172413793103449,0.5769230769230769,15,8,14,0.77,Head,global
T1047,82,114,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,22,2,2,0.77,Medium,global
T1053,121,125,35,0.9655172413793104,0.8,0.875,28,1,7,0.77,Head,global
T1055,332,340,95,0.9101123595505618,0.8526315789473684,0.8804347826086957,81,8,14,0.77,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.77,Medium,global
T1057,82,114,24,0.9130434782608695,0.875,0.8936170212765957,21,2,3,0.77,Medium,global
T1059,325,363,93,0.7628865979381443,0.7956989247311828,0.7789473684210526,74,23,19,0.77,Head,global
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.77,Tail,global
T1070,91,114,26,0.7777777777777778,0.8076923076923077,0.7924528301886793,21,6,5,0.77,Medium,global
T1071,178,184,51,0.8775510204081632,0.8431372549019608,0.86,43,6,8,0.77,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.77,Tail,global
T1074,34,119,10,1.0,0.7,0.8235294117647058,7,0,3,0.77,Medium,global
T1078,194,217,56,0.8269230769230769,0.7678571428571429,0.7962962962962963,43,9,13,0.77,Head,global
T1082,128,173,36,0.8518518518518519,0.6388888888888888,0.7301587301587301,23,4,13,0.77,Head,global
T1083,108,120,31,0.896551724137931,0.8387096774193549,0.8666666666666667,26,3,5,0.77,Head,global
T1090,167,167,48,0.9285714285714286,0.8125,0.8666666666666667,39,3,9,0.77,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.77,Medium,global
T1105,311,324,89,0.8918918918918919,0.7415730337078652,0.8098159509202454,66,8,23,0.77,Head,global
T1106,222,244,64,0.7384615384615385,0.75,0.7441860465116279,48,17,16,0.77,Head,global
T1110,63,116,18,0.8666666666666667,0.7222222222222222,0.7878787878787878,13,2,5,0.77,Medium,global
T1112,123,131,35,0.9032258064516129,0.8,0.8484848484848485,28,3,7,0.77,Head,global
T1113,37,118,11,1.0,0.6363636363636364,0.7777777777777778,7,0,4,0.77,Medium,global
T1140,479,485,137,0.9236641221374046,0.8832116788321168,0.9029850746268657,121,10,16,0.77,Head,global
T1190,68,114,20,1.0,0.9,0.9473684210526315,18,0,2,0.77,Medium,global
T1204,114,118,32,0.92,0.71875,0.8070175438596491,23,2,9,0.77,Head,global
T1210,17,114,5,0.8,0.8,0.8,4,1,1,0.77,Tail,global
T1218,59,114,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.77,Medium,global
T1219,68,116,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,16,1,3,0.77,Medium,global
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.77,Medium,global
T1518,43,114,12,0.9090909090909091,0.8333333333333334,0.8695652173913043,10,1,2,0.77,Medium,global
T1543,58,117,17,0.9230769230769231,0.7058823529411765,0.8,12,1,5,0.77,Medium,global
T1547,80,114,23,0.9523809523809523,0.8695652173913043,0.9090909090909091,20,1,3,0.77,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.77,Medium,global
T1552,28,114,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.77,Medium,global
T1557,7,114,2,0.0,0.0,0.0,0,0,2,0.77,Tail,global
T1562,108,126,31,0.9259259259259259,0.8064516129032258,0.8620689655172413,25,2,6,0.77,Head,global
T1564,21,117,6,1.0,0.6666666666666666,0.8,4,0,2,0.77,Medium,global
T1566,107,114,31,0.9230769230769231,0.7741935483870968,0.8421052631578947,24,2,7,0.77,Head,global
T1569,26,115,8,1.0,0.625,0.7692307692307693,5,0,3,0.77,Medium,global
T1570,73,114,21,0.8571428571428571,0.5714285714285714,0.6857142857142857,12,2,9,0.77,Medium,global
T1573,72,115,21,1.0,0.5238095238095238,0.6875,11,0,10,0.77,Medium,global
T1574,88,114,25,1.0,0.92,0.9583333333333334,23,0,2,0.77,Medium,global
