Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.875,0.6363636363636364,0.7368421052631579,7,1,4,0.59,Medium,global
T1003,107,107,30,0.7727272727272727,0.5666666666666667,0.6538461538461539,17,5,13,0.59,Head,global
T1005,78,78,22,0.5925925925925926,0.7272727272727273,0.6530612244897959,16,11,6,0.59,Medium,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.59,Tail,global
T1007,34,34,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.59,Medium,global
T1008,31,31,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,0.59,Medium,global
T1010,17,17,5,1.0,1.0,1.0,5,0,0,0.59,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.59,Tail,global
T1012,59,59,17,0.7222222222222222,0.7647058823529411,0.7428571428571429,13,5,4,0.59,Medium,global
T1014,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.59,Tail,global
T1016,136,136,39,0.6666666666666666,0.9230769230769231,0.7741935483870968,36,18,3,0.59,Head,global
T1018,40,40,12,0.7,0.5833333333333334,0.6363636363636364,7,3,5,0.59,Medium,global
T1020,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.59,Tail,global
T1021,105,105,30,0.625,0.6666666666666666,0.6451612903225806,20,12,10,0.59,Head,global
T1025,18,18,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.59,Tail,global
T1027,344,344,98,0.8017241379310345,0.9489795918367347,0.8691588785046729,93,23,5,0.59,Head,global
T1029,12,12,4,1.0,0.25,0.4,1,0,3,0.59,Tail,global
T1030,9,9,3,1.0,0.3333333333333333,0.5,1,0,2,0.59,Tail,global
T1033,108,108,31,0.7073170731707317,0.9354838709677419,0.8055555555555556,29,12,2,0.59,Head,global
T1036,192,192,55,0.84,0.7636363636363637,0.8,42,8,13,0.59,Head,global
T1037,32,32,9,1.0,0.3333333333333333,0.5,3,0,6,0.59,Medium,global
T1039,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.59,Tail,global
T1040,12,12,4,1.0,0.75,0.8571428571428571,3,0,1,0.59,Tail,global
T1041,64,64,18,0.6521739130434783,0.8333333333333334,0.7317073170731707,15,8,3,0.59,Medium,global
T1046,31,31,9,0.6363636363636364,0.7777777777777778,0.7,7,4,2,0.59,Medium,global
T1047,59,59,17,0.7142857142857143,0.8823529411764706,0.7894736842105263,15,6,2,0.59,Medium,global
T1048,37,37,11,0.42857142857142855,0.2727272727272727,0.3333333333333333,3,4,8,0.59,Medium,global
T1049,51,51,14,0.7272727272727273,0.5714285714285714,0.64,8,3,6,0.59,Medium,global
T1052,10,10,3,0.0,0.0,0.0,0,0,3,0.59,Tail,global
T1053,121,121,35,0.85,0.9714285714285714,0.9066666666666666,34,6,1,0.59,Head,global
T1055,170,170,49,0.8837209302325582,0.7755102040816326,0.8260869565217391,38,5,11,0.59,Head,global
T1056,100,100,29,0.7941176470588235,0.9310344827586207,0.8571428571428571,27,7,2,0.59,Head,global
T1057,144,144,41,0.9069767441860465,0.9512195121951219,0.9285714285714286,39,4,2,0.59,Head,global
T1059,481,481,138,0.8367346938775511,0.8913043478260869,0.8631578947368421,123,24,15,0.59,Head,global
T1068,26,26,7,0.625,0.7142857142857143,0.6666666666666666,5,3,2,0.59,Medium,global
T1069,45,45,13,0.7333333333333333,0.8461538461538461,0.7857142857142857,11,4,2,0.59,Medium,global
T1070,238,238,68,0.8571428571428571,0.8823529411764706,0.8695652173913043,60,10,8,0.59,Head,global
T1071,255,255,73,0.7446808510638298,0.958904109589041,0.8383233532934131,70,24,3,0.59,Head,global
T1072,7,7,2,0.0,0.0,0.0,0,0,2,0.59,Tail,global
T1074,68,68,20,0.875,0.7,0.7777777777777778,14,2,6,0.59,Medium,global
T1078,63,63,18,0.5416666666666666,0.7222222222222222,0.6190476190476191,13,11,5,0.59,Medium,global
T1080,16,16,4,0.0,0.0,0.0,0,0,4,0.59,Tail,global
T1082,205,205,59,0.7971014492753623,0.9322033898305084,0.859375,55,14,4,0.59,Head,global
T1083,178,178,51,0.7017543859649122,0.7843137254901961,0.7407407407407407,40,17,11,0.59,Head,global
T1087,66,66,19,0.6,0.47368421052631576,0.5294117647058824,9,6,10,0.59,Medium,global
T1090,87,87,25,0.8,0.8,0.8,20,5,5,0.59,Medium,global
T1091,17,17,5,0.6666666666666666,0.4,0.5,2,1,3,0.59,Tail,global
T1092,4,4,1,0.0,0.0,0.0,0,0,1,0.59,Tail,global
T1095,38,38,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,5,6,6,0.59,Medium,global
T1098,33,33,10,0.8333333333333334,0.5,0.625,5,1,5,0.59,Medium,global
T1102,71,71,20,0.7083333333333334,0.85,0.7727272727272727,17,7,3,0.59,Medium,global
T1104,12,12,3,0.0,0.0,0.0,0,0,3,0.59,Tail,global
T1105,236,236,67,0.8333333333333334,0.8208955223880597,0.8270676691729323,55,11,12,0.59,Head,global
T1106,81,81,23,0.6666666666666666,0.6086956521739131,0.6363636363636364,14,7,9,0.59,Medium,global
T1110,49,49,14,0.8461538461538461,0.7857142857142857,0.8148148148148148,11,2,3,0.59,Medium,global
T1111,9,9,3,0.0,0.0,0.0,0,1,3,0.59,Tail,global
T1112,80,80,23,0.7037037037037037,0.8260869565217391,0.76,19,8,4,0.59,Medium,global
T1113,80,80,23,0.8846153846153846,1.0,0.9387755102040817,23,3,0,0.59,Medium,global
T1114,36,36,10,0.6666666666666666,1.0,0.8,10,5,0,0.59,Medium,global
T1115,22,22,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.59,Medium,global
T1119,33,33,10,0.375,0.3,0.3333333333333333,3,5,7,0.59,Medium,global
T1120,31,31,9,0.6,0.6666666666666666,0.631578947368421,6,4,3,0.59,Medium,global
T1123,19,19,5,1.0,1.0,1.0,5,0,0,0.59,Tail,global
T1124,45,45,13,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2,0.59,Medium,global
T1125,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.59,Tail,global
T1127,9,9,3,1.0,0.3333333333333333,0.5,1,0,2,0.59,Tail,global
T1129,15,15,4,0.6,0.75,0.6666666666666666,3,2,1,0.59,Tail,global
T1132,66,66,19,0.8333333333333334,0.7894736842105263,0.8108108108108109,15,3,4,0.59,Medium,global
T1133,26,26,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.59,Medium,global
T1134,52,52,15,0.7857142857142857,0.7333333333333333,0.7586206896551724,11,3,4,0.59,Medium,global
T1135,31,31,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,1,1,0.59,Medium,global
T1136,27,27,8,0.47058823529411764,1.0,0.64,8,9,0,0.59,Medium,global
T1137,38,38,11,0.6,0.8181818181818182,0.6923076923076923,9,6,2,0.59,Medium,global
T1140,136,136,39,0.8536585365853658,0.8974358974358975,0.875,35,6,4,0.59,Head,global
T1176,11,11,3,0.5,0.3333333333333333,0.4,1,1,2,0.59,Tail,global
T1185,15,15,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.59,Tail,global
T1187,12,12,4,0.0,0.0,0.0,0,0,4,0.59,Tail,global
T1189,37,37,10,0.6666666666666666,0.4,0.5,4,2,6,0.59,Medium,global
T1190,19,19,6,0.0,0.0,0.0,0,0,6,0.59,Tail,global
T1195,19,19,6,1.0,0.3333333333333333,0.5,2,0,4,0.59,Tail,global
T1197,15,15,4,0.0,0.0,0.0,0,1,4,0.59,Tail,global
T1199,8,8,2,0.0,0.0,0.0,0,0,2,0.59,Tail,global
T1200,3,3,1,0.0,0.0,0.0,0,0,1,0.59,Tail,global
T1201,7,7,2,1.0,0.5,0.6666666666666666,1,0,1,0.59,Tail,global
