Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.64,Head,global
T1005,78,78,22,1.0,0.45454545454545453,0.625,10,0,12,0.64,Medium,global
T1012,29,29,8,1.0,0.5,0.6666666666666666,4,0,4,0.64,Medium,global
T1016,46,46,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.64,Medium,global
T1021,121,121,34,0.8529411764705882,0.8529411764705882,0.8529411764705882,29,5,5,0.64,Head,global
T1027,761,761,218,0.8529411764705882,0.7981651376146789,0.8246445497630331,174,30,44,0.64,Head,global
T1033,45,45,13,0.7142857142857143,0.38461538461538464,0.5,5,2,8,0.64,Medium,global
T1036,88,88,25,0.9047619047619048,0.76,0.8260869565217391,19,2,6,0.64,Medium,global
T1041,101,101,29,0.6538461538461539,0.5862068965517241,0.6181818181818182,17,9,12,0.64,Head,global
T1047,82,82,24,0.8461538461538461,0.9166666666666666,0.88,22,4,2,0.64,Medium,global
T1053,121,121,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.64,Head,global
T1055,332,332,95,0.9629629629629629,0.8210526315789474,0.8863636363636364,78,3,17,0.64,Head,global
T1056,55,55,16,1.0,1.0,1.0,16,0,0,0.64,Medium,global
T1057,82,82,24,0.875,0.875,0.875,21,3,3,0.64,Medium,global
T1059,325,325,93,0.7428571428571429,0.8387096774193549,0.7878787878787878,78,27,15,0.64,Head,global
T1068,11,11,3,1.0,0.6666666666666666,0.8,2,0,1,0.64,Tail,global
T1070,91,91,26,0.8076923076923077,0.8076923076923077,0.8076923076923077,21,5,5,0.64,Medium,global
T1071,178,178,51,0.875,0.8235294117647058,0.8484848484848485,42,6,9,0.64,Head,global
T1072,13,13,4,1.0,0.25,0.4,1,0,3,0.64,Tail,global
T1074,34,34,10,1.0,0.4,0.5714285714285714,4,0,6,0.64,Medium,global
T1078,194,194,56,0.8,0.7857142857142857,0.7927927927927928,44,11,12,0.64,Head,global
T1082,128,128,36,0.7931034482758621,0.6388888888888888,0.7076923076923077,23,6,13,0.64,Head,global
T1083,108,108,31,0.8064516129032258,0.8064516129032258,0.8064516129032258,25,6,6,0.64,Head,global
T1090,167,167,48,0.9111111111111111,0.8541666666666666,0.8817204301075269,41,4,7,0.64,Head,global
T1095,60,60,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.64,Medium,global
T1105,311,311,89,0.8641975308641975,0.7865168539325843,0.8235294117647058,70,11,19,0.64,Head,global
T1106,222,222,64,0.7313432835820896,0.765625,0.7480916030534351,49,18,15,0.64,Head,global
T1110,63,63,18,0.9333333333333333,0.7777777777777778,0.8484848484848485,14,1,4,0.64,Medium,global
T1112,123,123,35,0.8181818181818182,0.7714285714285715,0.7941176470588235,27,6,8,0.64,Head,global
T1113,37,37,11,0.8888888888888888,0.7272727272727273,0.8,8,1,3,0.64,Medium,global
T1140,479,479,137,0.9197080291970803,0.9197080291970803,0.9197080291970803,126,11,11,0.64,Head,global
T1190,68,68,20,0.8888888888888888,0.8,0.8421052631578947,16,2,4,0.64,Medium,global
T1204,114,114,32,0.9629629629629629,0.8125,0.8813559322033898,26,1,6,0.64,Head,global
T1210,17,17,5,0.0,0.0,0.0,0,0,5,0.64,Tail,global
T1218,59,59,17,0.8,0.9411764705882353,0.8648648648648649,16,4,1,0.64,Medium,global
T1219,68,68,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,17,2,2,0.64,Medium,global
T1484,28,28,8,0.875,0.875,0.875,7,1,1,0.64,Medium,global
T1518,43,43,12,0.9,0.75,0.8181818181818182,9,1,3,0.64,Medium,global
T1543,58,58,17,0.8125,0.7647058823529411,0.7878787878787878,13,3,4,0.64,Medium,global
T1547,80,80,23,1.0,0.8695652173913043,0.9302325581395349,20,0,3,0.64,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.64,Medium,global
T1552,28,28,8,1.0,0.75,0.8571428571428571,6,0,2,0.64,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.64,Tail,global
T1562,108,108,31,0.90625,0.9354838709677419,0.9206349206349206,29,3,2,0.64,Head,global
T1564,21,21,6,1.0,1.0,1.0,6,0,0,0.64,Medium,global
T1566,107,107,31,0.9642857142857143,0.8709677419354839,0.9152542372881356,27,1,4,0.64,Head,global
T1569,26,26,8,1.0,0.625,0.7692307692307693,5,0,3,0.64,Medium,global
T1570,73,73,21,0.875,0.6666666666666666,0.7567567567567568,14,2,7,0.64,Medium,global
T1573,72,72,21,0.8666666666666667,0.6190476190476191,0.7222222222222222,13,2,8,0.64,Medium,global
T1574,88,88,25,1.0,0.92,0.9583333333333334,23,0,2,0.64,Medium,global
