Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,0.61,Medium,global
T1003,107,107,30,0.85,0.5666666666666667,0.68,17,3,13,0.61,Head,global
T1005,78,78,22,0.6551724137931034,0.8636363636363636,0.7450980392156863,19,10,3,0.61,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.61,Tail,global
T1007,34,48,10,1.0,0.9,0.9473684210526315,9,0,1,0.61,Medium,global
T1008,31,48,9,1.0,0.6666666666666666,0.8,6,0,3,0.61,Medium,global
T1010,17,48,5,1.0,1.0,1.0,5,0,0,0.61,Tail,global
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.61,Tail,global
T1012,59,59,17,0.7647058823529411,0.7647058823529411,0.7647058823529411,13,4,4,0.61,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.61,Tail,global
T1016,136,136,39,0.723404255319149,0.8717948717948718,0.7906976744186046,34,13,5,0.61,Head,global
T1018,40,48,12,0.6363636363636364,0.5833333333333334,0.6086956521739131,7,4,5,0.61,Medium,global
T1020,18,48,5,0.4,0.4,0.4,2,3,3,0.61,Tail,global
T1021,105,105,30,0.6,0.6,0.6,18,12,12,0.61,Head,global
T1025,18,48,5,0.75,0.6,0.6666666666666666,3,1,2,0.61,Tail,global
T1027,344,344,98,0.7672413793103449,0.9081632653061225,0.8317757009345794,89,27,9,0.61,Head,global
T1029,12,48,4,1.0,0.25,0.4,1,0,3,0.61,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1033,108,108,31,0.7,0.9032258064516129,0.7887323943661971,28,12,3,0.61,Head,global
T1036,192,192,55,0.8703703703703703,0.8545454545454545,0.8623853211009175,47,7,8,0.61,Head,global
T1037,32,48,9,1.0,0.3333333333333333,0.5,3,0,6,0.61,Medium,global
T1039,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.61,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.61,Tail,global
T1041,64,64,18,0.6666666666666666,0.7777777777777778,0.717948717948718,14,7,4,0.61,Medium,global
T1046,31,48,9,0.7272727272727273,0.8888888888888888,0.8,8,3,1,0.61,Medium,global
T1047,59,59,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.61,Medium,global
T1048,37,48,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,0.61,Medium,global
T1049,51,51,14,0.7777777777777778,0.5,0.6086956521739131,7,2,7,0.61,Medium,global
T1052,10,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1053,121,121,35,0.85,0.9714285714285714,0.9066666666666666,34,6,1,0.61,Head,global
T1055,170,170,49,0.8888888888888888,0.8163265306122449,0.851063829787234,40,5,9,0.61,Head,global
T1056,100,100,29,0.8125,0.896551724137931,0.8524590163934426,26,6,3,0.61,Head,global
T1057,144,144,41,0.9069767441860465,0.9512195121951219,0.9285714285714286,39,4,2,0.61,Head,global
T1059,481,481,138,0.8333333333333334,0.9057971014492754,0.8680555555555556,125,25,13,0.61,Head,global
T1068,26,48,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,0.61,Medium,global
T1069,45,48,13,0.7333333333333333,0.8461538461538461,0.7857142857142857,11,4,2,0.61,Medium,global
T1070,238,238,68,0.84,0.9264705882352942,0.8811188811188811,63,12,5,0.61,Head,global
T1071,255,255,73,0.8433734939759037,0.958904109589041,0.8974358974358975,70,13,3,0.61,Head,global
T1072,7,48,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1074,68,68,20,0.875,0.7,0.7777777777777778,14,2,6,0.61,Medium,global
T1078,63,63,18,0.5652173913043478,0.7222222222222222,0.6341463414634146,13,10,5,0.61,Medium,global
T1080,16,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.61,Tail,global
T1082,205,205,59,0.8088235294117647,0.9322033898305084,0.8661417322834646,55,13,4,0.61,Head,global
T1083,178,178,51,0.7407407407407407,0.7843137254901961,0.7619047619047619,40,14,11,0.61,Head,global
T1087,66,66,19,0.6,0.47368421052631576,0.5294117647058824,9,6,10,0.61,Medium,global
T1090,87,87,25,0.8,0.8,0.8,20,5,5,0.61,Medium,global
