Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.42857142857142855,0.5454545454545454,0.48,6,8,5,0.61,Medium,global
T1003,237,237,68,0.859375,0.8088235294117647,0.8333333333333334,55,9,13,0.61,Head,global
T1005,156,156,44,0.7380952380952381,0.7045454545454546,0.7209302325581395,31,11,13,0.61,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1007,34,34,10,0.875,0.7,0.7777777777777778,7,1,3,0.61,Medium,global
T1008,31,31,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.61,Medium,global
T1010,17,17,5,1.0,1.0,1.0,5,0,0,0.61,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1012,88,88,25,0.75,0.84,0.7924528301886793,21,7,4,0.61,Medium,global
T1014,19,19,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.61,Tail,global
T1016,182,182,52,0.7333333333333333,0.8461538461538461,0.7857142857142857,44,16,8,0.61,Head,global
T1018,40,40,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.61,Medium,global
T1020,18,18,5,0.0,0.0,0.0,0,0,5,0.61,Tail,global
T1021,226,226,64,0.8064516129032258,0.78125,0.7936507936507936,50,12,14,0.61,Head,global
T1025,18,18,5,0.4,0.4,0.4,2,3,3,0.61,Tail,global
T1027,1105,1105,316,0.7705382436260623,0.8607594936708861,0.8131539611360239,272,81,44,0.61,Head,global
T1029,12,12,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.61,Tail,global
T1030,9,9,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1033,153,153,44,0.8571428571428571,0.8181818181818182,0.8372093023255814,36,6,8,0.61,Head,global
T1036,280,280,80,0.7976190476190477,0.8375,0.8170731707317073,67,17,13,0.61,Head,global
T1037,32,32,9,0.0,0.0,0.0,0,0,9,0.61,Medium,global
T1039,10,10,3,0.5,0.3333333333333333,0.4,1,1,2,0.61,Tail,global
T1040,12,12,4,0.5,0.25,0.3333333333333333,1,1,3,0.61,Tail,global
T1041,165,165,47,0.7450980392156863,0.8085106382978723,0.7755102040816326,38,13,9,0.61,Head,global
T1046,31,31,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.61,Medium,global
T1047,142,142,40,0.8297872340425532,0.975,0.896551724137931,39,8,1,0.61,Head,global
T1048,37,37,11,0.4444444444444444,0.36363636363636365,0.4,4,5,7,0.61,Medium,global
T1049,51,51,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.61,Medium,global
T1052,10,10,3,0.25,0.3333333333333333,0.2857142857142857,1,3,2,0.61,Tail,global
T1053,242,242,69,0.9545454545454546,0.9130434782608695,0.9333333333333333,63,3,6,0.61,Head,global
T1055,502,502,143,0.8928571428571429,0.8741258741258742,0.8833922261484098,125,15,18,0.61,Head,global
T1056,156,156,44,0.8863636363636364,0.8863636363636364,0.8863636363636364,39,5,5,0.61,Head,global
T1057,227,227,65,0.8769230769230769,0.8769230769230769,0.8769230769230769,57,8,8,0.61,Head,global
T1059,807,807,231,0.8454935622317596,0.8528138528138528,0.8491379310344828,197,36,34,0.61,Head,global
T1068,37,37,11,0.7777777777777778,0.6363636363636364,0.7,7,2,4,0.61,Medium,global
T1069,45,45,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.61,Medium,global
T1070,329,329,94,0.82,0.8723404255319149,0.845360824742268,82,18,12,0.61,Head,global
T1071,432,432,124,0.8842975206611571,0.8629032258064516,0.8734693877551021,107,14,17,0.61,Head,global
T1072,20,20,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,2,1,4,0.61,Medium,global
T1074,103,103,29,0.7878787878787878,0.896551724137931,0.8387096774193549,26,7,3,0.61,Head,global
T1078,257,257,74,0.7402597402597403,0.7702702702702703,0.7549668874172185,57,20,17,0.61,Head,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.61,Tail,global
T1082,332,332,95,0.7938144329896907,0.8105263157894737,0.8020833333333334,77,20,18,0.61,Head,global
T1083,287,287,82,0.8333333333333334,0.7926829268292683,0.8125,65,13,17,0.61,Head,global
T1087,66,66,19,0.6111111111111112,0.5789473684210527,0.5945945945945946,11,7,8,0.61,Medium,global
T1090,254,254,73,0.8227848101265823,0.8904109589041096,0.8552631578947368,65,14,8,0.61,Head,global
T1091,17,17,5,1.0,0.6,0.75,3,0,2,0.61,Tail,global
T1092,4,4,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1095,98,98,28,0.8,0.8571428571428571,0.8275862068965517,24,6,4,0.61,Medium,global
T1098,33,33,10,1.0,0.6,0.75,6,0,4,0.61,Medium,global
T1102,71,71,20,0.6666666666666666,0.7,0.6829268292682927,14,7,6,0.61,Medium,global
T1104,12,12,3,0.0,0.0,0.0,0,0,3,0.61,Tail,global
T1105,547,547,156,0.8098159509202454,0.8461538461538461,0.8275862068965517,132,31,24,0.61,Head,global
T1106,304,304,87,0.7070707070707071,0.8045977011494253,0.7526881720430108,70,29,17,0.61,Head,global
T1110,112,112,32,0.8666666666666667,0.8125,0.8387096774193549,26,4,6,0.61,Head,global
T1111,9,9,3,0.5,0.3333333333333333,0.4,1,1,2,0.61,Tail,global
T1112,203,203,58,0.75,0.7758620689655172,0.7627118644067796,45,15,13,0.61,Head,global
T1113,117,117,33,0.8857142857142857,0.9393939393939394,0.9117647058823529,31,4,2,0.61,Head,global
T1114,36,36,10,0.8181818181818182,0.9,0.8571428571428571,9,2,1,0.61,Medium,global
T1115,22,22,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.61,Medium,global
T1119,33,33,10,0.0,0.0,0.0,0,1,10,0.61,Medium,global
T1120,31,31,9,1.0,0.6666666666666666,0.8,6,0,3,0.61,Medium,global
T1123,19,19,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.61,Tail,global
T1124,45,45,13,1.0,0.9230769230769231,0.96,12,0,1,0.61,Medium,global
T1125,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.61,Tail,global
T1127,9,9,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1129,15,15,4,1.0,0.5,0.6666666666666666,2,0,2,0.61,Tail,global
T1132,66,66,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,3,3,0.61,Medium,global
T1133,26,26,8,1.0,0.5,0.6666666666666666,4,0,4,0.61,Medium,global
T1134,52,52,15,0.7368421052631579,0.9333333333333333,0.8235294117647058,14,5,1,0.61,Medium,global
T1135,31,31,9,0.45454545454545453,0.5555555555555556,0.5,5,6,4,0.61,Medium,global
T1136,27,27,8,0.5833333333333334,0.875,0.7,7,5,1,0.61,Medium,global
T1137,38,38,11,1.0,0.7272727272727273,0.8421052631578947,8,0,3,0.61,Medium,global
T1140,616,616,176,0.9022988505747126,0.8920454545454546,0.8971428571428571,157,17,19,0.61,Head,global
T1176,11,11,3,1.0,1.0,1.0,3,0,0,0.61,Tail,global
T1185,15,15,4,0.0,0.0,0.0,0,0,4,0.61,Tail,global
T1187,12,12,4,0.0,0.0,0.0,0,0,4,0.61,Tail,global
T1189,37,37,10,0.42857142857142855,0.3,0.35294117647058826,3,4,7,0.61,Medium,global
T1190,88,88,25,0.7407407407407407,0.8,0.7692307692307693,20,7,5,0.61,Medium,global
T1195,19,19,6,1.0,0.3333333333333333,0.5,2,0,4,0.61,Tail,global
T1197,15,15,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.61,Tail,global
T1199,8,8,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1200,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1201,7,7,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1202,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1203,44,44,12,0.6923076923076923,0.75,0.72,9,4,3,0.61,Medium,global
T1204,244,244,70,0.7567567567567568,0.8,0.7777777777777778,56,18,14,0.61,Head,global
T1205,20,20,6,1.0,0.6666666666666666,0.8,4,0,2,0.61,Medium,global
T1207,5,5,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1210,33,33,10,0.6666666666666666,0.4,0.5,4,2,6,0.61,Medium,global
T1211,4,4,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1212,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1213,17,17,5,0.75,0.6,0.6666666666666666,3,1,2,0.61,Tail,global
T1216,10,10,3,0.0,0.0,0.0,0,0,3,0.61,Tail,global
T1217,8,8,2,1.0,0.5,0.6666666666666666,1,0,1,0.61,Tail,global
T1218,225,225,64,0.85,0.796875,0.8225806451612904,51,9,13,0.61,Head,global
T1219,86,86,24,0.8636363636363636,0.7916666666666666,0.8260869565217391,19,3,5,0.61,Medium,global
T1220,10,10,3,0.0,0.0,0.0,0,0,3,0.61,Tail,global
T1221,13,13,4,1.0,0.25,0.4,1,0,3,0.61,Tail,global
T1222,25,25,7,1.0,0.14285714285714285,0.25,1,0,6,0.61,Medium,global
T1480,24,24,7,1.0,0.2857142857142857,0.4444444444444444,2,0,5,0.61,Medium,global
T1482,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.61,Tail,global
T1484,49,49,14,1.0,0.8571428571428571,0.9230769230769231,12,0,2,0.61,Medium,global
T1485,17,17,5,1.0,0.6,0.75,3,0,2,0.61,Tail,global
T1486,37,37,11,1.0,0.5454545454545454,0.7058823529411765,6,0,5,0.61,Medium,global
T1489,22,22,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,0.61,Medium,global
T1490,19,19,6,0.8571428571428571,1.0,0.9230769230769231,6,1,0,0.61,Tail,global
T1491,9,9,3,1.0,0.3333333333333333,0.5,1,0,2,0.61,Tail,global
T1495,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1496,12,12,4,0.75,0.75,0.75,3,1,1,0.61,Tail,global
T1497,84,84,24,0.5769230769230769,0.625,0.6,15,11,9,0.61,Medium,global
T1498,23,23,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,4,3,2,0.61,Medium,global
T1499,34,34,10,0.5,0.4,0.4444444444444444,4,4,6,0.61,Medium,global
T1505,48,48,14,0.8571428571428571,0.8571428571428571,0.8571428571428571,12,2,2,0.61,Medium,global
T1518,128,128,37,0.7,0.7567567567567568,0.7272727272727273,28,12,9,0.61,Head,global
T1525,4,4,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1526,4,4,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1528,9,9,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1529,11,11,3,0.75,1.0,0.8571428571428571,3,1,0,0.61,Tail,global
T1530,6,6,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1531,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1534,7,7,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1535,5,5,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1537,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1538,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1539,12,12,4,0.6,0.75,0.6666666666666666,3,2,1,0.61,Tail,global
T1542,29,29,8,0.5,0.375,0.42857142857142855,3,3,5,0.61,Medium,global
T1543,181,181,52,0.7586206896551724,0.8461538461538461,0.8,44,14,8,0.61,Head,global
T1546,122,122,35,0.6666666666666666,0.5142857142857142,0.5806451612903226,18,9,17,0.61,Head,global
T1547,338,338,96,0.7802197802197802,0.7395833333333334,0.7593582887700535,71,20,25,0.61,Head,global
T1548,92,92,26,0.9375,0.5769230769230769,0.7142857142857143,15,1,11,0.61,Medium,global
T1550,44,44,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.61,Medium,global
T1552,86,86,25,0.8,0.64,0.7111111111111111,16,4,9,0.61,Medium,global
T1553,98,98,28,0.7083333333333334,0.6071428571428571,0.6538461538461539,17,7,11,0.61,Medium,global
T1554,11,11,3,1.0,0.3333333333333333,0.5,1,0,2,0.61,Tail,global
T1555,99,99,28,0.5675675675675675,0.75,0.6461538461538462,21,16,7,0.61,Medium,global
