Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.63,Head,global
T1005,78,115,22,0.8235294117647058,0.6363636363636364,0.717948717948718,14,3,8,0.63,Medium,global
T1012,29,116,8,0.6666666666666666,0.5,0.5714285714285714,4,2,4,0.63,Medium,global
T1016,46,115,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.63,Medium,global
T1021,121,128,34,0.90625,0.8529411764705882,0.8787878787878788,29,3,5,0.63,Head,global
T1027,761,791,218,0.7796610169491526,0.8440366972477065,0.8105726872246696,184,52,34,0.63,Head,global
T1033,45,118,13,0.7,0.5384615384615384,0.6086956521739131,7,3,6,0.63,Medium,global
T1036,88,114,25,0.9130434782608695,0.84,0.875,21,2,4,0.63,Medium,global
T1041,101,114,29,0.68,0.5862068965517241,0.6296296296296297,17,8,12,0.63,Head,global
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.63,Medium,global
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.63,Head,global
T1055,332,340,95,0.9425287356321839,0.8631578947368421,0.9010989010989011,82,5,13,0.63,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.63,Medium,global
T1057,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.63,Medium,global
T1059,325,363,93,0.75,0.8387096774193549,0.7918781725888325,78,26,15,0.63,Head,global
T1068,11,114,3,1.0,1.0,1.0,3,0,0,0.63,Tail,global
T1070,91,114,26,0.7142857142857143,0.7692307692307693,0.7407407407407407,20,8,6,0.63,Medium,global
T1071,178,184,51,0.8913043478260869,0.803921568627451,0.845360824742268,41,5,10,0.63,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.63,Tail,global
T1074,34,119,10,1.0,0.7,0.8235294117647058,7,0,3,0.63,Medium,global
T1078,194,217,56,0.7454545454545455,0.7321428571428571,0.7387387387387387,41,14,15,0.63,Head,global
T1082,128,173,36,0.7666666666666667,0.6388888888888888,0.696969696969697,23,7,13,0.63,Head,global
T1083,108,120,31,0.7714285714285715,0.8709677419354839,0.8181818181818182,27,8,4,0.63,Head,global
T1090,167,167,48,0.9130434782608695,0.875,0.8936170212765957,42,4,6,0.63,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.63,Medium,global
T1105,311,324,89,0.8314606741573034,0.8314606741573034,0.8314606741573034,74,15,15,0.63,Head,global
T1106,222,244,64,0.7464788732394366,0.828125,0.7851851851851852,53,18,11,0.63,Head,global
T1110,63,116,18,0.9333333333333333,0.7777777777777778,0.8484848484848485,14,1,4,0.63,Medium,global
T1112,123,131,35,0.8529411764705882,0.8285714285714286,0.8405797101449275,29,5,6,0.63,Head,global
T1113,37,118,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,10,1,1,0.63,Medium,global
T1140,479,485,137,0.9197080291970803,0.9197080291970803,0.9197080291970803,126,11,11,0.63,Head,global
T1190,68,114,20,0.8095238095238095,0.85,0.8292682926829268,17,4,3,0.63,Medium,global
T1204,114,118,32,0.8571428571428571,0.75,0.8,24,4,8,0.63,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.63,Tail,global
T1218,59,114,17,0.8333333333333334,0.8823529411764706,0.8571428571428571,15,3,2,0.63,Medium,global
T1219,68,116,19,0.8888888888888888,0.8421052631578947,0.8648648648648649,16,2,3,0.63,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.63,Medium,global
T1518,43,114,12,0.8181818181818182,0.75,0.782608695652174,9,2,3,0.63,Medium,global
T1543,58,117,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.63,Medium,global
T1547,80,114,23,0.9523809523809523,0.8695652173913043,0.9090909090909091,20,1,3,0.63,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.63,Medium,global
T1552,28,114,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.63,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.63,Tail,global
T1562,108,126,31,0.8571428571428571,0.967741935483871,0.9090909090909091,30,5,1,0.63,Head,global
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.63,Medium,global
T1566,107,114,31,0.9310344827586207,0.8709677419354839,0.9,27,2,4,0.63,Head,global
T1569,26,115,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.63,Medium,global
T1570,73,114,21,0.9375,0.7142857142857143,0.8108108108108109,15,1,6,0.63,Medium,global
T1573,72,115,21,0.8823529411764706,0.7142857142857143,0.7894736842105263,15,2,6,0.63,Medium,global
T1574,88,114,25,1.0,0.96,0.9795918367346939,24,0,1,0.63,Medium,global
