Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.972972972972973,0.972972972972973,0.972972972972973,36,1,1,0.59,Head,global
T1005,78,115,22,0.8095238095238095,0.7727272727272727,0.7906976744186046,17,4,5,0.59,Medium,global
T1012,29,116,8,0.6666666666666666,0.5,0.5714285714285714,4,2,4,0.59,Medium,global
T1016,46,115,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.59,Medium,global
T1021,121,128,34,0.8787878787878788,0.8529411764705882,0.8656716417910447,29,4,5,0.59,Head,global
T1027,761,791,218,0.7829787234042553,0.8440366972477065,0.8123620309050773,184,51,34,0.59,Head,global
T1033,45,118,13,0.6363636363636364,0.5384615384615384,0.5833333333333334,7,4,6,0.59,Medium,global
T1036,88,114,25,0.8,0.96,0.8727272727272727,24,6,1,0.59,Medium,global
T1041,101,114,29,0.6428571428571429,0.6206896551724138,0.631578947368421,18,10,11,0.59,Head,global
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.59,Medium,global
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.59,Head,global
T1055,332,340,95,0.9032258064516129,0.8842105263157894,0.8936170212765957,84,9,11,0.59,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.59,Medium,global
T1057,82,114,24,0.8333333333333334,0.8333333333333334,0.8333333333333334,20,4,4,0.59,Medium,global
T1059,325,363,93,0.7549019607843137,0.8279569892473119,0.7897435897435897,77,25,16,0.59,Head,global
T1068,11,114,3,1.0,1.0,1.0,3,0,0,0.59,Tail,global
T1070,91,114,26,0.6875,0.8461538461538461,0.7586206896551724,22,10,4,0.59,Medium,global
T1071,178,184,51,0.88,0.8627450980392157,0.8712871287128713,44,6,7,0.59,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.59,Tail,global
T1074,34,119,10,1.0,0.7,0.8235294117647058,7,0,3,0.59,Medium,global
T1078,194,217,56,0.7333333333333333,0.7857142857142857,0.7586206896551724,44,16,12,0.59,Head,global
T1082,128,173,36,0.7352941176470589,0.6944444444444444,0.7142857142857143,25,9,11,0.59,Head,global
T1083,108,120,31,0.7941176470588235,0.8709677419354839,0.8307692307692308,27,7,4,0.59,Head,global
T1090,167,167,48,0.8936170212765957,0.875,0.8842105263157894,42,5,6,0.59,Head,global
T1095,60,114,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.59,Medium,global
T1105,311,324,89,0.8064516129032258,0.8426966292134831,0.8241758241758241,75,18,14,0.59,Head,global
T1106,222,244,64,0.7222222222222222,0.8125,0.7647058823529411,52,20,12,0.59,Head,global
T1110,63,116,18,0.875,0.7777777777777778,0.8235294117647058,14,2,4,0.59,Medium,global
T1112,123,131,35,0.8235294117647058,0.8,0.8115942028985508,28,6,7,0.59,Head,global
T1113,37,118,11,0.8333333333333334,0.9090909090909091,0.8695652173913043,10,2,1,0.59,Medium,global
T1140,479,485,137,0.8951048951048951,0.9343065693430657,0.9142857142857143,128,15,9,0.59,Head,global
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.59,Medium,global
T1204,114,118,32,0.8387096774193549,0.8125,0.8253968253968254,26,5,6,0.59,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.59,Tail,global
T1218,59,114,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.59,Medium,global
T1219,68,116,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,17,2,2,0.59,Medium,global
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.59,Medium,global
T1518,43,114,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,0.59,Medium,global
T1543,58,117,17,0.8125,0.7647058823529411,0.7878787878787878,13,3,4,0.59,Medium,global
T1547,80,114,23,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2,0.59,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.59,Medium,global
T1552,28,114,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.59,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.59,Tail,global
T1562,108,126,31,0.8571428571428571,0.967741935483871,0.9090909090909091,30,5,1,0.59,Head,global
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.59,Medium,global
T1566,107,114,31,0.9642857142857143,0.8709677419354839,0.9152542372881356,27,1,4,0.59,Head,global
T1569,26,115,8,1.0,0.875,0.9333333333333333,7,0,1,0.59,Medium,global
T1570,73,114,21,0.7777777777777778,0.6666666666666666,0.717948717948718,14,4,7,0.59,Medium,global
T1573,72,115,21,0.8461538461538461,0.5238095238095238,0.6470588235294118,11,2,10,0.59,Medium,global
T1574,88,114,25,1.0,0.96,0.9795918367346939,24,0,1,0.59,Medium,global
