minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.69,0.007071285784030183,0.9647058823529412,0.010307350016735908,0.8084942084942085,0.02035519524073372,0.44505763709555984,0.8260795182351494,0.4050333581407335,0.41394479585968946
0.06,0.69,0.007965303109260026,0.9647058823529412,0.011703031386926585,0.8084942084942085,0.023072092023931512,0.4451395908855655,0.8260795182351494,0.4051967048547715,0.3641871354637312
0.07,0.69,0.009521902765200266,0.9588235294117647,0.014092666693612492,0.8077220077220078,0.027702004820042904,0.44528268249712066,0.8234199437670643,0.40548170817645196,0.30159369095539307
0.08,0.69,0.012164978742324832,0.9549019607843137,0.017996142453675,0.806949806949807,0.035207115543351916,0.4455266567981683,0.8216468941216741,0.4059671373897697,0.2352460363098661
0.09,0.69,0.016167851303969735,0.9313725490196078,0.02410697760503424,0.8046332046332046,0.04681147375277971,0.4458991614593695,0.8110085962493337,0.4067067787870013,0.17429967961882856
0.1,0.69,0.023301205092770238,0.9313725490196078,0.033865253989404924,0.8046332046332046,0.06499500998003992,0.4465704167069569,0.8110085962493337,0.40803582576962494,0.12314137846052739
0.11,0.69,0.034722088587864394,0.9313725490196078,0.049218270275376695,0.8046332046332046,0.0927623965102822,0.44766502902535393,0.8110085962493337,0.4101928873867123,0.08371806456912839
0.12,0.69,0.050060457127945435,0.892156862745098,0.07150730228713144,0.8015444015444015,0.13130099297957118,0.449187276875825,0.793278099795433,0.4131656499209513,0.056415838330731945
0.13,0.69,0.07201916778650572,0.8686274509803921,0.10313588850174216,0.8,0.18271604938271604,0.45146309752968483,0.7826398019230926,0.4175590731820771,0.038067855089131686
0.14,0.69,0.10530922332006097,0.8686274509803921,0.14528116673678307,0.8,0.24590553050083075,0.45516175411640514,0.7826398019230926,0.424562481536478,0.026098743120019717
0.15,0.69,0.13885894747022537,0.8294117647058824,0.1941564561734213,0.7953667953667953,0.31212121212121213,0.4593123052343725,0.7649093054691919,0.432188682396652,0.018647827158465455
0.16,0.69,0.18624553714751735,0.8019607843137254,0.25414501361049247,0.7930501930501931,0.3849325337331334,0.46597498153652034,0.7524979579514613,0.4439584240608147,0.013480653906185821
0.17,0.69,0.2388620105713591,0.7980392156862745,0.31813953488372093,0.7922779922779922,0.4539823008849557,0.47447783591678205,0.7507249083060713,0.45828804184153554,0.010137188860593116
0.18,0.69,0.29114022466565387,0.7980392156862745,0.37596189080249176,0.7922779922779922,0.5099403578528827,0.48532010340970483,0.7507249083060713,0.4747979406038504,0.008099893206276186
0.19,0.69,0.34415795441994645,0.788235294117647,0.4322498944702406,0.7907335907335907,0.5589519650655022,0.49841793165883197,0.746292284192596,0.4936830343864701,0.006637640680193872
0.2,0.69,0.38507423544792024,0.7666666666666666,0.4845752254390128,0.7884169884169884,0.6002351557907113,0.5106518029352295,0.7365405111429506,0.5100637953015098,0.005586133245707714
0.21,0.69,0.42203089489074846,0.7549019607843136,0.5323590814196242,0.7876447876447876,0.6353161009031454,0.5247196281610418,0.7312213622067805,0.5267112972674752,0.00480982502259098
0.22,0.69,0.4617243385676487,0.7490196078431373,0.5763574660633484,0.7868725868725869,0.6653607574273588,0.5421245190689113,0.7285617877386954,0.5460528932193651,0.004210137188860593
0.23,0.69,0.48389538718060493,0.7352941176470589,0.6069295101553166,0.7845559845559845,0.6844055237453688,0.5527140462660833,0.7223561139798302,0.5580780221988498,0.0038486815082559764
0.24,0.69,0.5018822412981669,0.7176470588235294,0.63375,0.783011583011583,0.7005181347150259,0.5659304091994481,0.7143773905755749,0.5707081709349039,0.0035611599441386674
0.25,0.69,0.5027887165639259,0.6882352941176471,0.658203125,0.7806949806949807,0.7142352525609326,0.5726098470938915,0.7010795182351494,0.5760516370505595,0.0033229277910128974
0.26,0.69,0.5138230058959434,0.6823529411764706,0.6737825216811207,0.7799227799227799,0.7229778095919828,0.5797285262870389,0.6984199437670643,0.5829747918349389,0.003179167008954243
0.27,0.69,0.5165476537689369,0.6647058823529411,0.6899383983572895,0.7783783783783784,0.7314949201741655,0.5884697924086241,0.690441220362809,0.5887457719472009,0.00303951367781155
0.28,0.69,0.5372259958924501,0.6647058823529411,0.7113620324629499,0.7783783783783784,0.7433628318584071,0.6045107107101807,0.690441220362809,0.6024336754426763,0.0028587858375092416
0.29,0.69,0.5212886326021456,0.6352941176470588,0.7207465900933238,0.7752895752895753,0.7470238095238095,0.6040189816945155,0.6771433480223833,0.5991329944013161,0.002793066622853857
0.3,0.69,0.5358290614159309,0.6352941176470588,0.7349926793557833,0.7752895752895753,0.7546035325065765,0.6167050544869713,0.6771433480223833,0.6092056050058416,0.002682165448122895
0.31,0.69,0.5473064335247909,0.6352941176470588,0.7475800446760983,0.7752895752895753,0.7611827141774071,0.6280194493120044,0.6771433480223833,0.6175312020204249,0.002587694077055779
0.32,0.69,0.5548937058470446,0.6352941176470588,0.7531882970742686,0.7752895752895753,0.7640791476407914,0.6326403160339349,0.6771433480223833,0.6221906383287974,0.0025466195678961637
0.33,0.69,0.5638092021901893,0.6352941176470588,0.7611827141774071,0.7752895752895753,0.7681713848508034,0.6434513135470602,0.6771433480223833,0.6293659689083831,0.0024891152550727018
0.34,0.69,0.5628231294394107,0.6235294117647059,0.7674062739097169,0.7745173745173746,0.7709454265949269,0.6503209067198449,0.6718241990862132,0.632834207490827,0.0024480407459130864
0.35,0.69,0.5694858605648989,0.6235294117647059,0.7721324095458044,0.7745173745173746,0.7733230531996916,0.6583122947644243,0.6718241990862132,0.6384860910682426,0.0024151811385853938
0.36,0.69,0.5679496885064494,0.6176470588235294,0.7779503105590062,0.7737451737451737,0.775842044134727,0.658820430245964,0.6691646246181281,0.6390611808720558,0.00237821408034174
0.37,0.69,0.5647461145867628,0.6098039215686274,0.7824726134585289,0.7722007722007722,0.777302759424796,0.661308456404203,0.6656185253273479,0.6394729440497764,0.0023535693748459705
0.38,0.69,0.5659458951983082,0.6098039215686274,0.7861635220125787,0.7722007722007722,0.7791195948578107,0.6622836337091675,0.6656185253273479,0.640334139591823,0.002328924669350201
0.39,0.69,0.5657962899016441,0.6039215686274509,0.7897233201581028,0.7714285714285715,0.78046875,0.6686666124325717,0.6629589508592627,0.6430969795887055,0.0023083874147703937
0.4,0.69,0.5623375539351682,0.5980392156862745,0.7926926131850676,0.7706563706563706,0.7815191855912295,0.6706929548844461,0.6602993763911778,0.6428014713144738,0.002291957611106547
0.41,0.69,0.5620298550980576,0.5941176470588235,0.7944223107569721,0.7698841698841699,0.7819607843137255,0.6755688414092689,0.6585263267457877,0.6445330730460755,0.0022837427092746243
0.42,0.69,0.5603673681687704,0.5882352941176471,0.7980769230769231,0.7691119691119691,0.7833267793944161,0.6775445252998464,0.6558667522777025,0.6452718437316548,0.0022632054546948164
0.43,0.69,0.562349802658945,0.5882352941176471,0.8019323671497585,0.7691119691119691,0.7851793456838786,0.6830536438408797,0.6558667522777025,0.6474156219392628,0.002238560749199047
0.44,0.69,0.5597345497841765,0.5823529411764706,0.8043654001616815,0.7683397683397684,0.7859399684044234,0.6867770480961988,0.6532071778096175,0.6480615185957979,0.0022262383964511624
0.45,0.69,0.5595018457634557,0.5784313725490196,0.8074735987002437,0.7675675675675676,0.78701504354711,0.6900445252998465,0.6514341281642273,0.6496277124492257,0.0022098085927873164
0.46,0.69,0.5556736478176106,0.5725490196078431,0.8086319218241043,0.7667953667953668,0.7871581450653984,0.6909310501225414,0.6487745536961422,0.6487411876265307,0.0022057011418713545
0.47,0.69,0.5507524636576722,0.5666666666666667,0.809795918367347,0.766023166023166,0.7873015873015873,0.6891580004771514,0.6461149792280572,0.6468203838440247,0.002201593690955393
0.48,0.69,0.5532034440498291,0.5666666666666667,0.8111201962387572,0.766023166023166,0.7879269261318507,0.6927040997679316,0.6461149792280572,0.6491000191023835,0.00219337878912347
0.49,0.69,0.555024858890275,0.5666666666666667,0.8137817883511075,0.766023166023166,0.7891805887032617,0.6972253763636761,0.6461149792280572,0.6511263615542578,0.002176948985459624
0.5,0.69,0.555024858890275,0.5666666666666667,0.8137817883511075,0.766023166023166,0.7891805887032617,0.6972253763636761,0.6461149792280572,0.6511263615542578,0.002176948985459624
0.51,0.69,0.5514767729892479,0.5627450980392157,0.8156378600823045,0.7652509652509653,0.7896414342629482,0.6972253763636761,0.644341929582667,0.6498852268024847,0.0021687340836277005
0.52,0.69,0.5402722911965309,0.5509803921568627,0.8168316831683168,0.7644787644787645,0.7897885919425608,0.693679277072896,0.6390227806464968,0.6452752977244705,0.002164626632711739
0.53,0.69,0.5402722911965309,0.5509803921568627,0.8168316831683168,0.7644787644787645,0.7897885919425608,0.693679277072896,0.6390227806464968,0.6452752977244705,0.002164626632711739
0.54,0.69,0.5418578057851414,0.5509803921568627,0.820215410107705,0.7644787644787645,0.7913669064748201,0.6958322659280125,0.6390227806464968,0.6466937374407826,0.002144089378131931
0.55,0.69,0.5429273245017191,0.5509803921568627,0.8222591362126246,0.7644787644787645,0.7923169267707083,0.6976053155734024,0.6390227806464968,0.6477575672280167,0.0021317670253840466
0.56,0.69,0.5376985663317844,0.5450980392156862,0.8221113881961762,0.7637065637065638,0.7918334667734187,0.6976053155734024,0.6363632061784117,0.6459845175826265,0.0021358744763000084
0.57,0.69,0.5336638755323876,0.5411764705882353,0.8226477935054122,0.7629343629343629,0.7916666666666666,0.6931726914599273,0.6345901565330218,0.6438315287275101,0.0021358744763000084
