Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,1.0,1.0,1.0,37,0,0,0.6600000262260437,Head,minority_f2
T1005,78,115,22,0.8823529411764706,0.6818181818181818,0.7692307692307693,15,2,7,0.6600000262260437,Medium,minority_f2
T1012,29,116,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.6600000262260437,Medium,minority_f2
T1016,46,115,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.6600000262260437,Medium,minority_f2
T1021,121,128,34,0.8529411764705882,0.8529411764705882,0.8529411764705882,29,5,5,0.6600000262260437,Head,minority_f2
T1027,761,791,218,0.8443396226415094,0.8211009174311926,0.8325581395348837,179,33,39,0.6600000262260437,Head,minority_f2
T1033,45,118,13,0.6666666666666666,0.6153846153846154,0.64,8,4,5,0.6600000262260437,Medium,minority_f2
T1036,88,114,25,0.9230769230769231,0.96,0.9411764705882353,24,2,1,0.6600000262260437,Medium,minority_f2
T1041,101,114,29,0.7037037037037037,0.6551724137931034,0.6785714285714286,19,8,10,0.6600000262260437,Head,minority_f2
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.6600000262260437,Medium,minority_f2
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.6600000262260437,Head,minority_f2
T1055,332,340,95,0.9347826086956522,0.9052631578947369,0.9197860962566845,86,6,9,0.6600000262260437,Head,minority_f2
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.6600000262260437,Medium,minority_f2
T1057,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.6600000262260437,Medium,minority_f2
T1059,325,363,93,0.7623762376237624,0.8279569892473119,0.7938144329896907,77,24,16,0.6600000262260437,Head,minority_f2
T1068,11,114,3,1.0,1.0,1.0,3,0,0,0.5600000023841858,Tail,minority_f2
T1070,91,114,26,0.7777777777777778,0.8076923076923077,0.7924528301886793,21,6,5,0.6600000262260437,Medium,minority_f2
T1071,178,184,51,0.9347826086956522,0.8431372549019608,0.8865979381443299,43,3,8,0.6600000262260437,Head,minority_f2
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.5600000023841858,Tail,minority_f2
T1074,34,119,10,1.0,0.7,0.8235294117647058,7,0,3,0.6600000262260437,Medium,minority_f2
T1078,194,217,56,0.7962962962962963,0.7678571428571429,0.7818181818181819,43,11,13,0.6600000262260437,Head,minority_f2
T1082,128,173,36,0.7575757575757576,0.6944444444444444,0.7246376811594203,25,8,11,0.6600000262260437,Head,minority_f2
T1083,108,120,31,0.8709677419354839,0.8709677419354839,0.8709677419354839,27,4,4,0.6600000262260437,Head,minority_f2
T1090,167,167,48,0.9148936170212766,0.8958333333333334,0.9052631578947369,43,4,5,0.6600000262260437,Head,minority_f2
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.6600000262260437,Medium,minority_f2
T1105,311,324,89,0.8837209302325582,0.8539325842696629,0.8685714285714285,76,10,13,0.6600000262260437,Head,minority_f2
T1106,222,244,64,0.7746478873239436,0.859375,0.8148148148148148,55,16,9,0.6600000262260437,Head,minority_f2
T1110,63,116,18,0.9375,0.8333333333333334,0.8823529411764706,15,1,3,0.6600000262260437,Medium,minority_f2
T1112,123,131,35,0.8787878787878788,0.8285714285714286,0.8529411764705882,29,4,6,0.6600000262260437,Head,minority_f2
T1113,37,118,11,1.0,0.9090909090909091,0.9523809523809523,10,0,1,0.6600000262260437,Medium,minority_f2
T1140,479,485,137,0.9057971014492754,0.9124087591240876,0.9090909090909091,125,13,12,0.6600000262260437,Head,minority_f2
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.6600000262260437,Medium,minority_f2
T1204,114,118,32,0.8666666666666667,0.8125,0.8387096774193549,26,4,6,0.6600000262260437,Head,minority_f2
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.5600000023841858,Tail,minority_f2
T1218,59,114,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.6600000262260437,Medium,minority_f2
T1219,68,116,19,0.9444444444444444,0.8947368421052632,0.918918918918919,17,1,2,0.6600000262260437,Medium,minority_f2
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.6600000262260437,Medium,minority_f2
T1518,43,114,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,0.6600000262260437,Medium,minority_f2
T1543,58,117,17,0.8,0.7058823529411765,0.75,12,3,5,0.6600000262260437,Medium,minority_f2
T1547,80,114,23,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2,0.6600000262260437,Medium,minority_f2
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.6600000262260437,Medium,minority_f2
T1552,28,114,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.6600000262260437,Medium,minority_f2
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.5600000023841858,Tail,minority_f2
T1562,108,126,31,0.9090909090909091,0.967741935483871,0.9375,30,3,1,0.6600000262260437,Head,minority_f2
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.6600000262260437,Medium,minority_f2
T1566,107,114,31,0.9629629629629629,0.8387096774193549,0.896551724137931,26,1,5,0.6600000262260437,Head,minority_f2
T1569,26,115,8,1.0,0.5,0.6666666666666666,4,0,4,0.6600000262260437,Medium,minority_f2
T1570,73,114,21,0.9375,0.7142857142857143,0.8108108108108109,15,1,6,0.6600000262260437,Medium,minority_f2
T1573,72,115,21,0.8571428571428571,0.5714285714285714,0.6857142857142857,12,2,9,0.6600000262260437,Medium,minority_f2
T1574,88,114,25,1.0,0.92,0.9583333333333334,23,0,2,0.6600000262260437,Medium,minority_f2
