Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.66,Medium,global
T1003,237,237,68,0.9285714285714286,0.7647058823529411,0.8387096774193549,52,4,16,0.66,Head,global
T1005,156,156,44,0.7435897435897436,0.6590909090909091,0.6987951807228916,29,10,15,0.66,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.66,Tail,global
T1007,34,78,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.66,Medium,global
T1008,31,78,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.66,Medium,global
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.66,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.66,Tail,global
T1012,88,88,25,0.7777777777777778,0.56,0.6511627906976745,14,4,11,0.66,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.66,Tail,global
T1016,182,182,52,0.7321428571428571,0.7884615384615384,0.7592592592592593,41,15,11,0.66,Head,global
T1018,40,78,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.66,Medium,global
T1020,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.66,Tail,global
T1021,226,226,64,0.8135593220338984,0.75,0.7804878048780488,48,11,16,0.66,Head,global
T1025,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.66,Tail,global
T1027,1105,1110,316,0.7443820224719101,0.8386075949367089,0.7886904761904762,265,91,51,0.66,Head,global
T1029,12,78,4,0.5,0.5,0.5,2,2,2,0.66,Tail,global
T1030,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1033,153,153,44,0.8043478260869565,0.8409090909090909,0.8222222222222222,37,9,7,0.66,Head,global
T1036,280,280,80,0.788235294117647,0.8375,0.8121212121212121,67,18,13,0.66,Head,global
T1037,32,78,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.66,Medium,global
T1039,10,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.66,Tail,global
T1040,12,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.66,Tail,global
T1041,165,165,47,0.7142857142857143,0.7446808510638298,0.7291666666666666,35,14,12,0.66,Head,global
T1046,31,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.66,Medium,global
T1047,142,142,40,0.8125,0.975,0.8863636363636364,39,9,1,0.66,Head,global
T1048,37,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.66,Medium,global
T1049,51,78,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.66,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.66,Tail,global
T1053,242,243,69,0.953125,0.8840579710144928,0.9172932330827067,61,3,8,0.66,Head,global
T1055,502,502,143,0.8802816901408451,0.8741258741258742,0.8771929824561403,125,17,18,0.66,Head,global
T1056,156,156,44,0.9318181818181818,0.9318181818181818,0.9318181818181818,41,3,3,0.66,Head,global
T1057,227,227,65,0.9016393442622951,0.8461538461538461,0.873015873015873,55,6,10,0.66,Head,global
T1059,807,808,231,0.8369098712446352,0.8441558441558441,0.8405172413793104,195,38,36,0.66,Head,global
T1068,37,78,11,0.6153846153846154,0.7272727272727273,0.6666666666666666,8,5,3,0.66,Medium,global
T1069,45,78,13,0.9,0.6923076923076923,0.782608695652174,9,1,4,0.66,Medium,global
T1070,329,329,94,0.8235294117647058,0.8936170212765957,0.8571428571428571,84,18,10,0.66,Head,global
T1071,432,432,124,0.8823529411764706,0.8467741935483871,0.8641975308641975,105,14,19,0.66,Head,global
T1072,20,78,6,1.0,0.6666666666666666,0.8,4,0,2,0.66,Medium,global
T1074,103,103,29,0.7586206896551724,0.7586206896551724,0.7586206896551724,22,7,7,0.66,Head,global
T1078,257,263,74,0.7662337662337663,0.7972972972972973,0.7814569536423841,59,18,15,0.66,Head,global
T1080,16,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.66,Tail,global
T1082,332,332,95,0.8444444444444444,0.8,0.8216216216216217,76,14,19,0.66,Head,global
T1083,287,287,82,0.8205128205128205,0.7804878048780488,0.8,64,14,18,0.66,Head,global
T1087,66,78,19,0.7692307692307693,0.5263157894736842,0.625,10,3,9,0.66,Medium,global
T1090,254,254,73,0.8717948717948718,0.9315068493150684,0.9006622516556292,68,10,5,0.66,Head,global
T1091,17,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.66,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1095,98,98,28,0.8571428571428571,0.8571428571428571,0.8571428571428571,24,4,4,0.66,Medium,global
T1098,33,78,10,0.875,0.7,0.7777777777777778,7,1,3,0.66,Medium,global
T1102,71,78,20,0.7058823529411765,0.6,0.6486486486486487,12,5,8,0.66,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.66,Tail,global
T1105,547,547,156,0.8333333333333334,0.8012820512820513,0.8169934640522876,125,25,31,0.66,Head,global
T1106,304,305,87,0.6947368421052632,0.7586206896551724,0.7252747252747253,66,29,21,0.66,Head,global
T1110,112,112,32,0.8571428571428571,0.75,0.8,24,4,8,0.66,Head,global
T1111,9,78,3,1.0,1.0,1.0,3,0,0,0.66,Tail,global
T1112,203,203,58,0.7142857142857143,0.7758620689655172,0.743801652892562,45,18,13,0.66,Head,global
T1113,117,117,33,0.9117647058823529,0.9393939393939394,0.9253731343283582,31,3,2,0.66,Head,global
T1114,36,78,10,1.0,0.9,0.9473684210526315,9,0,1,0.66,Medium,global
T1115,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.66,Medium,global
T1119,33,78,10,0.75,0.3,0.42857142857142855,3,1,7,0.66,Medium,global
T1120,31,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.66,Medium,global
T1123,19,78,5,1.0,1.0,1.0,5,0,0,0.66,Tail,global
T1124,45,78,13,1.0,0.9230769230769231,0.96,12,0,1,0.66,Medium,global
T1125,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.66,Tail,global
T1127,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1129,15,78,4,0.3333333333333333,0.25,0.2857142857142857,1,2,3,0.66,Tail,global
T1132,66,78,19,1.0,0.7368421052631579,0.8484848484848485,14,0,5,0.66,Medium,global
T1133,26,78,8,0.6,0.375,0.46153846153846156,3,2,5,0.66,Medium,global
T1134,52,78,15,0.8235294117647058,0.9333333333333333,0.875,14,3,1,0.66,Medium,global
T1135,31,78,9,0.6363636363636364,0.7777777777777778,0.7,7,4,2,0.66,Medium,global
T1136,27,78,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.66,Medium,global
T1137,38,78,11,0.8333333333333334,0.9090909090909091,0.8695652173913043,10,2,1,0.66,Medium,global
T1140,616,616,176,0.927710843373494,0.875,0.9005847953216374,154,12,22,0.66,Head,global
T1176,11,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1185,15,78,4,0.0,0.0,0.0,0,0,4,0.66,Tail,global
T1187,12,78,4,0.0,0.0,0.0,0,0,4,0.66,Tail,global
T1189,37,78,10,0.375,0.3,0.3333333333333333,3,5,7,0.66,Medium,global
T1190,88,88,25,0.7777777777777778,0.84,0.8076923076923077,21,6,4,0.66,Medium,global
T1195,19,78,6,1.0,0.3333333333333333,0.5,2,0,4,0.66,Tail,global
T1197,15,78,4,0.5,1.0,0.6666666666666666,4,4,0,0.66,Tail,global
T1199,8,78,2,0.0,0.0,0.0,0,0,2,0.66,Tail,global
T1200,3,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1201,7,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.66,Tail,global
T1202,3,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1203,44,78,12,0.9,0.75,0.8181818181818182,9,1,3,0.66,Medium,global
T1204,244,244,70,0.8088235294117647,0.7857142857142857,0.7971014492753623,55,13,15,0.66,Head,global
T1205,20,78,6,1.0,0.6666666666666666,0.8,4,0,2,0.66,Medium,global
T1207,5,78,2,0.0,0.0,0.0,0,0,2,0.66,Tail,global
T1210,33,78,10,0.5555555555555556,0.5,0.5263157894736842,5,4,5,0.66,Medium,global
T1211,4,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1212,3,78,1,1.0,1.0,1.0,1,0,0,0.66,Tail,global
T1213,17,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.66,Tail,global
T1216,10,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1217,8,78,2,1.0,1.0,1.0,2,0,0,0.66,Tail,global
T1218,225,225,64,0.896551724137931,0.8125,0.8524590163934426,52,6,12,0.66,Head,global
T1219,86,86,24,0.9047619047619048,0.7916666666666666,0.8444444444444444,19,2,5,0.66,Medium,global
T1220,10,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1221,13,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.66,Tail,global
T1222,25,78,7,0.6666666666666666,0.2857142857142857,0.4,2,1,5,0.66,Medium,global
T1480,24,78,7,1.0,0.5714285714285714,0.7272727272727273,4,0,3,0.66,Medium,global
T1482,10,78,3,1.0,1.0,1.0,3,0,0,0.66,Tail,global
T1484,49,78,14,0.9230769230769231,0.8571428571428571,0.8888888888888888,12,1,2,0.66,Medium,global
T1485,17,78,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.66,Tail,global
T1486,37,78,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.66,Medium,global
T1489,22,78,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.66,Medium,global
T1490,19,78,6,1.0,1.0,1.0,6,0,0,0.66,Tail,global
T1491,9,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.66,Tail,global
T1495,3,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1496,12,78,4,0.75,0.75,0.75,3,1,1,0.66,Tail,global
T1497,84,84,24,0.6071428571428571,0.7083333333333334,0.6538461538461539,17,11,7,0.66,Medium,global
T1498,23,78,6,0.5,0.5,0.5,3,3,3,0.66,Medium,global
T1499,34,78,10,0.6,0.3,0.4,3,2,7,0.66,Medium,global
T1505,48,78,14,1.0,0.7142857142857143,0.8333333333333334,10,0,4,0.66,Medium,global
T1518,128,128,37,0.75,0.7297297297297297,0.7397260273972602,27,9,10,0.66,Head,global
T1525,4,78,1,1.0,1.0,1.0,1,0,0,0.66,Tail,global
T1526,4,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1528,9,78,2,0.0,0.0,0.0,0,4,2,0.66,Tail,global
T1529,11,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.66,Tail,global
T1530,6,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.66,Tail,global
T1531,3,78,1,0.0,0.0,0.0,0,0,1,0.66,Tail,global
T1534,7,78,2,0.5,0.5,0.5,1,1,1,0.66,Tail,global
T1535,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.66,Tail,global
