minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.74,0.005640063710871708,0.95625,0.01455704858617978,0.8052009456264776,0.028597096630647422,0.48925096740653345,0.8136930300170149,0.43335900490483364,0.301967406510346
0.06,0.74,0.0071112324688342885,0.89375,0.019194444130255284,0.8023640661938535,0.03749199125113227,0.48937799425455164,0.7870972853361639,0.433612140352486,0.22741319190695927
0.07,0.74,0.009856433384602684,0.86875,0.02682895944790908,0.8014184397163121,0.05191980763634693,0.4896159490283637,0.7764589874638234,0.4340858646753487,0.1615658864552231
0.08,0.74,0.014606393821044714,0.85,0.03951084039300801,0.8004728132387707,0.07530468819500044,0.49003130921411564,0.768480264059568,0.43491093424758503,0.10851794625519387
0.09,0.74,0.022614120668187482,0.8270833333333332,0.06047160697033671,0.7990543735224587,0.11243430244162066,0.49074343186118025,0.7587284910099228,0.43631943291042236,0.0696396133046583
0.1,0.74,0.03517745390435213,0.8020833333333333,0.09244434696786928,0.7971631205673759,0.16567582174617992,0.4918918758124882,0.7480901931375824,0.43857484298123783,0.044320151170317165
0.11,0.74,0.05609556856018938,0.7895833333333333,0.13916205272291546,0.7962174940898346,0.236916150815982,0.49389922911447315,0.7427710442014122,0.44246664608959674,0.028313114651410436
0.12,0.74,0.08740667841735694,0.7708333333333333,0.20622854340362923,0.7952718676122932,0.32752409697205725,0.497148229495659,0.7347923207971568,0.44863210735224096,0.018027164721358027
0.13,0.74,0.12818996553094705,0.7520833333333333,0.2876712328767123,0.7943262411347518,0.42237586423632933,0.5018525757870038,0.7268135973929015,0.45729243084785826,0.011992879961581025
0.14,0.74,0.18097832049980153,0.7333333333333333,0.3817974971558589,0.7933806146572104,0.5155145929339477,0.509426245059132,0.7188348739886462,0.47020237425057815,0.008231891925751154
0.15,0.74,0.23393167157425426,0.7208333333333333,0.4638804317741489,0.7924349881796691,0.585195530726257,0.5183587513834373,0.713515725052476,0.4845590186763812,0.0062013237842691
0.16,0.74,0.2937380147504702,0.7020833333333333,0.544744549300358,0.7914893617021277,0.6453353893600616,0.5303361621773511,0.7055370016482206,0.5029326649654317,0.004802371954147787
0.17,0.74,0.35116695094170164,0.6979166666666666,0.6125961186378616,0.791016548463357,0.6904663640115559,0.5432997106644073,0.7037639520028304,0.5219902215063789,0.003914977136533522
0.18,0.74,0.39980261858571314,0.6979166666666666,0.6565934065934066,0.791016548463357,0.7175638001286725,0.5619319376701053,0.7037639520028304,0.5433312515250602,0.003437349925876433
0.19,0.74,0.43552803718683214,0.6916666666666667,0.6926263463131731,0.7905437352245863,0.7383528372709207,0.5764894078268497,0.7011043775347453,0.559676893580489,0.003092831937861483
0.2,0.74,0.47111266461298495,0.6916666666666667,0.7191397849462365,0.7905437352245863,0.7531531531531531,0.596667586877962,0.7011043775347453,0.5782402763804175,0.0028605432944271607
0.21,0.74,0.49098629894192475,0.6854166666666666,0.7384003535130358,0.7900709219858156,0.7633622658748287,0.6090019215566334,0.6984448030666602,0.5895894014683445,0.0027039442089658197
0.22,0.74,0.5002974106539316,0.6645833333333333,0.7527075812274369,0.7886524822695036,0.7702609097206188,0.6193128798064214,0.68957955483971,0.597973778693707,0.00259693483390057
0.23,0.74,0.5166343938938038,0.6645833333333333,0.7644362969752521,0.7886524822695036,0.7763555969280894,0.6303753250443985,0.68957955483971,0.6077688004568139,0.0025081953521391433
0.24,0.74,0.5306884112180501,0.6604166666666667,0.7728326379230412,0.7881796690307329,0.7804307116104869,0.6418358650953642,0.6878065051943197,0.6175347437333956,0.0024481657027122963
0.25,0.74,0.5420301853182077,0.6604166666666667,0.7807962529274005,0.7881796690307329,0.7844705882352941,0.6499343269172302,0.6878065051943197,0.6245352491381562,0.0023907460380431377
0.26,0.74,0.5491110156720644,0.6541666666666666,0.7877068557919622,0.7877068557919622,0.7877068557919622,0.6575141141512727,0.6851469307262347,0.6306365650798977,0.0023437663124047355
0.27,0.74,0.5546115823568416,0.6541666666666666,0.7922016167379934,0.7877068557919622,0.7899478425794215,0.6659107706862272,0.6851469307262347,0.635094164218348,0.0023124464953124674
0.28,0.74,0.5608374388124775,0.6541666666666666,0.7971291866028708,0.7877068557919622,0.7923900118906064,0.6706389030739339,0.6851469307262347,0.6392362691583252,0.00227851669346251
0.29,0.74,0.5590686704076797,0.6416666666666666,0.8016369764082811,0.7872340425531915,0.7943702290076335,0.6739127125977435,0.6798277817900645,0.6408711590910875,0.002249806861127931
0.3,0.74,0.544969836289012,0.61875,0.8052325581395349,0.7858156028368795,0.7954055994256999,0.6748688929422219,0.6700760087404192,0.6379728753417399,0.002231536967824108
0.31,0.74,0.5464849878041635,0.61875,0.8067961165048544,0.7858156028368795,0.7961676646706587,0.6758820641681589,0.6700760087404192,0.6389185018192813,0.002221097028793352
