Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,1.0,0.5454545454545454,0.7058823529411765,6,0,5,0.69,Medium,global
T1003,107,107,30,1.0,0.5,0.6666666666666666,15,0,15,0.69,Head,global
T1005,78,78,22,0.68,0.7727272727272727,0.723404255319149,17,8,5,0.69,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.69,Tail,global
T1007,34,48,10,1.0,0.8,0.8888888888888888,8,0,2,0.69,Medium,global
T1008,31,48,9,1.0,0.6666666666666666,0.8,6,0,3,0.69,Medium,global
T1010,17,48,5,1.0,1.0,1.0,5,0,0,0.69,Tail,global
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.69,Tail,global
T1012,59,59,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.69,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.69,Tail,global
T1016,136,136,39,0.8235294117647058,0.717948717948718,0.7671232876712328,28,6,11,0.69,Head,global
T1018,40,48,12,0.8571428571428571,0.5,0.631578947368421,6,1,6,0.69,Medium,global
T1020,18,48,5,0.3333333333333333,0.2,0.25,1,2,4,0.69,Tail,global
T1021,105,105,30,0.8181818181818182,0.6,0.6923076923076923,18,4,12,0.69,Head,global
T1025,18,48,5,0.0,0.0,0.0,0,0,5,0.69,Tail,global
T1027,344,344,98,0.8076923076923077,0.8571428571428571,0.8316831683168316,84,20,14,0.69,Head,global
T1029,12,48,4,1.0,0.25,0.4,1,0,3,0.69,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.69,Tail,global
T1033,108,108,31,0.7,0.9032258064516129,0.7887323943661971,28,12,3,0.69,Head,global
T1036,192,192,55,0.9166666666666666,0.8,0.8543689320388349,44,4,11,0.69,Head,global
T1037,32,48,9,1.0,0.3333333333333333,0.5,3,0,6,0.69,Medium,global
T1039,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.69,Tail,global
T1040,12,48,4,1.0,0.25,0.4,1,0,3,0.69,Tail,global
T1041,64,64,18,0.8125,0.7222222222222222,0.7647058823529411,13,3,5,0.69,Medium,global
T1046,31,48,9,1.0,0.7777777777777778,0.875,7,0,2,0.69,Medium,global
T1047,59,59,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.69,Medium,global
T1048,37,48,11,0.6666666666666666,0.18181818181818182,0.2857142857142857,2,1,9,0.69,Medium,global
T1049,51,51,14,1.0,0.5714285714285714,0.7272727272727273,8,0,6,0.69,Medium,global
T1052,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.69,Tail,global
T1053,121,121,35,0.868421052631579,0.9428571428571428,0.9041095890410958,33,5,2,0.69,Head,global
T1055,170,170,49,0.9024390243902439,0.7551020408163265,0.8222222222222222,37,4,12,0.69,Head,global
T1056,100,100,29,0.8333333333333334,0.8620689655172413,0.847457627118644,25,5,4,0.69,Head,global
T1057,144,144,41,0.9024390243902439,0.9024390243902439,0.9024390243902439,37,4,4,0.69,Head,global
T1059,481,481,138,0.8671328671328671,0.8985507246376812,0.8825622775800712,124,19,14,0.69,Head,global
T1068,26,48,7,0.6666666666666666,0.8571428571428571,0.75,6,3,1,0.69,Medium,global
T1069,45,48,13,0.75,0.6923076923076923,0.72,9,3,4,0.69,Medium,global
T1070,238,238,68,0.9090909090909091,0.8823529411764706,0.8955223880597015,60,6,8,0.69,Head,global
T1071,255,255,73,0.8375,0.9178082191780822,0.8758169934640523,67,13,6,0.69,Head,global
T1072,7,48,2,0.0,0.0,0.0,0,0,2,0.69,Tail,global
T1074,68,68,20,0.9166666666666666,0.55,0.6875,11,1,9,0.69,Medium,global
T1078,63,63,18,0.8461538461538461,0.6111111111111112,0.7096774193548387,11,2,7,0.69,Medium,global
T1080,16,48,4,1.0,0.25,0.4,1,0,3,0.69,Tail,global
T1082,205,205,59,0.9,0.9152542372881356,0.907563025210084,54,6,5,0.69,Head,global
T1083,178,178,51,0.75,0.7647058823529411,0.7572815533980582,39,13,12,0.69,Head,global
T1087,66,66,19,0.7,0.3684210526315789,0.4827586206896552,7,3,12,0.69,Medium,global
T1090,87,87,25,0.9,0.72,0.8,18,2,7,0.69,Medium,global
T1091,17,48,5,1.0,0.2,0.3333333333333333,1,0,4,0.69,Tail,global
T1092,4,48,1,0.0,0.0,0.0,0,0,1,0.69,Tail,global
T1095,38,48,11,0.5,0.36363636363636365,0.42105263157894735,4,4,7,0.69,Medium,global
T1098,33,48,10,1.0,0.3,0.46153846153846156,3,0,7,0.69,Medium,global
T1102,71,71,20,0.6875,0.55,0.6111111111111112,11,5,9,0.69,Medium,global
T1104,12,48,3,0.0,0.0,0.0,0,1,3,0.69,Tail,global
T1105,236,236,67,0.8615384615384616,0.835820895522388,0.8484848484848485,56,9,11,0.69,Head,global
T1106,81,81,23,0.6470588235294118,0.4782608695652174,0.55,11,6,12,0.69,Medium,global
T1110,49,49,14,0.8461538461538461,0.7857142857142857,0.8148148148148148,11,2,3,0.69,Medium,global
T1111,9,48,3,0.0,0.0,0.0,0,1,3,0.69,Tail,global
T1112,80,80,23,0.8571428571428571,0.782608695652174,0.8181818181818182,18,3,5,0.69,Medium,global
T1113,80,80,23,0.92,1.0,0.9583333333333334,23,2,0,0.69,Medium,global
T1114,36,48,10,1.0,0.5,0.6666666666666666,5,0,5,0.69,Medium,global
T1115,22,48,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.69,Medium,global
T1119,33,48,10,0.6666666666666666,0.2,0.3076923076923077,2,1,8,0.69,Medium,global
T1120,31,48,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4,0.69,Medium,global
T1123,19,48,5,1.0,1.0,1.0,5,0,0,0.69,Tail,global
T1124,45,48,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,0.69,Medium,global
T1125,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.69,Tail,global
T1127,9,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.69,Tail,global
T1129,15,48,4,0.5,0.5,0.5,2,2,2,0.69,Tail,global
T1132,66,66,19,0.8823529411764706,0.7894736842105263,0.8333333333333334,15,2,4,0.69,Medium,global
T1133,26,48,8,0.8571428571428571,0.75,0.8,6,1,2,0.69,Medium,global
T1134,52,52,15,0.8333333333333334,0.6666666666666666,0.7407407407407407,10,2,5,0.69,Medium,global
T1135,31,48,9,1.0,0.8888888888888888,0.9411764705882353,8,0,1,0.69,Medium,global
T1136,27,48,8,0.625,0.625,0.625,5,3,3,0.69,Medium,global
T1137,38,48,11,0.8,0.7272727272727273,0.7619047619047619,8,2,3,0.69,Medium,global
T1140,136,136,39,0.8536585365853658,0.8974358974358975,0.875,35,6,4,0.69,Head,global
T1176,11,48,3,0.5,0.3333333333333333,0.4,1,1,2,0.69,Tail,global
T1185,15,48,4,0.5,0.25,0.3333333333333333,1,1,3,0.69,Tail,global
T1187,12,48,4,0.0,0.0,0.0,0,0,4,0.69,Tail,global
T1189,37,48,10,0.75,0.3,0.42857142857142855,3,1,7,0.69,Medium,global
T1190,19,48,6,1.0,0.16666666666666666,0.2857142857142857,1,0,5,0.69,Tail,global
T1195,19,48,6,1.0,0.3333333333333333,0.5,2,0,4,0.69,Tail,global
T1197,15,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.69,Tail,global
T1199,8,48,2,0.0,0.0,0.0,0,0,2,0.69,Tail,global
T1200,3,48,1,0.0,0.0,0.0,0,0,1,0.69,Tail,global
T1201,7,48,2,1.0,1.0,1.0,2,0,0,0.69,Tail,global
T1202,3,48,1,0.0,0.0,0.0,0,0,1,0.69,Tail,global
T1203,44,48,12,1.0,0.9166666666666666,0.9565217391304348,11,0,1,0.69,Medium,global
T1204,131,131,37,0.9375,0.8108108108108109,0.8695652173913043,30,2,7,0.69,Head,global
T1205,20,48,6,1.0,0.6666666666666666,0.8,4,0,2,0.69,Medium,global
T1207,5,48,2,1.0,0.5,0.6666666666666666,1,0,1,0.69,Tail,global
T1210,16,48,5,1.0,0.2,0.3333333333333333,1,0,4,0.69,Tail,global
T1211,4,48,1,0.0,0.0,0.0,0,0,1,0.69,Tail,global
T1212,3,48,1,0.0,0.0,0.0,0,0,1,0.69,Tail,global
T1213,17,48,5,0.5,0.2,0.2857142857142857,1,1,4,0.69,Tail,global
T1216,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.69,Tail,global
T1217,8,48,2,0.6666666666666666,1.0,0.8,2,1,0,0.69,Tail,global
T1218,166,166,47,0.9285714285714286,0.8297872340425532,0.8764044943820225,39,3,8,0.69,Head,global
T1219,17,48,5,1.0,0.4,0.5714285714285714,2,0,3,0.69,Tail,global
