minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.67,0.0054464578045565,0.93125,0.014556065308325462,0.8160756501182033,0.028601967006653354,0.4651296551348361,0.8066762309205623,0.4258849754692559,0.30599200300670243
0.06,0.67,0.0071198379882702195,0.925,0.019040996092456453,0.8156028368794326,0.0372132155454163,0.46527382718600113,0.8040166564524771,0.4261724344732054,0.2329646294865638
0.07,0.67,0.009671394567432705,0.875,0.026676592840746943,0.8132387706855791,0.05165863254794192,0.46549499202137096,0.7827400607077963,0.4266127368507446,0.164823147432819
0.08,0.67,0.01448643170073859,0.86875,0.03916788188115202,0.8127659574468085,0.07473425646153511,0.4659154277632281,0.7800804862397112,0.42744819935520606,0.11109400121103293
0.09,0.67,0.02261118606250268,0.85,0.059765951518528836,0.8113475177304964,0.11133097609238654,0.46663649962395254,0.7721017628354558,0.428875144195386,0.07150053243689057
0.1,0.67,0.0366152018527697,0.85,0.09260158653067832,0.8113475177304964,0.16623074687590816,0.4679095781864186,0.7721017628354558,0.4313789099447402,0.0449282776188587
0.11,0.67,0.056842634495771205,0.79375,0.14241692346131424,0.8085106382978723,0.24217532927347402,0.46984782373705475,0.7481655926226899,0.43513881414635774,0.02793205687678784
0.12,0.67,0.08842150943030642,0.7645833333333333,0.2101440354548812,0.8070921985815603,0.3334635671029498,0.47313024330030373,0.7357542451049596,0.44136563722606303,0.01781053598646984
0.13,0.67,0.12874174028380728,0.7458333333333333,0.2917023096663815,0.806146572104019,0.42839195979899497,0.47782050134576504,0.7277755217007041,0.4499720198944946,0.011875430647485018
0.14,0.67,0.18279968848034706,0.7416666666666666,0.3832658569500675,0.8056737588652483,0.5194330132601738,0.4849119006593364,0.7260024720553139,0.4625256989678643,0.008229281940993465
0.15,0.67,0.2350453548383542,0.7291666666666666,0.46413962367057543,0.8047281323877069,0.5887236250432376,0.49345474775745896,0.7206833231191437,0.47657586240866956,0.006206543753784478
