minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.64,0.007185507469844019,0.9647058823529412,0.01067,0.8239382239382239,0.021067180018757094,0.43329991531036866,0.846793413295617,0.4111711336411192,0.40729894027766367
0.06,0.64,0.008021269344212306,0.9431372549019607,0.01224593145040628,0.8216216216216217,0.024132182669736112,0.4333766668720101,0.8370416402459716,0.4113240424263254,0.3534584736712396
0.07,0.64,0.00986131219086396,0.9431372549019607,0.015047376608683355,0.8216216216216217,0.029553503228942436,0.43354590595521875,0.8370416402459716,0.411661078484908,0.2870163476546455
0.08,0.64,0.012698779168121052,0.9254901960784313,0.019457320312929408,0.8200772200772201,0.03801274250125277,0.43380842994647284,0.8290629168417163,0.4121831104440849,0.22078370163476546
0.09,0.64,0.0172437482194943,0.9078431372549018,0.0264365522745411,0.8185328185328186,0.05121886400425213,0.43423247743105703,0.821084193437461,0.413024538794148,0.1613037049207262
0.1,0.64,0.024307117342719994,0.8803921568627451,0.037069509714526196,0.8162162162162162,0.0709181790734342,0.43490153085587374,0.8086728459197304,0.41434700611596104,0.11375585311755525
0.11,0.64,0.036062134684844385,0.8745098039215685,0.053481894150417826,0.8154440154440155,0.10038022813688213,0.43603898077075676,0.8060132714516454,0.4165828925847766,0.07774583093732029
0.12,0.64,0.05219859432051845,0.8294117647058824,0.07753596458871265,0.8115830115830116,0.14154882154882154,0.4376673226784381,0.7856232005296595,0.41974856364000557,0.05236178427667789
0.13,0.64,0.07781065580222446,0.8137254901960783,0.11141795007966011,0.81003861003861,0.19589169000933707,0.440420160936154,0.7785310019480993,0.42500835348212174,0.035373367288260904
0.14,0.64,0.11181731823418231,0.7980392156862745,0.15566458519179305,0.8084942084942085,0.26106470514898394,0.4444472217361867,0.771438803366539,0.4324872816986865,0.024344861578904132
0.15,0.64,0.1558400345193052,0.792156862745098,0.20970328789093826,0.8077220077220078,0.33296196084672924,0.4502448213878068,0.7687792288984538,0.4429117181198216,0.017214326788794875
0.16,0.64,0.20399671282853765,0.780392156862745,0.2706766917293233,0.8061776061776061,0.4052795031055901,0.4580237490650745,0.7634600799622837,0.4559012774790751,0.012585229606506203
0.17,0.64,0.24919319378910756,0.7764705882352941,0.3273697426239799,0.8054054054054054,0.4655210890426244,0.466131654242777,0.7616870303168936,0.4688708239909708,0.009837344943727922
0.18,0.64,0.2970333304875191,0.7431372549019608,0.3938589840788476,0.8023166023166023,0.5283498601576405,0.4764329452883121,0.7466161083310779,0.4846905032984331,0.0076193214491086835
0.19,0.64,0.3421434879321459,0.7313725490196079,0.44896193771626297,0.8015444015444015,0.5755475464374826,0.4914492747053897,0.7412969593949077,0.5031581012153761,0.00628850735233714
0.2,0.64,0.3857651008879605,0.7254901960784315,0.502422480620155,0.8007722007722008,0.6174456683536766,0.5052710539920875,0.7386373849268225,0.5206292661277813,0.005278074427010597
0.21,0.64,0.41923668436628203,0.7254901960784315,0.5381421899325376,0.8007722007722008,0.643699565487275,0.5162501841603692,0.7386373849268225,0.5347893115378212,0.004715353651523865
0.22,0.64,0.44540072078104687,0.7137254901960784,0.5762806236080178,0.7992277992277992,0.6696861857004206,0.5272750808514092,0.7333182359906524,0.5478131244047952,0.0041937073851967465
0.23,0.64,0.47474892650812933,0.707843137254902,0.6060961313012896,0.7984555984555984,0.6891036321226258,0.5421361467662555,0.7306586615225672,0.5634094817688227,0.00383225170459213
0.24,0.64,0.4908649942796135,0.692156862745098,0.6285018270401949,0.7969111969111969,0.7027579162410623,0.5551407027894286,0.7235664629410069,0.5749640405169129,0.0035858046496344367
0.25,0.64,0.5017130402173483,0.680392156862745,0.650063051702396,0.7961389961389962,0.7157237070461645,0.5642400393449604,0.7182473140048367,0.5832268415456713,0.0033640023001725128
0.26,0.64,0.513278672190386,0.6745098039215686,0.6675307841866494,0.7953667953667953,0.7258632840028189,0.5732419490782531,0.7155877395367516,0.5913099818096627,0.0031955968126180893
0.27,0.64,0.5311098847908059,0.6745098039215686,0.682571239231279,0.7953667953667953,0.7346647646219686,0.5855829325628535,0.7155877395367516,0.602710460763333,0.003055943481475396
0.28,0.64,0.5382963328078061,0.6627450980392157,0.6955345060893099,0.7938223938223938,0.7414352686620989,0.5943918107240471,0.7102685906005813,0.6098557664380505,0.0029450423067444343
0.29,0.64,0.5454808920616605,0.6529411764705882,0.7085635359116023,0.7922779922779922,0.7480860371855632,0.6048513423271957,0.7058359664871063,0.6176859681512309,0.002838248582929434
0.3,0.64,0.5527248581564735,0.6470588235294118,0.7213230119634061,0.7915057915057915,0.7547864506627393,0.6123720279063919,0.7031763920190212,0.623685553672093,0.002735562310030395
0.31,0.64,0.5572427825619412,0.6470588235294118,0.7279829545454546,0.7915057915057915,0.7584165741768405,0.61535568727303,0.7031763920190212,0.6264659163007036,0.002682165448122895
0.32,0.64,0.5591983837203287,0.6411764705882353,0.7345767575322812,0.7907335907335907,0.7616214206024544,0.621796631080995,0.7005168175509361,0.6302198308258946,0.0026328760371313563
0.33,0.64,0.5639139260637483,0.6352941176470588,0.7396963123644251,0.78996138996139,0.7640029873039582,0.6321125562905373,0.697857243082851,0.6365648156283262,0.0025959089788877023
0.34,0.64,0.5638192699770735,0.6254901960784315,0.7447118891320205,0.7884169884169884,0.7659414853713429,0.6422243121469741,0.6934246189693758,0.6405633879779624,0.0025630493715600097
0.35,0.64,0.554982633718292,0.6137254901960785,0.7483492296404989,0.7876447876447876,0.7674943566591422,0.6407172199483925,0.6881054700332055,0.6377017106481999,0.0025384046660642404
0.36,0.64,0.5466973588240206,0.6019607843137256,0.7531411677753141,0.7868725868725869,0.7696374622356495,0.6432712557471092,0.6827863210970353,0.635718351218032,0.0025055450587365483
0.37,0.64,0.5340086801136702,0.5843137254901961,0.7566964285714286,0.7853281853281854,0.7707464948844259,0.6410676083306959,0.6748075976927801,0.6317324435087202,0.0024850078041567403
0.38,0.64,0.5282148920101933,0.5725490196078432,0.7599102468212415,0.7845559845559845,0.7720364741641338,0.6427520054938164,0.6694884487566098,0.6314158275006146,0.0024644705495769324
0.39,0.64,0.5323886369301595,0.5725490196078432,0.7650602409638554,0.7845559845559845,0.7746854746473504,0.6518958758078994,0.6694884487566098,0.635540278699534,0.0024275034913332784
0.4,0.64,0.5323886369301595,0.5725490196078432,0.7650602409638554,0.7845559845559845,0.7746854746473504,0.6518958758078994,0.6694884487566098,0.635540278699534,0.0024275034913332784
0.41,0.64,0.535085277083547,0.5725490196078432,0.7691143073429221,0.7845559845559845,0.7767584097859327,0.654644102758254,0.6694884487566098,0.6375792857917325,0.0023987513349215477
0.42,0.64,0.5379755240914411,0.5725490196078432,0.7708649468892261,0.7845559845559845,0.7776502104860313,0.6575253084320128,0.6694884487566098,0.6397714198987603,0.002386428982173663
0.43,0.64,0.5399363084051666,0.5725490196078432,0.7714502657555049,0.7845559845559845,0.777947932618683,0.6601848829000979,0.6694884487566098,0.6415444695441503,0.0023823215312577016
0.44,0.64,0.5379638527562404,0.5666666666666668,0.7748091603053435,0.7837837837837838,0.7792706333973128,0.66442753740871,0.6668288742885248,0.642599856237835,0.0023617842766778937
0.45,0.64,0.5368786634357569,0.5627450980392157,0.7770114942528735,0.783011583011583,0.78,0.6683282466285682,0.6650558246431346,0.6436890153057174,0.002349461923930009
0.46,0.64,0.5350003044366548,0.5568627450980392,0.7804314329738059,0.7822393822393823,0.7813343617431546,0.670386250681253,0.6623962501750496,0.6443337606313138,0.002328924669350201
0.47,0.64,0.5382380077176108,0.5568627450980392,0.7834493426140758,0.7822393822393823,0.7828438948995363,0.6756167471351537,0.6623962501750496,0.6472086339849105,0.0023083874147703937
0.48,0.64,0.5386224752301059,0.5568627450980392,0.7852713178294574,0.7822393822393823,0.783752417794971,0.6759713570642317,0.6623962501750496,0.6475041422591423,0.002296065062022509
0.49,0.64,0.5354550544156264,0.5509803921568628,0.7869362363919129,0.7814671814671814,0.7841921735761332,0.6765032719578489,0.6597366757069645,0.6471242030494158,0.0022878501601905857
0.5,0.64,0.5306588221972487,0.5450980392156863,0.7873831775700935,0.7806949806949807,0.7840248158200853,0.6770351868514658,0.6570771012388793,0.6457310926137522,0.0022878501601905857
0.51,0.64,0.5306588221972487,0.5450980392156863,0.7879968823070927,0.7806949806949807,0.7843289371605896,0.6770351868514658,0.6570771012388793,0.6457310926137522,0.0022837427092746243
0.52,0.64,0.5195477110861376,0.5333333333333333,0.7876658860265418,0.7791505791505792,0.7833850931677019,0.6743756123833807,0.6517579523027092,0.6412984685002769,0.002291957611106547
0.53,0.64,0.5163614365763337,0.5294117647058824,0.7875,0.7783783783783784,0.7829126213592233,0.6739323499720331,0.6499849026573191,0.6402852972743398,0.002296065062022509
0.54,0.64,0.5083623278419308,0.5196078431372549,0.7871674491392802,0.7768339768339768,0.7819665759813448,0.6726025627379906,0.6455522785438439,0.6376763813675516,0.002304279963854432
0.55,0.64,0.49725121673081973,0.507843137254902,0.7876175548589341,0.7760617760617761,0.7817969661610268,0.6699429882699055,0.6402331296076736,0.6332437572540763,0.002304279963854432
0.56,0.64,0.4977672126028527,0.507843137254902,0.7888540031397174,0.7760617760617761,0.7824056052938887,0.670322927479632,0.6402331296076736,0.6335983671831543,0.002296065062022509
