Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,0.74,Medium,global
T1003,237,237,68,0.8793103448275862,0.75,0.8095238095238095,51,7,17,0.74,Head,global
T1005,156,156,44,0.7804878048780488,0.7272727272727273,0.7529411764705882,32,9,12,0.74,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.74,Tail,global
T1007,34,78,10,0.9,0.9,0.9,9,1,1,0.74,Medium,global
T1008,31,78,9,1.0,0.1111111111111111,0.2,1,0,8,0.74,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.74,Tail,global
T1011,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.74,Tail,global
T1012,88,88,25,0.8666666666666667,0.52,0.65,13,2,12,0.74,Medium,global
T1014,19,78,5,1.0,1.0,1.0,5,0,0,0.74,Tail,global
T1016,182,182,52,0.7241379310344828,0.8076923076923077,0.7636363636363637,42,16,10,0.74,Head,global
T1018,40,78,12,1.0,0.5,0.6666666666666666,6,0,6,0.74,Medium,global
T1020,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.74,Tail,global
T1021,226,226,64,0.7796610169491526,0.71875,0.7479674796747967,46,13,18,0.74,Head,global
T1025,18,78,5,1.0,0.4,0.5714285714285714,2,0,3,0.74,Tail,global
T1027,1105,1110,316,0.7869822485207101,0.8417721518987342,0.8134556574923547,266,72,50,0.74,Head,global
T1029,12,78,4,0.5,0.5,0.5,2,2,2,0.74,Tail,global
T1030,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.74,Tail,global
T1033,153,153,44,0.8409090909090909,0.8409090909090909,0.8409090909090909,37,7,7,0.74,Head,global
T1036,280,280,80,0.7901234567901234,0.8,0.7950310559006211,64,17,16,0.74,Head,global
T1037,32,78,9,1.0,0.3333333333333333,0.5,3,0,6,0.74,Medium,global
T1039,10,78,3,1.0,1.0,1.0,3,0,0,0.74,Tail,global
T1040,12,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.74,Tail,global
T1041,165,165,47,0.7291666666666666,0.7446808510638298,0.7368421052631579,35,13,12,0.74,Head,global
T1046,31,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.74,Medium,global
T1047,142,142,40,0.8222222222222222,0.925,0.8705882352941177,37,8,3,0.74,Head,global
T1048,37,78,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.74,Medium,global
T1049,51,78,14,0.9090909090909091,0.7142857142857143,0.8,10,1,4,0.74,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.74,Tail,global
T1053,242,243,69,0.9354838709677419,0.8405797101449275,0.8854961832061069,58,4,11,0.74,Head,global
T1055,502,502,143,0.9111111111111111,0.8601398601398601,0.8848920863309353,123,12,20,0.74,Head,global
T1056,156,156,44,0.8888888888888888,0.9090909090909091,0.898876404494382,40,5,4,0.74,Head,global
T1057,227,227,65,0.9322033898305084,0.8461538461538461,0.8870967741935484,55,4,10,0.74,Head,global
T1059,807,808,231,0.8648648648648649,0.8311688311688312,0.847682119205298,192,30,39,0.74,Head,global
T1068,37,78,11,0.8888888888888888,0.7272727272727273,0.8,8,1,3,0.74,Medium,global
T1069,45,78,13,0.875,0.5384615384615384,0.6666666666666666,7,1,6,0.74,Medium,global
T1070,329,329,94,0.8876404494382022,0.8404255319148937,0.8633879781420765,79,10,15,0.74,Head,global
T1071,432,432,124,0.9130434782608695,0.8467741935483871,0.8786610878661087,105,10,19,0.74,Head,global
