Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.972972972972973,0.972972972972973,0.972972972972973,36,1,1,0.61,Head,global
T1005,78,115,22,0.7647058823529411,0.5909090909090909,0.6666666666666666,13,4,9,0.61,Medium,global
T1012,29,116,8,1.0,0.625,0.7692307692307693,5,0,3,0.61,Medium,global
T1016,46,115,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,2,2,0.61,Medium,global
T1021,121,128,34,0.8529411764705882,0.8529411764705882,0.8529411764705882,29,5,5,0.61,Head,global
T1027,761,791,218,0.7939914163090128,0.8486238532110092,0.8203991130820399,185,48,33,0.61,Head,global
T1033,45,118,13,0.6363636363636364,0.5384615384615384,0.5833333333333334,7,4,6,0.61,Medium,global
T1036,88,114,25,0.8461538461538461,0.88,0.8627450980392157,22,4,3,0.61,Medium,global
T1041,101,114,29,0.6956521739130435,0.5517241379310345,0.6153846153846154,16,7,13,0.61,Head,global
T1047,82,114,24,0.8461538461538461,0.9166666666666666,0.88,22,4,2,0.61,Medium,global
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.61,Head,global
T1055,332,340,95,0.9139784946236559,0.8947368421052632,0.9042553191489362,85,8,10,0.61,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.61,Medium,global
T1057,82,114,24,0.9130434782608695,0.875,0.8936170212765957,21,2,3,0.61,Medium,global
T1059,325,363,93,0.7129629629629629,0.8279569892473119,0.7661691542288557,77,31,16,0.61,Head,global
T1068,11,114,3,1.0,1.0,1.0,3,0,0,0.61,Tail,global
T1070,91,114,26,0.65625,0.8076923076923077,0.7241379310344828,21,11,5,0.61,Medium,global
T1071,178,184,51,0.8958333333333334,0.8431372549019608,0.8686868686868687,43,5,8,0.61,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.61,Tail,global
T1074,34,119,10,0.75,0.6,0.6666666666666666,6,2,4,0.61,Medium,global
T1078,194,217,56,0.7719298245614035,0.7857142857142857,0.7787610619469026,44,13,12,0.61,Head,global
T1082,128,173,36,0.75,0.6666666666666666,0.7058823529411765,24,8,12,0.61,Head,global
T1083,108,120,31,0.8181818181818182,0.8709677419354839,0.84375,27,6,4,0.61,Head,global
T1090,167,167,48,0.9148936170212766,0.8958333333333334,0.9052631578947369,43,4,5,0.61,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.61,Medium,global
T1105,311,324,89,0.8315789473684211,0.8876404494382022,0.8586956521739131,79,16,10,0.61,Head,global
T1106,222,244,64,0.7272727272727273,0.875,0.7943262411347518,56,21,8,0.61,Head,global
T1110,63,116,18,0.9375,0.8333333333333334,0.8823529411764706,15,1,3,0.61,Medium,global
T1112,123,131,35,0.8108108108108109,0.8571428571428571,0.8333333333333334,30,7,5,0.61,Head,global
T1113,37,118,11,1.0,0.9090909090909091,0.9523809523809523,10,0,1,0.61,Medium,global
T1140,479,485,137,0.8951048951048951,0.9343065693430657,0.9142857142857143,128,15,9,0.61,Head,global
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.61,Medium,global
T1204,114,118,32,0.8275862068965517,0.75,0.7868852459016393,24,5,8,0.61,Head,global
T1210,17,114,5,0.5714285714285714,0.8,0.6666666666666666,4,3,1,0.61,Tail,global
T1218,59,114,17,0.8421052631578947,0.9411764705882353,0.8888888888888888,16,3,1,0.61,Medium,global
T1219,68,116,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,1,1,0.61,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.61,Medium,global
T1518,43,114,12,0.7692307692307693,0.8333333333333334,0.8,10,3,2,0.61,Medium,global
T1543,58,117,17,0.8571428571428571,0.7058823529411765,0.7741935483870968,12,2,5,0.61,Medium,global
T1547,80,114,23,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2,0.61,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.61,Medium,global
T1552,28,114,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.61,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.61,Tail,global
T1562,108,126,31,0.8333333333333334,0.967741935483871,0.8955223880597015,30,6,1,0.61,Head,global
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.61,Medium,global
T1566,107,114,31,0.9,0.8709677419354839,0.8852459016393442,27,3,4,0.61,Head,global
T1569,26,115,8,0.8571428571428571,0.75,0.8,6,1,2,0.61,Medium,global
T1570,73,114,21,0.8421052631578947,0.7619047619047619,0.8,16,3,5,0.61,Medium,global
T1573,72,115,21,0.7368421052631579,0.6666666666666666,0.7,14,5,7,0.61,Medium,global
T1574,88,114,25,1.0,0.96,0.9795918367346939,24,0,1,0.61,Medium,global
