Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,1.0,0.18181818181818182,0.3076923076923077,2,0,9,0.63,Medium,global
T1003,107,107,30,0.8947368421052632,0.5666666666666667,0.6938775510204082,17,2,13,0.63,Head,global
T1005,78,78,22,0.72,0.8181818181818182,0.7659574468085106,18,7,4,0.63,Medium,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.63,Tail,global
T1007,34,34,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.63,Medium,global
T1008,31,31,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.63,Medium,global
T1010,17,17,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.63,Tail,global
T1012,59,59,17,0.6875,0.6470588235294118,0.6666666666666666,11,5,6,0.63,Medium,global
T1014,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1016,136,136,39,0.8,0.8205128205128205,0.810126582278481,32,8,7,0.63,Head,global
T1018,40,40,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,7,2,5,0.63,Medium,global
T1020,18,18,5,0.0,0.0,0.0,0,0,5,0.63,Tail,global
T1021,105,105,30,0.782608695652174,0.6,0.6792452830188679,18,5,12,0.63,Head,global
T1025,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.63,Tail,global
T1027,344,344,98,0.8155339805825242,0.8571428571428571,0.835820895522388,84,19,14,0.63,Head,global
T1029,12,12,4,0.0,0.0,0.0,0,0,4,0.63,Tail,global
T1030,9,9,3,0.0,0.0,0.0,0,0,3,0.63,Tail,global
T1033,108,108,31,0.7714285714285715,0.8709677419354839,0.8181818181818182,27,8,4,0.63,Head,global
T1036,192,192,55,0.9534883720930233,0.7454545454545455,0.8367346938775511,41,2,14,0.63,Head,global
T1037,32,32,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.63,Medium,global
T1039,10,10,3,0.0,0.0,0.0,0,0,3,0.63,Tail,global
T1040,12,12,4,1.0,0.5,0.6666666666666666,2,0,2,0.63,Tail,global
T1041,64,64,18,0.8235294117647058,0.7777777777777778,0.8,14,3,4,0.63,Medium,global
T1046,31,31,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,0.63,Medium,global
T1047,59,59,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.63,Medium,global
T1048,37,37,11,0.75,0.2727272727272727,0.4,3,1,8,0.63,Medium,global
T1049,51,51,14,1.0,0.5,0.6666666666666666,7,0,7,0.63,Medium,global
T1052,10,10,3,0.0,0.0,0.0,0,0,3,0.63,Tail,global
T1053,121,121,35,0.8205128205128205,0.9142857142857143,0.8648648648648649,32,7,3,0.63,Head,global
T1055,170,170,49,0.8837209302325582,0.7755102040816326,0.8260869565217391,38,5,11,0.63,Head,global
T1056,100,100,29,0.8275862068965517,0.8275862068965517,0.8275862068965517,24,5,5,0.63,Head,global
T1057,144,144,41,0.9743589743589743,0.926829268292683,0.95,38,1,3,0.63,Head,global
T1059,481,481,138,0.8732394366197183,0.8985507246376812,0.8857142857142857,124,18,14,0.63,Head,global
T1068,26,26,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.63,Medium,global
T1069,45,45,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,2,2,0.63,Medium,global
T1070,238,238,68,0.8571428571428571,0.8823529411764706,0.8695652173913043,60,10,8,0.63,Head,global
T1071,255,255,73,0.8292682926829268,0.9315068493150684,0.8774193548387097,68,14,5,0.63,Head,global
T1072,7,7,2,0.0,0.0,0.0,0,0,2,0.63,Tail,global
T1074,68,68,20,0.75,0.6,0.6666666666666666,12,4,8,0.63,Medium,global
T1078,63,63,18,0.625,0.5555555555555556,0.5882352941176471,10,6,8,0.63,Medium,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.63,Tail,global
T1082,205,205,59,0.864406779661017,0.864406779661017,0.864406779661017,51,8,8,0.63,Head,global
