Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.62,Medium,global
T1003,237,237,68,0.8524590163934426,0.7647058823529411,0.8062015503875969,52,9,16,0.62,Head,global
T1005,156,156,44,0.7027027027027027,0.5909090909090909,0.6419753086419753,26,11,18,0.62,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.62,Tail,global
T1007,34,34,10,0.7,0.7,0.7,7,3,3,0.62,Medium,global
T1008,31,31,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.62,Medium,global
T1010,17,17,5,1.0,1.0,1.0,5,0,0,0.62,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.62,Tail,global
T1012,88,88,25,0.7931034482758621,0.92,0.8518518518518519,23,6,2,0.62,Medium,global
T1014,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.62,Tail,global
T1016,182,182,52,0.7321428571428571,0.7884615384615384,0.7592592592592593,41,15,11,0.62,Head,global
T1018,40,40,12,1.0,0.5,0.6666666666666666,6,0,6,0.62,Medium,global
T1020,18,18,5,0.6666666666666666,0.4,0.5,2,1,3,0.62,Tail,global
T1021,226,226,64,0.7575757575757576,0.78125,0.7692307692307693,50,16,14,0.62,Head,global
T1025,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.62,Tail,global
T1027,1105,1105,316,0.7595307917888563,0.819620253164557,0.7884322678843226,259,82,57,0.62,Head,global
T1029,12,12,4,1.0,0.25,0.4,1,0,3,0.62,Tail,global
T1030,9,9,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1033,153,153,44,0.8181818181818182,0.8181818181818182,0.8181818181818182,36,8,8,0.62,Head,global
T1036,280,280,80,0.7804878048780488,0.8,0.7901234567901234,64,18,16,0.62,Head,global
T1037,32,32,9,0.5,0.1111111111111111,0.18181818181818182,1,1,8,0.62,Medium,global
T1039,10,10,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1040,12,12,4,1.0,0.25,0.4,1,0,3,0.62,Tail,global
T1041,165,165,47,0.7333333333333333,0.7021276595744681,0.717391304347826,33,12,14,0.62,Head,global
T1046,31,31,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.62,Medium,global
T1047,142,142,40,0.8297872340425532,0.975,0.896551724137931,39,8,1,0.62,Head,global
T1048,37,37,11,1.0,0.2727272727272727,0.42857142857142855,3,0,8,0.62,Medium,global
T1049,51,51,14,0.9,0.6428571428571429,0.75,9,1,5,0.62,Medium,global
T1052,10,10,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1053,242,242,69,0.9523809523809523,0.8695652173913043,0.9090909090909091,60,3,9,0.62,Head,global
T1055,502,502,143,0.9064748201438849,0.8811188811188811,0.8936170212765957,126,13,17,0.62,Head,global
T1056,156,156,44,0.926829268292683,0.8636363636363636,0.8941176470588236,38,3,6,0.62,Head,global
T1057,227,227,65,0.8548387096774194,0.8153846153846154,0.8346456692913385,53,9,12,0.62,Head,global
T1059,807,807,231,0.8217391304347826,0.8181818181818182,0.8199566160520607,189,41,42,0.62,Head,global
T1068,37,37,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.62,Medium,global
T1069,45,45,13,0.8181818181818182,0.6923076923076923,0.75,9,2,4,0.62,Medium,global
T1070,329,329,94,0.8058252427184466,0.8829787234042553,0.8426395939086294,83,20,11,0.62,Head,global
T1071,432,432,124,0.859504132231405,0.8387096774193549,0.8489795918367347,104,17,20,0.62,Head,global
T1072,20,20,6,1.0,0.16666666666666666,0.2857142857142857,1,0,5,0.62,Medium,global
T1074,103,103,29,0.7407407407407407,0.6896551724137931,0.7142857142857143,20,7,9,0.62,Head,global
T1078,257,257,74,0.7746478873239436,0.7432432432432432,0.7586206896551724,55,16,19,0.62,Head,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.62,Tail,global
T1082,332,332,95,0.8043478260869565,0.7789473684210526,0.7914438502673797,74,18,21,0.62,Head,global
T1083,287,287,82,0.7560975609756098,0.7560975609756098,0.7560975609756098,62,20,20,0.62,Head,global
T1087,66,66,19,0.6470588235294118,0.5789473684210527,0.6111111111111112,11,6,8,0.62,Medium,global
T1090,254,254,73,0.8205128205128205,0.8767123287671232,0.847682119205298,64,14,9,0.62,Head,global
T1091,17,17,5,0.6,0.6,0.6,3,2,2,0.62,Tail,global
T1092,4,4,1,0.0,0.0,0.0,0,0,1,0.62,Tail,global
T1095,98,98,28,0.76,0.6785714285714286,0.7169811320754716,19,6,9,0.62,Medium,global
T1098,33,33,10,1.0,0.5,0.6666666666666666,5,0,5,0.62,Medium,global
T1102,71,71,20,0.75,0.45,0.5625,9,3,11,0.62,Medium,global
T1104,12,12,3,0.0,0.0,0.0,0,0,3,0.62,Tail,global
T1105,547,547,156,0.85,0.7628205128205128,0.8040540540540541,119,21,37,0.62,Head,global
