Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,0.9714285714285714,0.918918918918919,0.9444444444444444,34,1,3,0.61,Head,global
T1005,78,78,22,0.631578947368421,0.5454545454545454,0.5853658536585366,12,7,10,0.61,Medium,global
T1012,29,29,8,1.0,0.5,0.6666666666666666,4,0,4,0.61,Medium,global
T1016,46,46,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.61,Medium,global
T1021,121,121,34,0.8787878787878788,0.8529411764705882,0.8656716417910447,29,4,5,0.61,Head,global
T1027,761,761,218,0.8169642857142857,0.8394495412844036,0.8280542986425339,183,41,35,0.61,Head,global
T1033,45,45,13,0.8571428571428571,0.46153846153846156,0.6,6,1,7,0.61,Medium,global
T1036,88,88,25,0.8333333333333334,0.8,0.8163265306122449,20,4,5,0.61,Medium,global
T1041,101,101,29,0.6071428571428571,0.5862068965517241,0.5964912280701754,17,11,12,0.61,Head,global
T1047,82,82,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,22,2,2,0.61,Medium,global
T1053,121,121,35,1.0,0.8285714285714286,0.90625,29,0,6,0.61,Head,global
T1055,332,332,95,0.9204545454545454,0.8526315789473684,0.8852459016393442,81,7,14,0.61,Head,global
T1056,55,55,16,1.0,1.0,1.0,16,0,0,0.61,Medium,global
T1057,82,82,24,0.8461538461538461,0.9166666666666666,0.88,22,4,2,0.61,Medium,global
T1059,325,325,93,0.75,0.7419354838709677,0.745945945945946,69,23,24,0.61,Head,global
T1068,11,11,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1070,91,91,26,0.65625,0.8076923076923077,0.7241379310344828,21,11,5,0.61,Medium,global
T1071,178,178,51,0.875,0.8235294117647058,0.8484848484848485,42,6,9,0.61,Head,global
T1072,13,13,4,1.0,0.25,0.4,1,0,3,0.61,Tail,global
T1074,34,34,10,0.8,0.8,0.8,8,2,2,0.61,Medium,global
T1078,194,194,56,0.7857142857142857,0.7857142857142857,0.7857142857142857,44,12,12,0.61,Head,global
T1082,128,128,36,0.78125,0.6944444444444444,0.7352941176470589,25,7,11,0.61,Head,global
T1083,108,108,31,0.7931034482758621,0.7419354838709677,0.7666666666666667,23,6,8,0.61,Head,global
T1090,167,167,48,0.9333333333333333,0.875,0.9032258064516129,42,3,6,0.61,Head,global
T1095,60,60,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.61,Medium,global
T1105,311,311,89,0.8414634146341463,0.7752808988764045,0.8070175438596491,69,13,20,0.61,Head,global
T1106,222,222,64,0.6753246753246753,0.8125,0.7375886524822695,52,25,12,0.61,Head,global
T1110,63,63,18,0.875,0.7777777777777778,0.8235294117647058,14,2,4,0.61,Medium,global
T1112,123,123,35,0.8611111111111112,0.8857142857142857,0.8732394366197183,31,5,4,0.61,Head,global
T1113,37,37,11,0.8571428571428571,0.5454545454545454,0.6666666666666666,6,1,5,0.61,Medium,global
T1140,479,479,137,0.8951048951048951,0.9343065693430657,0.9142857142857143,128,15,9,0.61,Head,global
T1190,68,68,20,0.8,0.8,0.8,16,4,4,0.61,Medium,global
T1204,114,114,32,0.8,0.75,0.7741935483870968,24,6,8,0.61,Head,global
T1210,17,17,5,0.5,0.2,0.2857142857142857,1,1,4,0.61,Tail,global
T1218,59,59,17,0.7777777777777778,0.8235294117647058,0.8,14,4,3,0.61,Medium,global
T1219,68,68,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,17,2,2,0.61,Medium,global
T1484,28,28,8,1.0,1.0,1.0,8,0,0,0.61,Medium,global
T1518,43,43,12,0.7692307692307693,0.8333333333333334,0.8,10,3,2,0.61,Medium,global
T1543,58,58,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.61,Medium,global
T1547,80,80,23,0.9565217391304348,0.9565217391304348,0.9565217391304348,22,1,1,0.61,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.61,Medium,global
T1552,28,28,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.61,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1562,108,108,31,0.8,0.9032258064516129,0.8484848484848485,28,7,3,0.61,Head,global
T1564,21,21,6,1.0,1.0,1.0,6,0,0,0.61,Medium,global
T1566,107,107,31,0.896551724137931,0.8387096774193549,0.8666666666666667,26,3,5,0.61,Head,global
T1569,26,26,8,0.8571428571428571,0.75,0.8,6,1,2,0.61,Medium,global
T1570,73,73,21,0.75,0.5714285714285714,0.6486486486486487,12,4,9,0.61,Medium,global
T1573,72,72,21,0.875,0.6666666666666666,0.7567567567567568,14,2,7,0.61,Medium,global
T1574,88,88,25,1.0,0.92,0.9583333333333334,23,0,2,0.61,Medium,global
