Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.64,Medium,global
T1003,237,237,68,0.9298245614035088,0.7794117647058824,0.848,53,4,15,0.64,Head,global
T1005,156,156,44,0.725,0.6590909090909091,0.6904761904761905,29,11,15,0.64,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.64,Tail,global
T1007,34,78,10,0.7272727272727273,0.8,0.7619047619047619,8,3,2,0.64,Medium,global
T1008,31,78,9,0.75,0.3333333333333333,0.46153846153846156,3,1,6,0.64,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.64,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.64,Tail,global
T1012,88,88,25,0.7307692307692307,0.76,0.7450980392156863,19,7,6,0.64,Medium,global
T1014,19,78,5,1.0,1.0,1.0,5,0,0,0.64,Tail,global
T1016,182,182,52,0.7090909090909091,0.75,0.7289719626168224,39,16,13,0.64,Head,global
T1018,40,78,12,1.0,0.6666666666666666,0.8,8,0,4,0.64,Medium,global
T1020,18,78,5,0.4,0.4,0.4,2,3,3,0.64,Tail,global
T1021,226,226,64,0.8070175438596491,0.71875,0.7603305785123967,46,11,18,0.64,Head,global
T1025,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.64,Tail,global
T1027,1105,1110,316,0.7713414634146342,0.8006329113924051,0.7857142857142857,253,75,63,0.64,Head,global
T1029,12,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.64,Tail,global
T1030,9,78,3,1.0,1.0,1.0,3,0,0,0.64,Tail,global
T1033,153,153,44,0.8604651162790697,0.8409090909090909,0.8505747126436781,37,6,7,0.64,Head,global
T1036,280,280,80,0.8026315789473685,0.7625,0.782051282051282,61,15,19,0.64,Head,global
T1037,32,78,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4,0.64,Medium,global
T1039,10,78,3,0.6,1.0,0.75,3,2,0,0.64,Tail,global
T1040,12,78,4,0.3333333333333333,0.25,0.2857142857142857,1,2,3,0.64,Tail,global
T1041,165,165,47,0.7142857142857143,0.6382978723404256,0.6741573033707865,30,12,17,0.64,Head,global
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.64,Medium,global
T1047,142,142,40,0.8444444444444444,0.95,0.8941176470588236,38,7,2,0.64,Head,global
T1048,37,78,11,0.75,0.2727272727272727,0.4,3,1,8,0.64,Medium,global
T1049,51,78,14,0.875,0.5,0.6363636363636364,7,1,7,0.64,Medium,global
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.64,Tail,global
T1053,242,243,69,0.9384615384615385,0.8840579710144928,0.9104477611940298,61,4,8,0.64,Head,global
T1055,502,502,143,0.8897058823529411,0.8461538461538461,0.8673835125448028,121,15,22,0.64,Head,global
T1056,156,156,44,0.9047619047619048,0.8636363636363636,0.8837209302325582,38,4,6,0.64,Head,global
T1057,227,227,65,0.9122807017543859,0.8,0.8524590163934426,52,5,13,0.64,Head,global
T1059,807,808,231,0.8488888888888889,0.8268398268398268,0.8377192982456141,191,34,40,0.64,Head,global
T1068,37,78,11,0.7777777777777778,0.6363636363636364,0.7,7,2,4,0.64,Medium,global
T1069,45,78,13,1.0,0.6923076923076923,0.8181818181818182,9,0,4,0.64,Medium,global
T1070,329,329,94,0.84375,0.8617021276595744,0.8526315789473684,81,15,13,0.64,Head,global
T1071,432,432,124,0.8559322033898306,0.8145161290322581,0.8347107438016529,101,17,23,0.64,Head,global
T1072,20,78,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,0.64,Medium,global
T1074,103,103,29,0.8095238095238095,0.5862068965517241,0.68,17,4,12,0.64,Head,global
T1078,257,263,74,0.8088235294117647,0.7432432432432432,0.7746478873239436,55,13,19,0.64,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.64,Tail,global
T1082,332,332,95,0.8705882352941177,0.7789473684210526,0.8222222222222222,74,11,21,0.64,Head,global
T1083,287,287,82,0.7710843373493976,0.7804878048780488,0.7757575757575758,64,19,18,0.64,Head,global
T1087,66,78,19,0.75,0.47368421052631576,0.5806451612903226,9,3,10,0.64,Medium,global
T1090,254,254,73,0.8607594936708861,0.9315068493150684,0.8947368421052632,68,11,5,0.64,Head,global
T1091,17,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.64,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.64,Tail,global
T1095,98,98,28,0.7586206896551724,0.7857142857142857,0.7719298245614035,22,7,6,0.64,Medium,global
T1098,33,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.64,Medium,global
T1102,71,78,20,0.8461538461538461,0.55,0.6666666666666666,11,2,9,0.64,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.64,Tail,global
