minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.6,0.007969260165245625,0.9647058823529412,0.011918432876590146,0.8254826254826255,0.023497604079658858,0.42244796199794665,0.8474594563508802,0.4096640816060088,0.36494701388318407
0.06,0.6,0.00968462654077331,0.9529411764705882,0.014667710436323185,0.8247104247104247,0.02882279915798564,0.4226056793903031,0.8421403074147099,0.40997820033386195,0.29562145732358497
0.07,0.6,0.012593502127380897,0.9411764705882353,0.019251240414975192,0.8239382239382239,0.037623413258110014,0.4228743803877184,0.8368211584785398,0.4105127318665311,0.2242093156986774
0.08,0.6,0.017291898762821348,0.9333333333333332,0.02641631114197837,0.8223938223938224,0.051188387685948425,0.42331165055060394,0.8332750591877598,0.41138095037083455,0.16216626961307812
0.09,0.6,0.024543630389047,0.9176470588235294,0.03704091242021555,0.8200772200772201,0.07088033104184743,0.42399591248748103,0.8261828606061993,0.41273482439524645,0.1143596484022016
0.1,0.6,0.03535462956192242,0.9,0.05275469068829941,0.8185328185328186,0.09912100243126987,0.4250383205855186,0.818204137201944,0.41478586613023194,0.07914236424874722
0.11,0.6,0.05278672501911643,0.9,0.07591491799756499,0.8185328185328186,0.13894350504653297,0.426773893310611,0.818204137201944,0.4181720335985166,0.0539636901339029
0.12,0.6,0.07755627083367617,0.896078431372549,0.10660358365210389,0.8177606177606178,0.1886187550093508,0.42938134940478806,0.816431087556554,0.42318279027286837,0.03742298529532572
0.13,0.6,0.10985675412779412,0.8549019607843136,0.14848698099929628,0.8146718146718147,0.2511904761904762,0.43317335876790947,0.7978140662799583,0.43024513401521786,0.025835866261398176
0.14,0.6,0.15105532225415635,0.8274509803921568,0.20091760657618046,0.8115830115830116,0.3220962304627643,0.4386550726763317,0.7854027187622278,0.44005083135402767,0.018171362852213917
0.15,0.6,0.1940464038205225,0.8039215686274509,0.25723393820500245,0.81003861003861,0.3904708728829332,0.4457880323805781,0.7747644208898873,0.45163076489396087,0.01345190174977409
0.16,0.6,0.24596127136186455,0.7980392156862745,0.3171912832929782,0.8092664092664092,0.4557512502717982,0.4566475946059855,0.7721048464218022,0.4671341007905643,0.01028094964265177
0.17,0.6,0.28252454985713243,0.7627450980392158,0.3774403470715835,0.8061776061776061,0.514159074119675,0.4646566253984677,0.7561473996132916,0.4792120956500468,0.008104000657192146
