Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,1.0,0.6363636363636364,0.7777777777777778,7,0,4,0.6000000238418579,Medium,minority_f2
T1003,107,107,30,0.9090909090909091,0.6666666666666666,0.7692307692307693,20,2,10,0.6000000238418579,Head,minority_f2
T1005,78,78,22,0.6538461538461539,0.7727272727272727,0.7083333333333334,17,9,5,0.6000000238418579,Medium,minority_f2
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.3499999940395355,Tail,minority_f2
T1007,34,48,10,1.0,0.8,0.8888888888888888,8,0,2,0.6000000238418579,Medium,minority_f2
T1008,31,48,9,0.7,0.7777777777777778,0.7368421052631579,7,3,2,0.6000000238418579,Medium,minority_f2
T1010,17,48,5,1.0,1.0,1.0,5,0,0,0.3499999940395355,Tail,minority_f2
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.3499999940395355,Tail,minority_f2
T1012,59,59,17,0.65,0.7647058823529411,0.7027027027027027,13,7,4,0.6000000238418579,Medium,minority_f2
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.3499999940395355,Tail,minority_f2
T1016,136,136,39,0.8048780487804879,0.8461538461538461,0.825,33,8,6,0.6000000238418579,Head,minority_f2
T1018,40,48,12,0.5333333333333333,0.6666666666666666,0.5925925925925926,8,7,4,0.6000000238418579,Medium,minority_f2
T1020,18,48,5,0.2857142857142857,0.4,0.3333333333333333,2,5,3,0.3499999940395355,Tail,minority_f2
T1021,105,105,30,0.6785714285714286,0.6333333333333333,0.6551724137931034,19,9,11,0.6000000238418579,Head,minority_f2
T1025,18,48,5,0.4444444444444444,0.8,0.5714285714285714,4,5,1,0.3499999940395355,Tail,minority_f2
T1027,344,344,98,0.7522123893805309,0.8673469387755102,0.8056872037914692,85,28,13,0.6000000238418579,Head,minority_f2
T1029,12,48,4,0.5,0.5,0.5,2,2,2,0.3499999940395355,Tail,minority_f2
T1030,9,48,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.3499999940395355,Tail,minority_f2
T1033,108,108,31,0.6511627906976745,0.9032258064516129,0.7567567567567568,28,15,3,0.6000000238418579,Head,minority_f2
T1036,192,192,55,0.8545454545454545,0.8545454545454545,0.8545454545454545,47,8,8,0.6000000238418579,Head,minority_f2
T1037,32,48,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.6000000238418579,Medium,minority_f2
T1039,10,48,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.3499999940395355,Tail,minority_f2
T1040,12,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.3499999940395355,Tail,minority_f2
T1041,64,64,18,0.6363636363636364,0.7777777777777778,0.7,14,8,4,0.6000000238418579,Medium,minority_f2
T1046,31,48,9,0.75,1.0,0.8571428571428571,9,3,0,0.6000000238418579,Medium,minority_f2
T1047,59,59,17,0.75,0.8823529411764706,0.8108108108108109,15,5,2,0.6000000238418579,Medium,minority_f2
T1048,37,48,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.6000000238418579,Medium,minority_f2
T1049,51,51,14,0.75,0.42857142857142855,0.5454545454545454,6,2,8,0.6000000238418579,Medium,minority_f2
T1052,10,48,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.3499999940395355,Tail,minority_f2
T1053,121,121,35,0.825,0.9428571428571428,0.88,33,7,2,0.6000000238418579,Head,minority_f2
T1055,170,170,49,0.8478260869565217,0.7959183673469388,0.8210526315789474,39,7,10,0.6000000238418579,Head,minority_f2
T1056,100,100,29,0.8333333333333334,0.8620689655172413,0.847457627118644,25,5,4,0.6000000238418579,Head,minority_f2
T1057,144,144,41,0.9736842105263158,0.9024390243902439,0.9367088607594937,37,1,4,0.6000000238418579,Head,minority_f2
T1059,481,481,138,0.8026315789473685,0.8840579710144928,0.8413793103448276,122,30,16,0.6000000238418579,Head,minority_f2
T1068,26,48,7,0.8333333333333334,0.7142857142857143,0.7692307692307693,5,1,2,0.6000000238418579,Medium,minority_f2
T1069,45,48,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,11,2,2,0.6000000238418579,Medium,minority_f2
T1070,238,238,68,0.8695652173913043,0.8823529411764706,0.8759124087591241,60,9,8,0.6000000238418579,Head,minority_f2
T1071,255,255,73,0.8625,0.9452054794520548,0.9019607843137255,69,11,4,0.6000000238418579,Head,minority_f2
T1072,7,48,2,0.0,0.0,0.0,0,5,2,0.3499999940395355,Tail,minority_f2
T1074,68,68,20,0.65,0.65,0.65,13,7,7,0.6000000238418579,Medium,minority_f2
T1078,63,63,18,0.7058823529411765,0.6666666666666666,0.6857142857142857,12,5,6,0.6000000238418579,Medium,minority_f2
T1080,16,48,4,0.3333333333333333,0.75,0.46153846153846156,3,6,1,0.3499999940395355,Tail,minority_f2
T1082,205,205,59,0.782608695652174,0.9152542372881356,0.84375,54,15,5,0.6000000238418579,Head,minority_f2
T1083,178,178,51,0.7037037037037037,0.7450980392156863,0.7238095238095238,38,16,13,0.6000000238418579,Head,minority_f2
T1087,66,66,19,0.7692307692307693,0.5263157894736842,0.625,10,3,9,0.6000000238418579,Medium,minority_f2
T1090,87,87,25,0.75,0.84,0.7924528301886793,21,7,4,0.6000000238418579,Medium,minority_f2
T1091,17,48,5,0.5,1.0,0.6666666666666666,5,5,0,0.3499999940395355,Tail,minority_f2
T1092,4,48,1,1.0,1.0,1.0,1,0,0,0.3499999940395355,Tail,minority_f2
T1095,38,48,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,5,6,6,0.6000000238418579,Medium,minority_f2
T1098,33,48,10,0.8,0.4,0.5333333333333333,4,1,6,0.6000000238418579,Medium,minority_f2
T1102,71,71,20,0.7272727272727273,0.8,0.7619047619047619,16,6,4,0.6000000238418579,Medium,minority_f2
T1104,12,48,3,0.0,0.0,0.0,0,2,3,0.3499999940395355,Tail,minority_f2
T1105,236,236,67,0.8260869565217391,0.8507462686567164,0.8382352941176471,57,12,10,0.6000000238418579,Head,minority_f2
T1106,81,81,23,0.6086956521739131,0.6086956521739131,0.6086956521739131,14,9,9,0.6000000238418579,Medium,minority_f2
T1110,49,49,14,0.75,0.8571428571428571,0.8,12,4,2,0.6000000238418579,Medium,minority_f2
T1111,9,48,3,0.0,0.0,0.0,0,3,3,0.3499999940395355,Tail,minority_f2
T1112,80,80,23,0.7916666666666666,0.8260869565217391,0.8085106382978723,19,5,4,0.6000000238418579,Medium,minority_f2
T1113,80,80,23,0.875,0.9130434782608695,0.8936170212765957,21,3,2,0.6000000238418579,Medium,minority_f2
T1114,36,48,10,0.5833333333333334,0.7,0.6363636363636364,7,5,3,0.6000000238418579,Medium,minority_f2
T1115,22,48,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.6000000238418579,Medium,minority_f2
T1119,33,48,10,0.5,0.4,0.4444444444444444,4,4,6,0.6000000238418579,Medium,minority_f2
T1120,31,48,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,3,3,0.6000000238418579,Medium,minority_f2
T1123,19,48,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.3499999940395355,Tail,minority_f2
T1124,45,48,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.6000000238418579,Medium,minority_f2
T1125,19,48,5,0.5714285714285714,0.8,0.6666666666666666,4,3,1,0.3499999940395355,Tail,minority_f2
T1127,9,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.3499999940395355,Tail,minority_f2
T1129,15,48,4,0.2727272727272727,0.75,0.4,3,8,1,0.3499999940395355,Tail,minority_f2
T1132,66,66,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,3,3,0.6000000238418579,Medium,minority_f2
T1133,26,48,8,0.8571428571428571,0.75,0.8,6,1,2,0.6000000238418579,Medium,minority_f2
T1134,52,52,15,0.9166666666666666,0.7333333333333333,0.8148148148148148,11,1,4,0.6000000238418579,Medium,minority_f2
T1135,31,48,9,1.0,0.7777777777777778,0.875,7,0,2,0.6000000238418579,Medium,minority_f2
T1136,27,48,8,0.5384615384615384,0.875,0.6666666666666666,7,6,1,0.6000000238418579,Medium,minority_f2
T1137,38,48,11,0.75,0.8181818181818182,0.782608695652174,9,3,2,0.6000000238418579,Medium,minority_f2
T1140,136,136,39,0.85,0.8717948717948718,0.8607594936708861,34,6,5,0.6000000238418579,Head,minority_f2
T1176,11,48,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.3499999940395355,Tail,minority_f2
T1185,15,48,4,0.3333333333333333,0.5,0.4,2,4,2,0.3499999940395355,Tail,minority_f2
T1187,12,48,4,0.5,0.25,0.3333333333333333,1,1,3,0.3499999940395355,Tail,minority_f2
T1189,37,48,10,0.8333333333333334,0.5,0.625,5,1,5,0.6000000238418579,Medium,minority_f2
T1190,19,48,6,0.5,0.5,0.5,3,3,3,0.3499999940395355,Tail,minority_f2
T1195,19,48,6,0.625,0.8333333333333334,0.7142857142857143,5,3,1,0.3499999940395355,Tail,minority_f2
T1197,15,48,4,0.75,0.75,0.75,3,1,1,0.3499999940395355,Tail,minority_f2
T1199,8,48,2,1.0,0.5,0.6666666666666666,1,0,1,0.3499999940395355,Tail,minority_f2
T1200,3,48,1,0.0,0.0,0.0,0,0,1,0.3499999940395355,Tail,minority_f2
T1201,7,48,2,0.6666666666666666,1.0,0.8,2,1,0,0.3499999940395355,Tail,minority_f2
T1202,3,48,1,0.0,0.0,0.0,0,0,1,0.3499999940395355,Tail,minority_f2
T1203,44,48,12,0.8181818181818182,0.75,0.782608695652174,9,2,3,0.6000000238418579,Medium,minority_f2
T1204,131,131,37,0.9411764705882353,0.8648648648648649,0.9014084507042254,32,2,5,0.6000000238418579,Head,minority_f2
T1205,20,48,6,0.75,0.5,0.6,3,1,3,0.6000000238418579,Medium,minority_f2
T1207,5,48,2,1.0,0.5,0.6666666666666666,1,0,1,0.3499999940395355,Tail,minority_f2
T1210,16,48,5,0.8,0.8,0.8,4,1,1,0.3499999940395355,Tail,minority_f2
T1211,4,48,1,0.0,0.0,0.0,0,2,1,0.3499999940395355,Tail,minority_f2
T1212,3,48,1,0.0,0.0,0.0,0,1,1,0.3499999940395355,Tail,minority_f2
T1213,17,48,5,0.5555555555555556,1.0,0.7142857142857143,5,4,0,0.3499999940395355,Tail,minority_f2
T1216,10,48,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.3499999940395355,Tail,minority_f2
T1217,8,48,2,0.5,0.5,0.5,1,1,1,0.3499999940395355,Tail,minority_f2
T1218,166,166,47,0.82,0.8723404255319149,0.845360824742268,41,9,6,0.6000000238418579,Head,minority_f2
T1219,17,48,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.3499999940395355,Tail,minority_f2
T1220,10,48,3,0.5,0.3333333333333333,0.4,1,1,2,0.3499999940395355,Tail,minority_f2
T1221,13,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.3499999940395355,Tail,minority_f2
T1222,25,48,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.6000000238418579,Medium,minority_f2
T1480,24,48,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.6000000238418579,Medium,minority_f2
T1482,10,48,3,1.0,1.0,1.0,3,0,0,0.3499999940395355,Tail,minority_f2
T1484,21,48,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.6000000238418579,Medium,minority_f2
T1485,17,48,5,0.4,0.4,0.4,2,3,3,0.3499999940395355,Tail,minority_f2
T1486,37,48,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.6000000238418579,Medium,minority_f2
T1489,22,48,6,1.0,0.6666666666666666,0.8,4,0,2,0.6000000238418579,Medium,minority_f2
T1490,19,48,6,0.6666666666666666,1.0,0.8,6,3,0,0.3499999940395355,Tail,minority_f2
T1491,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.3499999940395355,Tail,minority_f2
T1495,3,48,1,0.0,0.0,0.0,0,6,1,0.3499999940395355,Tail,minority_f2
T1496,12,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.3499999940395355,Tail,minority_f2
T1497,84,84,24,0.7391304347826086,0.7083333333333334,0.723404255319149,17,6,7,0.6000000238418579,Medium,minority_f2
T1498,23,48,6,0.2,0.16666666666666666,0.18181818181818182,1,4,5,0.6000000238418579,Medium,minority_f2
T1499,34,48,10,0.5714285714285714,0.4,0.47058823529411764,4,3,6,0.6000000238418579,Medium,minority_f2
T1505,48,48,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,10,2,4,0.6000000238418579,Medium,minority_f2
T1518,86,86,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,16,8,8,0.6000000238418579,Medium,minority_f2
T1525,4,48,1,0.0,0.0,0.0,0,1,1,0.3499999940395355,Tail,minority_f2
T1526,4,48,1,0.0,0.0,0.0,0,2,1,0.3499999940395355,Tail,minority_f2
T1528,9,48,2,0.0,0.0,0.0,0,5,2,0.3499999940395355,Tail,minority_f2
T1529,11,48,3,0.6,1.0,0.75,3,2,0,0.3499999940395355,Tail,minority_f2
T1530,6,48,2,0.0,0.0,0.0,0,1,2,0.3499999940395355,Tail,minority_f2
T1531,3,48,1,1.0,1.0,1.0,1,0,0,0.3499999940395355,Tail,minority_f2
T1534,7,48,2,0.0,0.0,0.0,0,4,2,0.3499999940395355,Tail,minority_f2
T1535,5,48,2,1.0,1.0,1.0,2,0,0,0.3499999940395355,Tail,minority_f2
T1537,3,48,1,1.0,1.0,1.0,1,0,0,0.3499999940395355,Tail,minority_f2
T1538,3,48,1,0.0,0.0,0.0,0,0,1,0.3499999940395355,Tail,minority_f2
T1539,12,48,4,0.4444444444444444,1.0,0.6153846153846154,4,5,0,0.3499999940395355,Tail,minority_f2
T1542,29,48,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.6000000238418579,Medium,minority_f2
T1543,123,123,35,0.717948717948718,0.8,0.7567567567567568,28,11,7,0.6000000238418579,Head,minority_f2
T1546,122,122,35,0.7428571428571429,0.7428571428571429,0.7428571428571429,26,9,9,0.6000000238418579,Head,minority_f2
T1547,257,257,73,0.8472222222222222,0.8356164383561644,0.8413793103448276,61,11,12,0.6000000238418579,Head,minority_f2
T1548,61,61,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.6000000238418579,Medium,minority_f2
T1550,44,48,13,0.45454545454545453,0.38461538461538464,0.4166666666666667,5,6,8,0.6000000238418579,Medium,minority_f2
T1552,58,58,17,0.5714285714285714,0.47058823529411764,0.5161290322580645,8,6,9,0.6000000238418579,Medium,minority_f2
T1553,98,98,28,0.7692307692307693,0.7142857142857143,0.7407407407407407,20,6,8,0.6000000238418579,Medium,minority_f2
T1554,11,48,3,0.5,0.3333333333333333,0.4,1,1,2,0.3499999940395355,Tail,minority_f2
T1555,99,99,28,0.7586206896551724,0.7857142857142857,0.7719298245614035,22,7,6,0.6000000238418579,Medium,minority_f2
T1556,30,48,8,1.0,0.75,0.8571428571428571,6,0,2,0.6000000238418579,Medium,minority_f2
T1557,24,48,7,0.5,0.2857142857142857,0.36363636363636365,2,2,5,0.6000000238418579,Medium,minority_f2
T1558,37,48,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.6000000238418579,Medium,minority_f2
T1559,33,48,10,0.8,0.8,0.8,8,2,2,0.6000000238418579,Medium,minority_f2
T1560,98,98,28,0.9090909090909091,0.7142857142857143,0.8,20,2,8,0.6000000238418579,Medium,minority_f2
T1561,22,48,6,0.75,0.5,0.6,3,1,3,0.6000000238418579,Medium,minority_f2
