Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.8571428571428571,0.5454545454545454,0.6666666666666666,6,1,5,0.6800000071525574,Medium,minority_f2
T1003,237,237,68,0.9122807017543859,0.7647058823529411,0.832,52,5,16,0.6800000071525574,Head,minority_f2
T1005,156,156,44,0.7352941176470589,0.5681818181818182,0.6410256410256411,25,9,19,0.6800000071525574,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.33000001311302185,Tail,minority_f2
T1007,34,78,10,0.7,0.7,0.7,7,3,3,0.6800000071525574,Medium,minority_f2
T1008,31,78,9,0.75,0.3333333333333333,0.46153846153846156,3,1,6,0.6800000071525574,Medium,minority_f2
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.33000001311302185,Tail,minority_f2
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.33000001311302185,Tail,minority_f2
T1012,88,88,25,0.7916666666666666,0.76,0.7755102040816326,19,5,6,0.6800000071525574,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.33000001311302185,Tail,minority_f2
T1016,182,182,52,0.7547169811320755,0.7692307692307693,0.7619047619047619,40,13,12,0.6800000071525574,Head,minority_f2
T1018,40,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.6800000071525574,Medium,minority_f2
T1020,18,78,5,0.375,0.6,0.46153846153846156,3,5,2,0.33000001311302185,Tail,minority_f2
T1021,226,226,64,0.8135593220338984,0.75,0.7804878048780488,48,11,16,0.6800000071525574,Head,minority_f2
T1025,18,78,5,0.125,0.2,0.15384615384615385,1,7,4,0.33000001311302185,Tail,minority_f2
T1027,1105,1110,316,0.8,0.810126582278481,0.8050314465408805,256,64,60,0.6800000071525574,Head,minority_f2
T1029,12,78,4,0.375,0.75,0.5,3,5,1,0.33000001311302185,Tail,minority_f2
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.33000001311302185,Tail,minority_f2
T1033,153,153,44,0.8409090909090909,0.8409090909090909,0.8409090909090909,37,7,7,0.6800000071525574,Head,minority_f2
T1036,280,280,80,0.8133333333333334,0.7625,0.7870967741935484,61,14,19,0.6800000071525574,Head,minority_f2
T1037,32,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.6800000071525574,Medium,minority_f2
T1039,10,78,3,0.3,1.0,0.46153846153846156,3,7,0,0.33000001311302185,Tail,minority_f2
T1040,12,78,4,0.3333333333333333,0.5,0.4,2,4,2,0.33000001311302185,Tail,minority_f2
T1041,165,165,47,0.6875,0.7021276595744681,0.6947368421052632,33,15,14,0.6800000071525574,Head,minority_f2
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.6800000071525574,Medium,minority_f2
T1047,142,142,40,0.8409090909090909,0.925,0.8809523809523809,37,7,3,0.6800000071525574,Head,minority_f2
T1048,37,78,11,1.0,0.2727272727272727,0.42857142857142855,3,0,8,0.6800000071525574,Medium,minority_f2
T1049,51,78,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.6800000071525574,Medium,minority_f2
T1052,10,78,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,5,2,0.33000001311302185,Tail,minority_f2
T1053,242,243,69,0.9538461538461539,0.8985507246376812,0.9253731343283582,62,3,7,0.6800000071525574,Head,minority_f2
T1055,502,502,143,0.8905109489051095,0.8531468531468531,0.8714285714285714,122,15,21,0.6800000071525574,Head,minority_f2
T1056,156,156,44,0.925,0.8409090909090909,0.8809523809523809,37,3,7,0.6800000071525574,Head,minority_f2
T1057,227,227,65,0.9285714285714286,0.8,0.859504132231405,52,4,13,0.6800000071525574,Head,minority_f2
