minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.58,0.014163234171481891,1.0,0.19339622641509435,0.8489646772228989,0.3150282485875706,0.7990411185182391,0.8442528848834633,0.7724134276275016,0.0839612188365651
0.06,0.58,0.015109575930222505,1.0,0.20220481578183927,0.8489646772228989,0.32661668228678536,0.7990567182255937,0.8442528848834633,0.7724443937492951,0.07961218836565097
0.07,0.58,0.016997326721233205,1.0,0.21987381703470033,0.8489646772228989,0.3492858932598346,0.799087879665107,0.8442528848834633,0.772506228612895,0.07193905817174515
0.08,0.58,0.01959967863939883,1.0,0.24345092560251486,0.8489646772228989,0.3783930510314875,0.7991309601951461,0.8442528848834633,0.7725916527705137,0.06343490304709141
0.09,0.58,0.022394551057319245,0.875,0.27817745803357313,0.8477466504263094,0.41889858561540777,0.7991786032132469,0.8342528848834633,0.7726854341070688,0.053490304709141276
0.1,0.58,0.028754776811435522,0.875,0.3201471941122355,0.8477466504263094,0.4647746243739566,0.7992859825932355,0.8342528848834633,0.772897290856703,0.04440443213296399
0.11,0.58,0.037879890158272506,0.875,0.36942675159235666,0.8477466504263094,0.5146025878003697,0.7994424265459799,0.8342528848834633,0.7732047325540141,0.036371191135734074
0.12,0.58,0.05175630519410742,0.875,0.4254278728606357,0.8477466504263094,0.5665445665445665,0.7996865976834684,0.8342528848834633,0.7736813505650422,0.029501385041551247
0.13,0.58,0.0641764602002618,0.7916666666666666,0.4806362378976487,0.8465286236297198,0.6131451257168063,0.7999211550732521,0.8275862182167966,0.7741309504714632,0.024293628808864265
0.14,0.58,0.08856513917042227,0.7916666666666666,0.5362654320987654,0.8465286236297198,0.6565895134624469,0.8003946449743279,0.8275862182167966,0.7750312099648043,0.020138504155124654
0.15,0.58,0.13397683234639757,0.7916666666666666,0.5970790378006873,0.8465286236297198,0.7002518891687658,0.8013444907826149,0.8275862182167966,0.7768003430890379,0.016481994459833796
0.16,0.58,0.18115222772409104,0.7916666666666666,0.6382001836547291,0.8465286236297198,0.7277486910994765,0.8025122009899154,0.8275862182167966,0.7788714752764052,0.014404432132963989
0.17,0.58,0.22813232412934412,0.7916666666666666,0.6793743890518084,0.8465286236297198,0.7537960954446855,0.8037476568509541,0.8275862182167966,0.7810243357841464,0.01257617728531856
