Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.972972972972973,0.972972972972973,0.972972972972973,36,1,1,0.58,Head,global
T1005,78,115,22,0.7142857142857143,0.45454545454545453,0.5555555555555556,10,4,12,0.58,Medium,global
T1012,29,116,8,1.0,0.5,0.6666666666666666,4,0,4,0.58,Medium,global
T1016,46,115,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.58,Medium,global
T1021,121,128,34,0.8787878787878788,0.8529411764705882,0.8656716417910447,29,4,5,0.58,Head,global
T1027,761,791,218,0.815668202764977,0.8119266055045872,0.8137931034482758,177,40,41,0.58,Head,global
T1033,45,118,13,0.5384615384615384,0.5384615384615384,0.5384615384615384,7,6,6,0.58,Medium,global
T1036,88,114,25,0.7777777777777778,0.84,0.8076923076923077,21,6,4,0.58,Medium,global
T1041,101,114,29,0.6,0.6206896551724138,0.6101694915254238,18,12,11,0.58,Head,global
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.58,Medium,global
T1053,121,125,35,0.9666666666666667,0.8285714285714286,0.8923076923076924,29,1,6,0.58,Head,global
T1055,332,340,95,0.9325842696629213,0.8736842105263158,0.9021739130434783,83,6,12,0.58,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.58,Medium,global
T1057,82,114,24,0.84,0.875,0.8571428571428571,21,4,3,0.58,Medium,global
T1059,325,363,93,0.7450980392156863,0.8172043010752689,0.7794871794871795,76,26,17,0.58,Head,global
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.58,Tail,global
T1070,91,114,26,0.6285714285714286,0.8461538461538461,0.7213114754098361,22,13,4,0.58,Medium,global
T1071,178,184,51,0.8363636363636363,0.9019607843137255,0.8679245283018868,46,9,5,0.58,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.58,Tail,global
T1074,34,119,10,0.8571428571428571,0.6,0.7058823529411765,6,1,4,0.58,Medium,global
T1078,194,217,56,0.8,0.7857142857142857,0.7927927927927928,44,11,12,0.58,Head,global
T1082,128,173,36,0.7586206896551724,0.6111111111111112,0.676923076923077,22,7,14,0.58,Head,global
T1083,108,120,31,0.7575757575757576,0.8064516129032258,0.78125,25,8,6,0.58,Head,global
T1090,167,167,48,0.9148936170212766,0.8958333333333334,0.9052631578947369,43,4,5,0.58,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.58,Medium,global
T1105,311,324,89,0.782608695652174,0.8089887640449438,0.7955801104972375,72,20,17,0.58,Head,global
T1106,222,244,64,0.7142857142857143,0.78125,0.746268656716418,50,20,14,0.58,Head,global
T1110,63,116,18,0.9333333333333333,0.7777777777777778,0.8484848484848485,14,1,4,0.58,Medium,global
T1112,123,131,35,0.9,0.7714285714285715,0.8307692307692308,27,3,8,0.58,Head,global
T1113,37,118,11,1.0,0.5454545454545454,0.7058823529411765,6,0,5,0.58,Medium,global
T1140,479,485,137,0.9084507042253521,0.9416058394160584,0.9247311827956989,129,13,8,0.58,Head,global
T1190,68,114,20,0.7727272727272727,0.85,0.8095238095238095,17,5,3,0.58,Medium,global
T1204,114,118,32,0.8125,0.8125,0.8125,26,6,6,0.58,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.58,Tail,global
T1218,59,114,17,0.8333333333333334,0.8823529411764706,0.8571428571428571,15,3,2,0.58,Medium,global
T1219,68,116,19,0.8421052631578947,0.8421052631578947,0.8421052631578947,16,3,3,0.58,Medium,global
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.58,Medium,global
T1518,43,114,12,0.9090909090909091,0.8333333333333334,0.8695652173913043,10,1,2,0.58,Medium,global
T1543,58,117,17,0.8,0.7058823529411765,0.75,12,3,5,0.58,Medium,global
T1547,80,114,23,0.8461538461538461,0.9565217391304348,0.8979591836734694,22,4,1,0.58,Medium,global
T1548,31,114,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,0.58,Medium,global
T1552,28,114,8,0.7,0.875,0.7777777777777778,7,3,1,0.58,Medium,global
T1557,7,114,2,0.0,0.0,0.0,0,0,2,0.58,Tail,global
T1562,108,126,31,0.9,0.8709677419354839,0.8852459016393442,27,3,4,0.58,Head,global
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.58,Medium,global
T1566,107,114,31,0.90625,0.9354838709677419,0.9206349206349206,29,3,2,0.58,Head,global
T1569,26,115,8,0.8,0.5,0.6153846153846154,4,1,4,0.58,Medium,global
T1570,73,114,21,0.9285714285714286,0.6190476190476191,0.7428571428571429,13,1,8,0.58,Medium,global
T1573,72,115,21,0.9230769230769231,0.5714285714285714,0.7058823529411765,12,1,9,0.58,Medium,global
T1574,88,114,25,0.9583333333333334,0.92,0.9387755102040817,23,1,2,0.58,Medium,global
