Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,1.0,0.2727272727272727,0.42857142857142855,3,0,8,0.63,Medium,global
T1003,107,107,30,0.9473684210526315,0.6,0.7346938775510204,18,1,12,0.63,Head,global
T1005,78,78,22,0.782608695652174,0.8181818181818182,0.8,18,5,4,0.63,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.63,Tail,global
T1007,34,48,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.63,Medium,global
T1008,31,48,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.63,Medium,global
T1010,17,48,5,1.0,1.0,1.0,5,0,0,0.63,Tail,global
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.63,Tail,global
T1012,59,59,17,0.631578947368421,0.7058823529411765,0.6666666666666666,12,7,5,0.63,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1016,136,136,39,0.7674418604651163,0.8461538461538461,0.8048780487804879,33,10,6,0.63,Head,global
T1018,40,48,12,0.6153846153846154,0.6666666666666666,0.64,8,5,4,0.63,Medium,global
T1020,18,48,5,0.3333333333333333,0.2,0.25,1,2,4,0.63,Tail,global
T1021,105,105,30,0.7272727272727273,0.5333333333333333,0.6153846153846154,16,6,14,0.63,Head,global
T1025,18,48,5,1.0,0.6,0.75,3,0,2,0.63,Tail,global
T1027,344,344,98,0.7431192660550459,0.826530612244898,0.782608695652174,81,28,17,0.63,Head,global
T1029,12,48,4,0.0,0.0,0.0,0,0,4,0.63,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.63,Tail,global
T1033,108,108,31,0.717948717948718,0.9032258064516129,0.8,28,11,3,0.63,Head,global
T1036,192,192,55,0.8958333333333334,0.7818181818181819,0.8349514563106796,43,5,12,0.63,Head,global
T1037,32,48,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.63,Medium,global
T1039,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.63,Tail,global
T1041,64,64,18,0.7647058823529411,0.7222222222222222,0.7428571428571429,13,4,5,0.63,Medium,global
T1046,31,48,9,0.6153846153846154,0.8888888888888888,0.7272727272727273,8,5,1,0.63,Medium,global
T1047,59,59,17,0.75,0.8823529411764706,0.8108108108108109,15,5,2,0.63,Medium,global
T1048,37,48,11,1.0,0.2727272727272727,0.42857142857142855,3,0,8,0.63,Medium,global
T1049,51,51,14,0.8571428571428571,0.42857142857142855,0.5714285714285714,6,1,8,0.63,Medium,global
T1052,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1053,121,121,35,0.8,0.9142857142857143,0.8533333333333334,32,8,3,0.63,Head,global
T1055,170,170,49,0.8604651162790697,0.7551020408163265,0.8043478260869565,37,6,12,0.63,Head,global
T1056,100,100,29,0.8275862068965517,0.8275862068965517,0.8275862068965517,24,5,5,0.63,Head,global
T1057,144,144,41,0.9,0.8780487804878049,0.8888888888888888,36,4,5,0.63,Head,global
T1059,481,481,138,0.8424657534246576,0.8913043478260869,0.8661971830985915,123,23,15,0.63,Head,global
T1068,26,48,7,0.8333333333333334,0.7142857142857143,0.7692307692307693,5,1,2,0.63,Medium,global
T1069,45,48,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,3,3,0.63,Medium,global
T1070,238,238,68,0.8955223880597015,0.8823529411764706,0.8888888888888888,60,7,8,0.63,Head,global
T1071,255,255,73,0.8292682926829268,0.9315068493150684,0.8774193548387097,68,14,5,0.63,Head,global
T1072,7,48,2,0.0,0.0,0.0,0,0,2,0.63,Tail,global
T1074,68,68,20,0.75,0.6,0.6666666666666666,12,4,8,0.63,Medium,global
T1078,63,63,18,0.6666666666666666,0.5555555555555556,0.6060606060606061,10,5,8,0.63,Medium,global
T1080,16,48,4,1.0,0.25,0.4,1,0,3,0.63,Tail,global
T1082,205,205,59,0.8688524590163934,0.8983050847457628,0.8833333333333333,53,8,6,0.63,Head,global
T1083,178,178,51,0.76,0.7450980392156863,0.7524752475247525,38,12,13,0.63,Head,global
T1087,66,66,19,0.8181818181818182,0.47368421052631576,0.6,9,2,10,0.63,Medium,global
T1090,87,87,25,0.8,0.8,0.8,20,5,5,0.63,Medium,global
T1091,17,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1092,4,48,1,1.0,1.0,1.0,1,0,0,0.63,Tail,global
T1095,38,48,11,0.5555555555555556,0.45454545454545453,0.5,5,4,6,0.63,Medium,global
T1098,33,48,10,0.3333333333333333,0.1,0.15384615384615385,1,2,9,0.63,Medium,global
T1102,71,71,20,0.6190476190476191,0.65,0.6341463414634146,13,8,7,0.63,Medium,global
T1104,12,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1105,236,236,67,0.859375,0.8208955223880597,0.8396946564885496,55,9,12,0.63,Head,global
T1106,81,81,23,0.6875,0.4782608695652174,0.5641025641025641,11,5,12,0.63,Medium,global
T1110,49,49,14,0.9166666666666666,0.7857142857142857,0.8461538461538461,11,1,3,0.63,Medium,global
T1111,9,48,3,0.0,0.0,0.0,0,1,3,0.63,Tail,global
T1112,80,80,23,0.7272727272727273,0.6956521739130435,0.7111111111111111,16,6,7,0.63,Medium,global
T1113,80,80,23,0.875,0.9130434782608695,0.8936170212765957,21,3,2,0.63,Medium,global
T1114,36,48,10,0.6666666666666666,0.6,0.631578947368421,6,3,4,0.63,Medium,global
T1115,22,48,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.63,Medium,global
T1119,33,48,10,0.375,0.3,0.3333333333333333,3,5,7,0.63,Medium,global
T1120,31,48,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.63,Medium,global
T1123,19,48,5,1.0,1.0,1.0,5,0,0,0.63,Tail,global
T1124,45,48,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.63,Medium,global
T1125,19,48,5,0.8,0.8,0.8,4,1,1,0.63,Tail,global
T1127,9,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1129,15,48,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.63,Tail,global
T1132,66,66,19,0.7894736842105263,0.7894736842105263,0.7894736842105263,15,4,4,0.63,Medium,global
T1133,26,48,8,1.0,0.875,0.9333333333333333,7,0,1,0.63,Medium,global
T1134,52,52,15,1.0,0.6,0.75,9,0,6,0.63,Medium,global
