Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,0.64,Medium,global
T1003,237,237,68,0.8548387096774194,0.7794117647058824,0.8153846153846154,53,9,15,0.64,Head,global
T1005,156,156,44,0.6363636363636364,0.6363636363636364,0.6363636363636364,28,16,16,0.64,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.64,Tail,global
T1007,34,78,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.64,Medium,global
T1008,31,78,9,0.5,0.2222222222222222,0.3076923076923077,2,2,7,0.64,Medium,global
T1010,17,78,5,1.0,0.6,0.75,3,0,2,0.64,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.64,Tail,global
T1012,88,88,25,0.72,0.72,0.72,18,7,7,0.64,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.64,Tail,global
T1016,182,182,52,0.6779661016949152,0.7692307692307693,0.7207207207207207,40,19,12,0.64,Head,global
T1018,40,78,12,0.8571428571428571,0.5,0.631578947368421,6,1,6,0.64,Medium,global
T1020,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.64,Tail,global
T1021,226,226,64,0.7666666666666667,0.71875,0.7419354838709677,46,14,18,0.64,Head,global
T1025,18,78,5,0.3333333333333333,0.2,0.25,1,2,4,0.64,Tail,global
T1027,1105,1110,316,0.7456140350877193,0.8069620253164557,0.7750759878419453,255,87,61,0.64,Head,global
T1029,12,78,4,0.5,0.5,0.5,2,2,2,0.64,Tail,global
T1030,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.64,Tail,global
T1033,153,153,44,0.8222222222222222,0.8409090909090909,0.8314606741573034,37,8,7,0.64,Head,global
T1036,280,280,80,0.7662337662337663,0.7375,0.7515923566878981,59,18,21,0.64,Head,global
T1037,32,78,9,0.5,0.4444444444444444,0.47058823529411764,4,4,5,0.64,Medium,global
T1039,10,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.64,Tail,global
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.64,Tail,global
T1041,165,165,47,0.6956521739130435,0.6808510638297872,0.6881720430107527,32,14,15,0.64,Head,global
T1046,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.64,Medium,global
T1047,142,142,40,0.8297872340425532,0.975,0.896551724137931,39,8,1,0.64,Head,global
T1048,37,78,11,0.4,0.18181818181818182,0.25,2,3,9,0.64,Medium,global
T1049,51,78,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.64,Medium,global
T1052,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.64,Tail,global
T1053,242,243,69,0.9393939393939394,0.8985507246376812,0.9185185185185185,62,4,7,0.64,Head,global
T1055,502,502,143,0.9104477611940298,0.8531468531468531,0.8808664259927798,122,12,21,0.64,Head,global
T1056,156,156,44,0.9047619047619048,0.8636363636363636,0.8837209302325582,38,4,6,0.64,Head,global
T1057,227,227,65,0.873015873015873,0.8461538461538461,0.859375,55,8,10,0.64,Head,global
T1059,807,808,231,0.8347826086956521,0.8311688311688312,0.8329718004338394,192,38,39,0.64,Head,global
T1068,37,78,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,0.64,Medium,global
T1069,45,78,13,0.8181818181818182,0.6923076923076923,0.75,9,2,4,0.64,Medium,global
T1070,329,329,94,0.8229166666666666,0.8404255319148937,0.8315789473684211,79,17,15,0.64,Head,global
T1071,432,432,124,0.8524590163934426,0.8387096774193549,0.8455284552845529,104,18,20,0.64,Head,global
T1072,20,78,6,0.75,0.5,0.6,3,1,3,0.64,Medium,global
T1074,103,103,29,0.9166666666666666,0.7586206896551724,0.8301886792452831,22,2,7,0.64,Head,global
T1078,257,263,74,0.7761194029850746,0.7027027027027027,0.7375886524822695,52,15,22,0.64,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.64,Tail,global
T1082,332,332,95,0.8390804597701149,0.7684210526315789,0.8021978021978022,73,14,22,0.64,Head,global
T1083,287,287,82,0.7590361445783133,0.7682926829268293,0.7636363636363637,63,20,19,0.64,Head,global
T1087,66,78,19,0.8181818181818182,0.47368421052631576,0.6,9,2,10,0.64,Medium,global
T1090,254,254,73,0.8421052631578947,0.8767123287671232,0.8590604026845637,64,12,9,0.64,Head,global
T1091,17,78,5,1.0,0.2,0.3333333333333333,1,0,4,0.64,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.64,Tail,global
T1095,98,98,28,0.8076923076923077,0.75,0.7777777777777778,21,5,7,0.64,Medium,global
T1098,33,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.64,Medium,global
T1102,71,78,20,0.7333333333333333,0.55,0.6285714285714286,11,4,9,0.64,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.64,Tail,global
T1105,547,547,156,0.823943661971831,0.75,0.785234899328859,117,25,39,0.64,Head,global
T1106,304,305,87,0.7558139534883721,0.7471264367816092,0.7514450867052023,65,21,22,0.64,Head,global
T1110,112,112,32,0.8275862068965517,0.75,0.7868852459016393,24,5,8,0.64,Head,global
T1111,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.64,Tail,global
T1112,203,203,58,0.8135593220338984,0.8275862068965517,0.8205128205128205,48,11,10,0.64,Head,global
T1113,117,117,33,0.8571428571428571,0.9090909090909091,0.8823529411764706,30,5,3,0.64,Head,global
T1114,36,78,10,0.875,0.7,0.7777777777777778,7,1,3,0.64,Medium,global
T1115,22,78,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.64,Medium,global
T1119,33,78,10,0.5,0.2,0.2857142857142857,2,2,8,0.64,Medium,global
T1120,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.64,Medium,global
T1123,19,78,5,1.0,1.0,1.0,5,0,0,0.64,Tail,global
T1124,45,78,13,1.0,0.9230769230769231,0.96,12,0,1,0.64,Medium,global
T1125,19,78,5,0.8,0.8,0.8,4,1,1,0.64,Tail,global
T1127,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.64,Tail,global
T1129,15,78,4,0.75,0.75,0.75,3,1,1,0.64,Tail,global
T1132,66,78,19,0.9375,0.7894736842105263,0.8571428571428571,15,1,4,0.64,Medium,global
T1133,26,78,8,1.0,0.25,0.4,2,0,6,0.64,Medium,global
T1134,52,78,15,0.8,0.8,0.8,12,3,3,0.64,Medium,global
T1135,31,78,9,0.5,0.5555555555555556,0.5263157894736842,5,5,4,0.64,Medium,global
T1136,27,78,8,0.75,0.75,0.75,6,2,2,0.64,Medium,global
T1137,38,78,11,1.0,0.8181818181818182,0.9,9,0,2,0.64,Medium,global
T1140,616,616,176,0.8947368421052632,0.8693181818181818,0.8818443804034583,153,18,23,0.64,Head,global
T1176,11,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.64,Tail,global
T1185,15,78,4,0.0,0.0,0.0,0,1,4,0.64,Tail,global
T1187,12,78,4,0.0,0.0,0.0,0,0,4,0.64,Tail,global
T1189,37,78,10,0.42857142857142855,0.3,0.35294117647058826,3,4,7,0.64,Medium,global
T1190,88,88,25,0.8947368421052632,0.68,0.7727272727272727,17,2,8,0.64,Medium,global
T1195,19,78,6,1.0,0.3333333333333333,0.5,2,0,4,0.64,Tail,global
T1197,15,78,4,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.64,Tail,global
T1199,8,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.64,Tail,global
T1200,3,78,1,0.0,0.0,0.0,0,1,1,0.64,Tail,global
T1201,7,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.64,Tail,global
T1202,3,78,1,0.0,0.0,0.0,0,0,1,0.64,Tail,global
T1203,44,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.64,Medium,global
T1204,244,244,70,0.8615384615384616,0.8,0.8296296296296296,56,9,14,0.64,Head,global
T1205,20,78,6,1.0,0.6666666666666666,0.8,4,0,2,0.64,Medium,global
T1207,5,78,2,0.0,0.0,0.0,0,0,2,0.64,Tail,global
T1210,33,78,10,0.5555555555555556,0.5,0.5263157894736842,5,4,5,0.64,Medium,global
T1211,4,78,1,0.0,0.0,0.0,0,0,1,0.64,Tail,global
T1212,3,78,1,0.0,0.0,0.0,0,1,1,0.64,Tail,global
T1213,17,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.64,Tail,global
T1216,10,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.64,Tail,global
T1217,8,78,2,1.0,1.0,1.0,2,0,0,0.64,Tail,global
T1218,225,225,64,0.9,0.84375,0.8709677419354839,54,6,10,0.64,Head,global
T1219,86,86,24,0.9473684210526315,0.75,0.8372093023255814,18,1,6,0.64,Medium,global
T1220,10,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.64,Tail,global
T1221,13,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.64,Tail,global
T1222,25,78,7,0.6666666666666666,0.2857142857142857,0.4,2,1,5,0.64,Medium,global
T1480,24,78,7,1.0,0.5714285714285714,0.7272727272727273,4,0,3,0.64,Medium,global
T1482,10,78,3,1.0,1.0,1.0,3,0,0,0.64,Tail,global
T1484,49,78,14,1.0,0.8571428571428571,0.9230769230769231,12,0,2,0.64,Medium,global
T1485,17,78,5,1.0,0.4,0.5714285714285714,2,0,3,0.64,Tail,global
T1486,37,78,11,0.75,0.2727272727272727,0.4,3,1,8,0.64,Medium,global
T1489,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.64,Medium,global
