minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.64,0.007131930952553265,0.91875,0.019120800571837026,0.8094562647754137,0.03735911228464501,0.4660659839242565,0.8001350647272081,0.42852075166924963,0.23027112521662874
0.06,0.64,0.01007020602056557,0.8875,0.02733219249284309,0.8080378250591016,0.05287583923764735,0.46632054551375346,0.7868371923867825,0.4290276021385891,0.15979370680475227
0.07,0.64,0.015355189675492376,0.8791666666666668,0.04101886339060435,0.8070921985815603,0.07806997484564372,0.46678232476044274,0.7832910930960023,0.429945063400579,0.10522414549099034
0.08,0.64,0.02383107870386106,0.8541666666666667,0.06323758628367847,0.8056737588652483,0.11727056880355115,0.4675354211925416,0.7726527952236619,0.4314349515428916,0.0669539389889963
0.09,0.64,0.03807247208901114,0.8479166666666668,0.09715883158375171,0.8052009456264776,0.17339510258107213,0.46883217758252455,0.7699932207555767,0.4339842517421777,0.04237832251059654
0.1,0.64,0.058150779476269475,0.8104166666666668,0.14479522184300342,0.8023640661938535,0.2453198409830141,0.4707493814013494,0.7540357739470661,0.437706826829515,0.027250850855031008
0.11,0.64,0.08932161732893754,0.7791666666666666,0.21085387104804582,0.8009456264775414,0.3338259927086413,0.47396370980145053,0.7407379016066407,0.4438191522123273,0.01764610694673543
0.12,0.64,0.13474964923991212,0.7791666666666666,0.28721600542556797,0.8009456264775414,0.42281292899039064,0.4792161358457177,0.7407379016066407,0.453475520685457,0.012071179504311694
0.13,0.64,0.1847162539672354,0.7666666666666666,0.3670858629661752,0.8004728132387707,0.5033447301917645,0.48599276755601184,0.7354187526704704,0.4653197723205323,0.008719959075439
0.14,0.64,0.2437571521581666,0.75625,0.44546891464699684,0.7995271867612294,0.5721536119099984,0.49642454139920605,0.7309861285569952,0.4817369482056648,0.006600651452195519
0.15,0.64,0.29184154481783536,0.74375,0.5124317768344451,0.7990543735224587,0.6244226861259929,0.5059234916679575,0.7256669796208249,0.49622446913184015,0.005306099012381767
0.16,0.64,0.33791747264300753,0.73125,0.5675857431069267,0.7981087470449173,0.6633916290037335,0.5170749395127492,0.7203478306846548,0.5121134452686286,0.0044709038899212825
0.17,0.64,0.36867388756235075,0.70625,0.6133139323390324,0.7971631205673759,0.6932565789473685,0.5291470721800099,0.7097095328123143,0.5256363201290013,0.0038940972584720107
0.18,0.64,0.40527481201852134,0.6916666666666667,0.6528316524437549,0.7957446808510639,0.71723844023013,0.5433467411359383,0.7035038590534491,0.541899359421856,0.003463449773453323
