Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5555555555555556,0.45454545454545453,0.5,5,4,6,0.6399999856948853,Medium,minority_f2
T1003,237,237,68,0.8208955223880597,0.8088235294117647,0.8148148148148148,55,12,13,0.6399999856948853,Head,minority_f2
T1005,156,156,44,0.6363636363636364,0.6363636363636364,0.6363636363636364,28,16,16,0.6399999856948853,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.3100000023841858,Tail,minority_f2
T1007,34,78,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.6399999856948853,Medium,minority_f2
T1008,31,78,9,0.75,0.3333333333333333,0.46153846153846156,3,1,6,0.6399999856948853,Medium,minority_f2
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.3100000023841858,Tail,minority_f2
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.3100000023841858,Tail,minority_f2
T1012,88,88,25,0.782608695652174,0.72,0.75,18,5,7,0.6399999856948853,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.3100000023841858,Tail,minority_f2
T1016,182,182,52,0.7192982456140351,0.7884615384615384,0.7522935779816514,41,16,11,0.6399999856948853,Head,minority_f2
T1018,40,78,12,0.875,0.5833333333333334,0.7,7,1,5,0.6399999856948853,Medium,minority_f2
T1020,18,78,5,0.3,0.6,0.4,3,7,2,0.3100000023841858,Tail,minority_f2
T1021,226,226,64,0.7903225806451613,0.765625,0.7777777777777778,49,13,15,0.6399999856948853,Head,minority_f2
T1025,18,78,5,0.14285714285714285,0.4,0.21052631578947367,2,12,3,0.3100000023841858,Tail,minority_f2
T1027,1105,1110,316,0.7699115044247787,0.8259493670886076,0.7969465648854962,261,78,55,0.6399999856948853,Head,minority_f2
T1029,12,78,4,0.3333333333333333,0.75,0.46153846153846156,3,6,1,0.3100000023841858,Tail,minority_f2
T1030,9,78,3,0.42857142857142855,1.0,0.6,3,4,0,0.3100000023841858,Tail,minority_f2
T1033,153,153,44,0.8604651162790697,0.8409090909090909,0.8505747126436781,37,6,7,0.6399999856948853,Head,minority_f2
T1036,280,280,80,0.7808219178082192,0.7125,0.7450980392156863,57,16,23,0.6399999856948853,Head,minority_f2
T1037,32,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.6399999856948853,Medium,minority_f2
T1039,10,78,3,0.3333333333333333,1.0,0.5,3,6,0,0.3100000023841858,Tail,minority_f2
T1040,12,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.3100000023841858,Tail,minority_f2
T1041,165,165,47,0.6545454545454545,0.7659574468085106,0.7058823529411765,36,19,11,0.6399999856948853,Head,minority_f2
T1046,31,78,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.6399999856948853,Medium,minority_f2
T1047,142,142,40,0.8297872340425532,0.975,0.896551724137931,39,8,1,0.6399999856948853,Head,minority_f2
T1048,37,78,11,0.42857142857142855,0.2727272727272727,0.3333333333333333,3,4,8,0.6399999856948853,Medium,minority_f2
T1049,51,78,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.6399999856948853,Medium,minority_f2
T1052,10,78,3,0.2,0.3333333333333333,0.25,1,4,2,0.3100000023841858,Tail,minority_f2
T1053,242,243,69,0.9253731343283582,0.8985507246376812,0.9117647058823529,62,5,7,0.6399999856948853,Head,minority_f2
T1055,502,502,143,0.8970588235294118,0.8531468531468531,0.8745519713261649,122,14,21,0.6399999856948853,Head,minority_f2
T1056,156,156,44,0.9069767441860465,0.8863636363636364,0.896551724137931,39,4,5,0.6399999856948853,Head,minority_f2
T1057,227,227,65,0.8615384615384616,0.8615384615384616,0.8615384615384616,56,9,9,0.6399999856948853,Head,minority_f2
T1059,807,808,231,0.8311688311688312,0.8311688311688312,0.8311688311688312,192,39,39,0.6399999856948853,Head,minority_f2
