Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,1.0,0.972972972972973,0.9863013698630136,36,0,1,0.68,Head,global
T1005,78,115,22,0.7222222222222222,0.5909090909090909,0.65,13,5,9,0.68,Medium,global
T1012,29,116,8,1.0,0.5,0.6666666666666666,4,0,4,0.68,Medium,global
T1016,46,115,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.68,Medium,global
T1021,121,128,34,0.90625,0.8529411764705882,0.8787878787878788,29,3,5,0.68,Head,global
T1027,761,791,218,0.8706467661691543,0.8027522935779816,0.8353221957040573,175,26,43,0.68,Head,global
T1033,45,118,13,0.75,0.46153846153846156,0.5714285714285714,6,2,7,0.68,Medium,global
T1036,88,114,25,0.95,0.76,0.8444444444444444,19,1,6,0.68,Medium,global
T1041,101,114,29,0.7083333333333334,0.5862068965517241,0.6415094339622641,17,7,12,0.68,Head,global
T1047,82,114,24,0.88,0.9166666666666666,0.8979591836734694,22,3,2,0.68,Medium,global
T1053,121,125,35,0.967741935483871,0.8571428571428571,0.9090909090909091,30,1,5,0.68,Head,global
T1055,332,340,95,0.9310344827586207,0.8526315789473684,0.8901098901098901,81,6,14,0.68,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.68,Medium,global
T1057,82,114,24,0.875,0.875,0.875,21,3,3,0.68,Medium,global
T1059,325,363,93,0.7549019607843137,0.8279569892473119,0.7897435897435897,77,25,16,0.68,Head,global
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.68,Tail,global
T1070,91,114,26,0.6774193548387096,0.8076923076923077,0.7368421052631579,21,10,5,0.68,Medium,global
T1071,178,184,51,0.8679245283018868,0.9019607843137255,0.8846153846153846,46,7,5,0.68,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.68,Tail,global
T1074,34,119,10,1.0,0.6,0.75,6,0,4,0.68,Medium,global
T1078,194,217,56,0.86,0.7678571428571429,0.8113207547169812,43,7,13,0.68,Head,global
T1082,128,173,36,0.8333333333333334,0.5555555555555556,0.6666666666666666,20,4,16,0.68,Head,global
T1083,108,120,31,0.8620689655172413,0.8064516129032258,0.8333333333333334,25,4,6,0.68,Head,global
T1090,167,167,48,0.9333333333333333,0.875,0.9032258064516129,42,3,6,0.68,Head,global
T1095,60,114,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.68,Medium,global
T1105,311,324,89,0.8470588235294118,0.8089887640449438,0.8275862068965517,72,13,17,0.68,Head,global
T1106,222,244,64,0.7846153846153846,0.796875,0.7906976744186046,51,14,13,0.68,Head,global
T1110,63,116,18,0.875,0.7777777777777778,0.8235294117647058,14,2,4,0.68,Medium,global
T1112,123,131,35,0.8787878787878788,0.8285714285714286,0.8529411764705882,29,4,6,0.68,Head,global
T1113,37,118,11,1.0,0.5454545454545454,0.7058823529411765,6,0,5,0.68,Medium,global
T1140,479,485,137,0.9264705882352942,0.9197080291970803,0.9230769230769231,126,10,11,0.68,Head,global
T1190,68,114,20,0.8888888888888888,0.8,0.8421052631578947,16,2,4,0.68,Medium,global
T1204,114,118,32,0.8620689655172413,0.78125,0.819672131147541,25,4,7,0.68,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.68,Tail,global
T1218,59,114,17,0.8125,0.7647058823529411,0.7878787878787878,13,3,4,0.68,Medium,global
T1219,68,116,19,0.8823529411764706,0.7894736842105263,0.8333333333333334,15,2,4,0.68,Medium,global
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.68,Medium,global
T1518,43,114,12,0.8461538461538461,0.9166666666666666,0.88,11,2,1,0.68,Medium,global
T1543,58,117,17,0.8571428571428571,0.7058823529411765,0.7741935483870968,12,2,5,0.68,Medium,global
T1547,80,114,23,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2,0.68,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.68,Medium,global
T1552,28,114,8,0.7,0.875,0.7777777777777778,7,3,1,0.68,Medium,global
T1557,7,114,2,0.0,0.0,0.0,0,0,2,0.68,Tail,global
T1562,108,126,31,0.8666666666666667,0.8387096774193549,0.8524590163934426,26,4,5,0.68,Head,global
T1564,21,117,6,1.0,0.6666666666666666,0.8,4,0,2,0.68,Medium,global
T1566,107,114,31,0.896551724137931,0.8387096774193549,0.8666666666666667,26,3,5,0.68,Head,global
T1569,26,115,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.68,Medium,global
T1570,73,114,21,1.0,0.6190476190476191,0.7647058823529411,13,0,8,0.68,Medium,global
T1573,72,115,21,0.9090909090909091,0.47619047619047616,0.625,10,1,11,0.68,Medium,global
T1574,88,114,25,1.0,0.92,0.9583333333333334,23,0,2,0.68,Medium,global
