Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.972972972972973,0.972972972972973,0.972972972972973,36,1,1,0.5600000023841858,Head,minority_f2
T1005,78,115,22,0.6,0.6818181818181818,0.6382978723404256,15,10,7,0.5600000023841858,Medium,minority_f2
T1012,29,116,8,0.8,0.5,0.6153846153846154,4,1,4,0.5600000023841858,Medium,minority_f2
T1016,46,115,13,0.9,0.6923076923076923,0.782608695652174,9,1,4,0.5600000023841858,Medium,minority_f2
T1021,121,128,34,0.90625,0.8529411764705882,0.8787878787878788,29,3,5,0.5600000023841858,Head,minority_f2
T1027,761,791,218,0.7844827586206896,0.8348623853211009,0.8088888888888889,182,50,36,0.5600000023841858,Head,minority_f2
T1033,45,118,13,0.6,0.46153846153846156,0.5217391304347826,6,4,7,0.5600000023841858,Medium,minority_f2
T1036,88,114,25,0.84,0.84,0.84,21,4,4,0.5600000023841858,Medium,minority_f2
T1041,101,114,29,0.6176470588235294,0.7241379310344828,0.6666666666666666,21,13,8,0.5600000023841858,Head,minority_f2
T1047,82,114,24,0.8461538461538461,0.9166666666666666,0.88,22,4,2,0.5600000023841858,Medium,minority_f2
T1053,121,125,35,0.967741935483871,0.8571428571428571,0.9090909090909091,30,1,5,0.5600000023841858,Head,minority_f2
T1055,332,340,95,0.8888888888888888,0.9263157894736842,0.9072164948453608,88,11,7,0.5600000023841858,Head,minority_f2
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.5600000023841858,Medium,minority_f2
T1057,82,114,24,0.84,0.875,0.8571428571428571,21,4,3,0.5600000023841858,Medium,minority_f2
T1059,325,363,93,0.7575757575757576,0.8064516129032258,0.78125,75,24,18,0.5600000023841858,Head,minority_f2
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.7400000095367432,Tail,minority_f2
T1070,91,114,26,0.7,0.8076923076923077,0.75,21,9,5,0.5600000023841858,Medium,minority_f2
T1071,178,184,51,0.8653846153846154,0.8823529411764706,0.8737864077669902,45,7,6,0.5600000023841858,Head,minority_f2
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.7400000095367432,Tail,minority_f2
T1074,34,119,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.5600000023841858,Medium,minority_f2
T1078,194,217,56,0.7142857142857143,0.8035714285714286,0.7563025210084033,45,18,11,0.5600000023841858,Head,minority_f2
T1082,128,173,36,0.8,0.6666666666666666,0.7272727272727273,24,6,12,0.5600000023841858,Head,minority_f2
T1083,108,120,31,0.7105263157894737,0.8709677419354839,0.782608695652174,27,11,4,0.5600000023841858,Head,minority_f2
T1090,167,167,48,0.8979591836734694,0.9166666666666666,0.9072164948453608,44,5,4,0.5600000023841858,Head,minority_f2
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.5600000023841858,Medium,minority_f2
T1105,311,324,89,0.8352941176470589,0.797752808988764,0.8160919540229885,71,14,18,0.5600000023841858,Head,minority_f2
T1106,222,244,64,0.6875,0.859375,0.7638888888888888,55,25,9,0.5600000023841858,Head,minority_f2
T1110,63,116,18,0.875,0.7777777777777778,0.8235294117647058,14,2,4,0.5600000023841858,Medium,minority_f2
T1112,123,131,35,0.90625,0.8285714285714286,0.8656716417910447,29,3,6,0.5600000023841858,Head,minority_f2
T1113,37,118,11,1.0,0.7272727272727273,0.8421052631578947,8,0,3,0.5600000023841858,Medium,minority_f2
T1140,479,485,137,0.9014084507042254,0.9343065693430657,0.9175627240143369,128,14,9,0.5600000023841858,Head,minority_f2
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.5600000023841858,Medium,minority_f2
T1204,114,118,32,0.7941176470588235,0.84375,0.8181818181818182,27,7,5,0.5600000023841858,Head,minority_f2
T1210,17,114,5,0.6666666666666666,0.4,0.5,2,1,3,0.7400000095367432,Tail,minority_f2
T1218,59,114,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.5600000023841858,Medium,minority_f2
T1219,68,116,19,0.8095238095238095,0.8947368421052632,0.85,17,4,2,0.5600000023841858,Medium,minority_f2
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.5600000023841858,Medium,minority_f2
T1518,43,114,12,0.9090909090909091,0.8333333333333334,0.8695652173913043,10,1,2,0.5600000023841858,Medium,minority_f2
T1543,58,117,17,0.7857142857142857,0.6470588235294118,0.7096774193548387,11,3,6,0.5600000023841858,Medium,minority_f2
T1547,80,114,23,0.7857142857142857,0.9565217391304348,0.8627450980392157,22,6,1,0.5600000023841858,Medium,minority_f2
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.5600000023841858,Medium,minority_f2
T1552,28,114,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.5600000023841858,Medium,minority_f2
T1557,7,114,2,0.0,0.0,0.0,0,0,2,0.7400000095367432,Tail,minority_f2
T1562,108,126,31,0.9,0.8709677419354839,0.8852459016393442,27,3,4,0.5600000023841858,Head,minority_f2
T1564,21,117,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.5600000023841858,Medium,minority_f2
T1566,107,114,31,0.90625,0.9354838709677419,0.9206349206349206,29,3,2,0.5600000023841858,Head,minority_f2
T1569,26,115,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.5600000023841858,Medium,minority_f2
T1570,73,114,21,0.8666666666666667,0.6190476190476191,0.7222222222222222,13,2,8,0.5600000023841858,Medium,minority_f2
T1573,72,115,21,0.9230769230769231,0.5714285714285714,0.7058823529411765,12,1,9,0.5600000023841858,Medium,minority_f2
T1574,88,114,25,1.0,0.96,0.9795918367346939,24,0,1,0.5600000023841858,Medium,minority_f2
