Technique_ID,Sample_Count
T1059,558
T1027,398
T1547,294
T1071,291
T1070,275
T1105,272
T1082,234
T1036,219
T1083,205
T1055,194
T1218,190
T1057,168
T1140,156
T1016,155
T1573,155
T1566,154
T1204,150
T1574,147
T1543,141
T1562,140
T1546,139
T1053,138
T1564,136
T1056,130
T1033,124
T1003,122
T1021,120
T1555,113
T1560,112
T1553,112
T1090,100
T1113,98
T1518,98
T1497,96
T1106,93
T1112,91
T1005,89
T1588,85
T1102,81
T1074,78
T1087,77
T1132,75
T1041,73
T1078,72
T1548,71
T1012,68
T1047,67
T1552,66
T1583,59
T1134,59
T1049,58
T1110,56
T1505,55
T1069,52
T1124,51
T1550,50
T1203,50
T1569,48
T1608,47
T1018,46
T1001,46
T1568,44
T1189,44
T1137,43
T1095,43
T1558,42
T1486,42
T1048,42
T1114,41
T1007,40
T1499,39
T1587,38
T1119,38
T1098,38
T1559,38
T1037,37
T1046,36
T1120,35
T1135,35
T1584,35
T1008,35
T1556,34
T1542,33
T1136,31
T1068,30
T1133,30
T1222,30
T1585,29
T1614,28
T1590,28
T1596,27
T1480,27
T1601,27
T1557,27
T1589,26
T1498,26
T1571,26
T1598,26
T1561,25
T1489,25
T1115,25
T1484,24
T1205,23
T1490,22
T1014,22
T1125,22
T1190,22
T1567,22
T1586,22
T1123,22
T1010,22
T1195,22
T1025,21
T1606,21
T1020,21
T1219,20
T1091,20
T1591,20
T1592,20
T1485,19
T1213,19
T1129,18
T1563,18
T1565,18
T1210,18
T1080,18
T1197,17
T1185,17
T1572,16
T1570,16
T1599,15
T1221,15
T1578,15
T1595,15
T1539,14
T1040,14
T1029,14
T1104,14
T1187,14
T1496,14
T1602,14
T1554,13
T1600,13
T1176,13
T1593,13
T1529,13
T1597,12
T1052,12
T1220,12
T1482,12
T1216,11
T1039,11
T1111,10
T1030,10
T1528,10
T1127,10
T1491,10
T1217,9
T1199,9
T1611,9
T1534,8
T1580,8
T1072,8
T1201,8
T1620,8
T1530,7
T1610,7
T1011,6
T1613,6
T1609,6
T1535,6
T1207,6
T1615,6
T1092,5
T1211,5
T1526,5
T1594,5
T1525,5
T1495,4
T1006,4
T1202,4
T1531,4
T1619,4
T1212,4
T1612,4
T1200,3
T1537,3
T1538,3
