Technique,Sample_Count,Percentage (%),Group
T1027,1464,6.54,Frequent (>=100)
T1059,1406,6.281,Frequent (>=100)
T1140,909,4.061,Frequent (>=100)
T1557,772,3.449,Frequent (>=100)
T1203,756,3.377,Frequent (>=100)
T1055,691,3.087,Frequent (>=100)
T1606,662,2.957,Frequent (>=100)
T1204,580,2.591,Frequent (>=100)
T1105,579,2.587,Frequent (>=100)
T1078,579,2.587,Frequent (>=100)
T1071,566,2.529,Frequent (>=100)
T1552,550,2.457,Frequent (>=100)
T1566,543,2.426,Frequent (>=100)
T1499,499,2.229,Frequent (>=100)
T1106,403,1.8,Frequent (>=100)
T1056,377,1.684,Frequent (>=100)
T1053,373,1.666,Frequent (>=100)
T1110,367,1.64,Frequent (>=100)
T1021,325,1.452,Frequent (>=100)
T1003,317,1.416,Frequent (>=100)
T1190,298,1.331,Frequent (>=100)
T1090,293,1.309,Frequent (>=100)
T1562,291,1.3,Frequent (>=100)
T1609,281,1.255,Frequent (>=100)
T1082,278,1.242,Frequent (>=100)
T1040,271,1.211,Frequent (>=100)
T1600,269,1.202,Frequent (>=100)
T1005,262,1.17,Frequent (>=100)
T1070,259,1.157,Frequent (>=100)
T1195,257,1.148,Frequent (>=100)
T1574,244,1.09,Frequent (>=100)
T1565,229,1.023,Frequent (>=100)
T1112,224,1.001,Frequent (>=100)
T1547,220,0.983,Frequent (>=100)
T1083,216,0.965,Frequent (>=100)
T1041,216,0.965,Frequent (>=100)
T1036,201,0.898,Frequent (>=100)
T1218,198,0.885,Frequent (>=100)
T1047,191,0.853,Frequent (>=100)
T1530,187,0.835,Frequent (>=100)
T1189,180,0.804,Frequent (>=100)
T1595,170,0.759,Frequent (>=100)
T1057,168,0.751,Frequent (>=100)
T1068,166,0.742,Frequent (>=100)
T1543,156,0.697,Frequent (>=100)
T1210,153,0.684,Frequent (>=100)
T1200,150,0.67,Frequent (>=100)
T1556,145,0.648,Frequent (>=100)
T1548,133,0.594,Frequent (>=100)
T1601,132,0.59,Frequent (>=100)
T1542,126,0.563,Frequent (>=100)
T1592,122,0.545,Frequent (>=100)
T1570,120,0.536,Frequent (>=100)
T1113,120,0.536,Frequent (>=100)
T1573,120,0.536,Frequent (>=100)
T1546,117,0.523,Frequent (>=100)
T1095,112,0.5,Frequent (>=100)
T1219,109,0.487,Frequent (>=100)
T1016,106,0.474,Frequent (>=100)
T1585,106,0.474,Frequent (>=100)
T1602,99,0.442,Medium (30-99)
T1033,97,0.433,Medium (30-99)
T1583,93,0.415,Medium (30-99)
T1498,91,0.407,Medium (30-99)
T1608,89,0.398,Medium (30-99)
T1496,85,0.38,Medium (30-99)
T1564,83,0.371,Medium (30-99)
T1611,82,0.366,Medium (30-99)
T1046,82,0.366,Medium (30-99)
T1201,81,0.362,Medium (30-99)
T1518,79,0.353,Medium (30-99)
T1087,79,0.353,Medium (30-99)
T1589,78,0.348,Medium (30-99)
T1208,74,0.331,Medium (30-99)
T1555,72,0.322,Medium (30-99)
T1123,64,0.286,Medium (30-99)
T1176,63,0.281,Medium (30-99)
T1074,59,0.264,Medium (30-99)
T1586,59,0.264,Medium (30-99)
T1569,56,0.25,Medium (30-99)
T0859,54,0.241,Medium (30-99)
T1114,52,0.232,Medium (30-99)
T1486,51,0.228,Medium (30-99)
T1484,50,0.223,Medium (30-99)
T1622,48,0.214,Medium (30-99)
T1012,48,0.214,Medium (30-99)
T1505,48,0.214,Medium (30-99)
T1048,46,0.206,Medium (30-99)
T1185,45,0.201,Medium (30-99)
T1001,44,0.197,Medium (30-99)
T1213,44,0.197,Medium (30-99)
T1550,43,0.192,Medium (30-99)
T1584,43,0.192,Medium (30-99)
T0810,42,0.188,Medium (30-99)
T1554,41,0.183,Medium (30-99)
T1495,41,0.183,Medium (30-99)
T1214,40,0.179,Medium (30-99)
T1020,38,0.17,Medium (30-99)
T1647,37,0.165,Medium (30-99)
T1631,37,0.165,Medium (30-99)
T0835,37,0.165,Medium (30-99)
T1430,37,0.165,Medium (30-99)
T1539,36,0.161,Medium (30-99)
T1587,34,0.152,Medium (30-99)
T1531,32,0.143,Medium (30-99)
T1553,32,0.143,Medium (30-99)
T1211,31,0.138,Medium (30-99)
T1421,30,0.134,Medium (30-99)
T1621,29,0.13,Rare (<30)
T1134,29,0.13,Rare (<30)
T1590,28,0.125,Rare (<30)
T1642,27,0.121,Rare (<30)
T1098,27,0.121,Rare (<30)
T1081,26,0.116,Rare (<30)
T1537,26,0.116,Rare (<30)
T1133,26,0.116,Rare (<30)
T1119,24,0.107,Rare (<30)
T1086,23,0.103,Rare (<30)
T1115,23,0.103,Rare (<30)
T1069,22,0.098,Rare (<30)
T1072,22,0.098,Rare (<30)
T0813,22,0.098,Rare (<30)
T1006,22,0.098,Rare (<30)
T1431,21,0.094,Rare (<30)
T1205,21,0.094,Rare (<30)
T1636,21,0.094,Rare (<30)
T1485,20,0.089,Rare (<30)
T1596,20,0.089,Rare (<30)
T1202,19,0.085,Rare (<30)
T1102,19,0.085,Rare (<30)
T1497,19,0.085,Rare (<30)
T1491,19,0.085,Rare (<30)
