Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.5,0.18181818181818182,0.26666666666666666,2,2,9,0.56,Medium,global
T1003,107,107,30,0.7894736842105263,0.5,0.6122448979591837,15,4,15,0.56,Head,global
T1005,78,78,22,0.5416666666666666,0.5909090909090909,0.5652173913043478,13,11,9,0.56,Medium,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.56,Tail,global
T1007,34,34,10,1.0,0.6,0.75,6,0,4,0.56,Medium,global
T1008,31,31,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.56,Medium,global
T1010,17,17,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.56,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.56,Tail,global
T1012,59,59,17,0.75,0.7058823529411765,0.7272727272727273,12,4,5,0.56,Medium,global
T1014,19,19,5,1.0,0.8,0.8888888888888888,4,0,1,0.56,Tail,global
T1016,136,136,39,0.7560975609756098,0.7948717948717948,0.775,31,10,8,0.56,Head,global
T1018,40,40,12,0.7142857142857143,0.4166666666666667,0.5263157894736842,5,2,7,0.56,Medium,global
T1020,18,18,5,0.5,0.2,0.2857142857142857,1,1,4,0.56,Tail,global
T1021,105,105,30,0.7407407407407407,0.6666666666666666,0.7017543859649122,20,7,10,0.56,Head,global
T1025,18,18,5,0.3333333333333333,0.2,0.25,1,2,4,0.56,Tail,global
T1027,344,344,98,0.8333333333333334,0.8673469387755102,0.85,85,17,13,0.56,Head,global
T1029,12,12,4,0.0,0.0,0.0,0,0,4,0.56,Tail,global
T1030,9,9,3,0.0,0.0,0.0,0,0,3,0.56,Tail,global
T1033,108,108,31,0.6578947368421053,0.8064516129032258,0.7246376811594203,25,13,6,0.56,Head,global
T1036,192,192,55,0.78,0.7090909090909091,0.7428571428571429,39,11,16,0.56,Head,global
T1037,32,32,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.56,Medium,global
