Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.0,0.0,0.0,0,4,11,0.6,Medium,global
T1003,237,237,68,0.9245283018867925,0.7205882352941176,0.8099173553719008,49,4,19,0.6,Head,global
T1005,156,156,44,0.8,0.6363636363636364,0.7088607594936709,28,7,16,0.6,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.6,Tail,global
T1007,34,34,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.6,Medium,global
T1008,31,31,9,0.5,0.2222222222222222,0.3076923076923077,2,2,7,0.6,Medium,global
T1010,17,17,5,1.0,1.0,1.0,5,0,0,0.6,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.6,Tail,global
T1012,88,88,25,0.7391304347826086,0.68,0.7083333333333334,17,6,8,0.6,Medium,global
T1014,19,19,5,1.0,1.0,1.0,5,0,0,0.6,Tail,global
T1016,182,182,52,0.82,0.7884615384615384,0.803921568627451,41,9,11,0.6,Head,global
T1018,40,40,12,1.0,0.5,0.6666666666666666,6,0,6,0.6,Medium,global
T1020,18,18,5,0.0,0.0,0.0,0,0,5,0.6,Tail,global
T1021,226,226,64,0.7894736842105263,0.703125,0.743801652892562,45,12,19,0.6,Head,global
T1025,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.6,Tail,global
T1027,1105,1105,316,0.7333333333333333,0.8006329113924051,0.7655068078668684,253,92,63,0.6,Head,global
T1029,12,12,4,1.0,0.5,0.6666666666666666,2,0,2,0.6,Tail,global
T1030,9,9,3,1.0,0.3333333333333333,0.5,1,0,2,0.6,Tail,global
T1033,153,153,44,0.8809523809523809,0.8409090909090909,0.8604651162790697,37,5,7,0.6,Head,global
T1036,280,280,80,0.8208955223880597,0.6875,0.7482993197278912,55,12,25,0.6,Head,global
T1037,32,32,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.6,Medium,global
T1039,10,10,3,0.0,0.0,0.0,0,0,3,0.6,Tail,global
T1040,12,12,4,1.0,0.25,0.4,1,0,3,0.6,Tail,global
T1041,165,165,47,0.7272727272727273,0.6808510638297872,0.7032967032967034,32,12,15,0.6,Head,global
T1046,31,31,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.6,Medium,global
T1047,142,142,40,0.8444444444444444,0.95,0.8941176470588236,38,7,2,0.6,Head,global
T1048,37,37,11,0.75,0.2727272727272727,0.4,3,1,8,0.6,Medium,global
T1049,51,51,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,8,1,6,0.6,Medium,global
T1052,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.6,Tail,global
T1053,242,242,69,0.9841269841269841,0.8985507246376812,0.9393939393939394,62,1,7,0.6,Head,global
T1055,502,502,143,0.8776978417266187,0.8531468531468531,0.8652482269503546,122,17,21,0.6,Head,global
T1056,156,156,44,0.9302325581395349,0.9090909090909091,0.9195402298850575,40,3,4,0.6,Head,global
T1057,227,227,65,0.8524590163934426,0.8,0.8253968253968254,52,9,13,0.6,Head,global
T1059,807,807,231,0.8546255506607929,0.8398268398268398,0.8471615720524017,194,33,37,0.6,Head,global
T1068,37,37,11,0.8,0.36363636363636365,0.5,4,1,7,0.6,Medium,global
T1069,45,45,13,0.8571428571428571,0.46153846153846156,0.6,6,1,7,0.6,Medium,global
T1070,329,329,94,0.7978723404255319,0.7978723404255319,0.7978723404255319,75,19,19,0.6,Head,global
T1071,432,432,124,0.8869565217391304,0.8225806451612904,0.8535564853556485,102,13,22,0.6,Head,global
T1072,20,20,6,1.0,0.5,0.6666666666666666,3,0,3,0.6,Medium,global
T1074,103,103,29,0.85,0.5862068965517241,0.6938775510204082,17,3,12,0.6,Head,global
T1078,257,257,74,0.7794117647058824,0.7162162162162162,0.7464788732394366,53,15,21,0.6,Head,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.6,Tail,global
T1082,332,332,95,0.8041237113402062,0.8210526315789474,0.8125,78,19,17,0.6,Head,global
T1083,287,287,82,0.8227848101265823,0.7926829268292683,0.8074534161490683,65,14,17,0.6,Head,global
