Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,0.9444444444444444,0.918918918918919,0.9315068493150684,34,2,3,0.56,Head,global
T1005,78,78,22,0.45,0.4090909090909091,0.42857142857142855,9,11,13,0.56,Medium,global
T1012,29,29,8,0.8571428571428571,0.75,0.8,6,1,2,0.56,Medium,global
T1016,46,46,13,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2,0.56,Medium,global
T1021,121,121,34,0.8611111111111112,0.9117647058823529,0.8857142857142857,31,5,3,0.56,Head,global
T1027,761,761,218,0.7261410788381742,0.8027522935779816,0.7625272331154684,175,66,43,0.56,Head,global
T1033,45,45,13,0.4166666666666667,0.38461538461538464,0.4,5,7,8,0.56,Medium,global
T1036,88,88,25,1.0,0.64,0.7804878048780488,16,0,9,0.56,Medium,global
T1041,101,101,29,0.5714285714285714,0.6896551724137931,0.625,20,15,9,0.56,Head,global
T1047,82,82,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.56,Medium,global
T1053,121,121,35,0.9310344827586207,0.7714285714285715,0.84375,27,2,8,0.56,Head,global
T1055,332,332,95,0.8913043478260869,0.8631578947368421,0.8770053475935828,82,10,13,0.56,Head,global
T1056,55,55,16,0.9375,0.9375,0.9375,15,1,1,0.56,Medium,global
T1057,82,82,24,0.9047619047619048,0.7916666666666666,0.8444444444444444,19,2,5,0.56,Medium,global
T1059,325,325,93,0.6486486486486487,0.7741935483870968,0.7058823529411765,72,39,21,0.56,Head,global
T1068,11,11,3,1.0,0.3333333333333333,0.5,1,0,2,0.56,Tail,global
T1070,91,91,26,0.75,0.6923076923076923,0.72,18,6,8,0.56,Medium,global
T1071,178,178,51,0.84,0.8235294117647058,0.8316831683168316,42,8,9,0.56,Head,global
T1072,13,13,4,0.0,0.0,0.0,0,0,4,0.56,Tail,global
T1074,34,34,10,0.875,0.7,0.7777777777777778,7,1,3,0.56,Medium,global
T1078,194,194,56,0.7,0.75,0.7241379310344828,42,18,14,0.56,Head,global
T1082,128,128,36,0.7666666666666667,0.6388888888888888,0.696969696969697,23,7,13,0.56,Head,global
T1083,108,108,31,0.8125,0.8387096774193549,0.8253968253968254,26,6,5,0.56,Head,global
T1090,167,167,48,0.9111111111111111,0.8541666666666666,0.8817204301075269,41,4,7,0.56,Head,global
T1095,60,60,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.56,Medium,global
T1105,311,311,89,0.7906976744186046,0.7640449438202247,0.7771428571428571,68,18,21,0.56,Head,global
T1106,222,222,64,0.72,0.84375,0.7769784172661871,54,21,10,0.56,Head,global
T1110,63,63,18,0.8125,0.7222222222222222,0.7647058823529411,13,3,5,0.56,Medium,global
T1112,123,123,35,0.8055555555555556,0.8285714285714286,0.8169014084507042,29,7,6,0.56,Head,global
T1113,37,37,11,1.0,0.6363636363636364,0.7777777777777778,7,0,4,0.56,Medium,global
T1140,479,479,137,0.8776978417266187,0.8905109489051095,0.8840579710144928,122,17,15,0.56,Head,global
T1190,68,68,20,0.8235294117647058,0.7,0.7567567567567568,14,3,6,0.56,Medium,global
T1204,114,114,32,0.8620689655172413,0.78125,0.819672131147541,25,4,7,0.56,Head,global
T1210,17,17,5,0.6666666666666666,0.4,0.5,2,1,3,0.56,Tail,global
T1218,59,59,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.56,Medium,global
T1219,68,68,19,0.8571428571428571,0.9473684210526315,0.9,18,3,1,0.56,Medium,global
T1484,28,28,8,1.0,0.875,0.9333333333333333,7,0,1,0.56,Medium,global
T1518,43,43,12,0.8,0.6666666666666666,0.7272727272727273,8,2,4,0.56,Medium,global
T1543,58,58,17,0.8571428571428571,0.7058823529411765,0.7741935483870968,12,2,5,0.56,Medium,global
T1547,80,80,23,0.95,0.8260869565217391,0.8837209302325582,19,1,4,0.56,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.56,Medium,global
T1552,28,28,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.56,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.56,Tail,global
T1562,108,108,31,0.8125,0.8387096774193549,0.8253968253968254,26,6,5,0.56,Head,global
T1564,21,21,6,1.0,0.5,0.6666666666666666,3,0,3,0.56,Medium,global
T1566,107,107,31,0.8571428571428571,0.7741935483870968,0.8135593220338984,24,4,7,0.56,Head,global
T1569,26,26,8,0.625,0.625,0.625,5,3,3,0.56,Medium,global
T1570,73,73,21,0.9230769230769231,0.5714285714285714,0.7058823529411765,12,1,9,0.56,Medium,global
T1573,72,72,21,0.8823529411764706,0.7142857142857143,0.7894736842105263,15,2,6,0.56,Medium,global
T1574,88,88,25,0.9583333333333334,0.92,0.9387755102040817,23,1,2,0.56,Medium,global
