Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.6,0.2727272727272727,0.375,3,2,8,0.63,Medium,global
T1003,237,237,68,0.9411764705882353,0.7058823529411765,0.8067226890756303,48,3,20,0.63,Head,global
T1005,156,156,44,0.8285714285714286,0.6590909090909091,0.7341772151898734,29,6,15,0.63,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.63,Tail,global
T1007,34,78,10,0.7,0.7,0.7,7,3,3,0.63,Medium,global
T1008,31,78,9,1.0,0.3333333333333333,0.5,3,0,6,0.63,Medium,global
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.63,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.63,Tail,global
T1012,88,88,25,0.7727272727272727,0.68,0.723404255319149,17,5,8,0.63,Medium,global
T1014,19,78,5,1.0,1.0,1.0,5,0,0,0.63,Tail,global
T1016,182,182,52,0.8913043478260869,0.7884615384615384,0.8367346938775511,41,5,11,0.63,Head,global
T1018,40,78,12,0.875,0.5833333333333334,0.7,7,1,5,0.63,Medium,global
T1020,18,78,5,0.0,0.0,0.0,0,0,5,0.63,Tail,global
T1021,226,226,64,0.8392857142857143,0.734375,0.7833333333333333,47,9,17,0.63,Head,global
T1025,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.63,Tail,global
T1027,1105,1110,316,0.7591463414634146,0.7879746835443038,0.7732919254658385,249,79,67,0.63,Head,global
T1029,12,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.63,Tail,global
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.63,Tail,global
T1033,153,153,44,0.8863636363636364,0.8863636363636364,0.8863636363636364,39,5,5,0.63,Head,global
T1036,280,280,80,0.8088235294117647,0.6875,0.7432432432432432,55,13,25,0.63,Head,global
T1037,32,78,9,0.6,0.3333333333333333,0.42857142857142855,3,2,6,0.63,Medium,global
T1039,10,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1040,12,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.63,Tail,global
T1041,165,165,47,0.7073170731707317,0.6170212765957447,0.6590909090909091,29,12,18,0.63,Head,global
T1046,31,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.63,Medium,global
T1047,142,142,40,0.825,0.825,0.825,33,7,7,0.63,Head,global
T1048,37,78,11,0.5,0.36363636363636365,0.42105263157894735,4,4,7,0.63,Medium,global
T1049,51,78,14,1.0,0.5714285714285714,0.7272727272727273,8,0,6,0.63,Medium,global
T1052,10,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1053,242,243,69,0.9538461538461539,0.8985507246376812,0.9253731343283582,62,3,7,0.63,Head,global
T1055,502,502,143,0.9236641221374046,0.8461538461538461,0.8832116788321168,121,10,22,0.63,Head,global
T1056,156,156,44,0.95,0.8636363636363636,0.9047619047619048,38,2,6,0.63,Head,global
T1057,227,227,65,0.8387096774193549,0.8,0.8188976377952756,52,10,13,0.63,Head,global
T1059,807,808,231,0.8811881188118812,0.7705627705627706,0.8221709006928406,178,24,53,0.63,Head,global
T1068,37,78,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.63,Medium,global
T1069,45,78,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.63,Medium,global
T1070,329,329,94,0.8041237113402062,0.8297872340425532,0.8167539267015707,78,19,16,0.63,Head,global
T1071,432,432,124,0.8859649122807017,0.8145161290322581,0.8487394957983193,101,13,23,0.63,Head,global
T1072,20,78,6,0.75,0.5,0.6,3,1,3,0.63,Medium,global
T1074,103,103,29,0.7222222222222222,0.4482758620689655,0.5531914893617021,13,5,16,0.63,Head,global
T1078,257,263,74,0.8135593220338984,0.6486486486486487,0.7218045112781954,48,11,26,0.63,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.63,Tail,global
T1082,332,332,95,0.8888888888888888,0.7578947368421053,0.8181818181818182,72,9,23,0.63,Head,global
T1083,287,287,82,0.8955223880597015,0.7317073170731707,0.8053691275167785,60,7,22,0.63,Head,global
T1087,66,78,19,0.7857142857142857,0.5789473684210527,0.6666666666666666,11,3,8,0.63,Medium,global
T1090,254,254,73,0.9016393442622951,0.7534246575342466,0.8208955223880597,55,6,18,0.63,Head,global
T1091,17,78,5,1.0,0.4,0.5714285714285714,2,0,3,0.63,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.63,Tail,global
T1095,98,98,28,0.7142857142857143,0.7142857142857143,0.7142857142857143,20,8,8,0.63,Medium,global
T1098,33,78,10,0.8333333333333334,0.5,0.625,5,1,5,0.63,Medium,global
T1102,71,78,20,0.75,0.45,0.5625,9,3,11,0.63,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.63,Tail,global
T1105,547,547,156,0.8345323741007195,0.7435897435897436,0.7864406779661017,116,23,40,0.63,Head,global
T1106,304,305,87,0.7865168539325843,0.8045977011494253,0.7954545454545454,70,19,17,0.63,Head,global
T1110,112,112,32,0.8275862068965517,0.75,0.7868852459016393,24,5,8,0.63,Head,global
T1111,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.63,Tail,global
T1112,203,203,58,0.7894736842105263,0.7758620689655172,0.782608695652174,45,12,13,0.63,Head,global
T1113,117,117,33,0.9090909090909091,0.9090909090909091,0.9090909090909091,30,3,3,0.63,Head,global
T1114,36,78,10,0.75,0.3,0.42857142857142855,3,1,7,0.63,Medium,global
T1115,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.63,Medium,global
T1119,33,78,10,0.0,0.0,0.0,0,0,10,0.63,Medium,global
T1120,31,78,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.63,Medium,global
T1123,19,78,5,1.0,0.8,0.8888888888888888,4,0,1,0.63,Tail,global
T1124,45,78,13,1.0,0.9230769230769231,0.96,12,0,1,0.63,Medium,global
T1125,19,78,5,0.8,0.8,0.8,4,1,1,0.63,Tail,global
T1127,9,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.63,Tail,global
T1129,15,78,4,0.0,0.0,0.0,0,2,4,0.63,Tail,global
T1132,66,78,19,1.0,0.7894736842105263,0.8823529411764706,15,0,4,0.63,Medium,global
T1133,26,78,8,0.75,0.375,0.5,3,1,5,0.63,Medium,global
T1134,52,78,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,11,4,4,0.63,Medium,global
T1135,31,78,9,0.625,0.5555555555555556,0.5882352941176471,5,3,4,0.63,Medium,global
T1136,27,78,8,0.875,0.875,0.875,7,1,1,0.63,Medium,global
T1137,38,78,11,1.0,0.5454545454545454,0.7058823529411765,6,0,5,0.63,Medium,global
T1140,616,616,176,0.8947368421052632,0.8693181818181818,0.8818443804034583,153,18,23,0.63,Head,global
T1176,11,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.63,Tail,global
T1185,15,78,4,0.5,0.25,0.3333333333333333,1,1,3,0.63,Tail,global
T1187,12,78,4,0.0,0.0,0.0,0,0,4,0.63,Tail,global
T1189,37,78,10,0.5,0.3,0.375,3,3,7,0.63,Medium,global
T1190,88,88,25,0.7391304347826086,0.68,0.7083333333333334,17,6,8,0.63,Medium,global
T1195,19,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.63,Tail,global
T1197,15,78,4,0.5,0.75,0.6,3,3,1,0.63,Tail,global
T1199,8,78,2,0.0,0.0,0.0,0,0,2,0.63,Tail,global
T1200,3,78,1,0.0,0.0,0.0,0,0,1,0.63,Tail,global
T1201,7,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.63,Tail,global
T1202,3,78,1,0.0,0.0,0.0,0,0,1,0.63,Tail,global
T1203,44,78,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.63,Medium,global
T1204,244,244,70,0.8928571428571429,0.7142857142857143,0.7936507936507936,50,6,20,0.63,Head,global
T1205,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.63,Medium,global
T1207,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.63,Tail,global
T1210,33,78,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.63,Medium,global
