Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.59,Head,global
T1005,78,115,22,0.6666666666666666,0.45454545454545453,0.5405405405405406,10,5,12,0.59,Medium,global
T1012,29,116,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.59,Medium,global
T1016,46,115,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,3,3,0.59,Medium,global
T1021,121,128,34,0.875,0.8235294117647058,0.8484848484848485,28,4,6,0.59,Head,global
T1027,761,791,218,0.7828054298642534,0.7935779816513762,0.7881548974943052,173,48,45,0.59,Head,global
T1033,45,118,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,6,7,7,0.59,Medium,global
T1036,88,114,25,0.8947368421052632,0.68,0.7727272727272727,17,2,8,0.59,Medium,global
T1041,101,114,29,0.6071428571428571,0.5862068965517241,0.5964912280701754,17,11,12,0.59,Head,global
T1047,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.59,Medium,global
T1053,121,125,35,1.0,0.8,0.8888888888888888,28,0,7,0.59,Head,global
T1055,332,340,95,0.9090909090909091,0.8421052631578947,0.8743169398907104,80,8,15,0.59,Head,global
T1056,55,115,16,1.0,0.9375,0.967741935483871,15,0,1,0.59,Medium,global
T1057,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.59,Medium,global
T1059,325,363,93,0.7311827956989247,0.7311827956989247,0.7311827956989247,68,25,25,0.59,Head,global
T1068,11,114,3,0.4,0.6666666666666666,0.5,2,3,1,0.59,Tail,global
T1070,91,114,26,0.6538461538461539,0.6538461538461539,0.6538461538461539,17,9,9,0.59,Medium,global
T1071,178,184,51,0.8863636363636364,0.7647058823529411,0.8210526315789474,39,5,12,0.59,Head,global
T1072,13,114,4,0.5,0.25,0.3333333333333333,1,1,3,0.59,Tail,global
T1074,34,119,10,0.8333333333333334,0.5,0.625,5,1,5,0.59,Medium,global
T1078,194,217,56,0.8148148148148148,0.7857142857142857,0.8,44,10,12,0.59,Head,global
T1082,128,173,36,0.7931034482758621,0.6388888888888888,0.7076923076923077,23,6,13,0.59,Head,global
T1083,108,120,31,0.8620689655172413,0.8064516129032258,0.8333333333333334,25,4,6,0.59,Head,global
T1090,167,167,48,0.9111111111111111,0.8541666666666666,0.8817204301075269,41,4,7,0.59,Head,global
T1095,60,114,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.59,Medium,global
T1105,311,324,89,0.8170731707317073,0.7528089887640449,0.783625730994152,67,15,22,0.59,Head,global
T1106,222,244,64,0.7428571428571429,0.8125,0.7761194029850746,52,18,12,0.59,Head,global
T1110,63,116,18,0.9285714285714286,0.7222222222222222,0.8125,13,1,5,0.59,Medium,global
T1112,123,131,35,0.8571428571428571,0.8571428571428571,0.8571428571428571,30,5,5,0.59,Head,global
T1113,37,118,11,0.875,0.6363636363636364,0.7368421052631579,7,1,4,0.59,Medium,global
T1140,479,485,137,0.8920863309352518,0.9051094890510949,0.8985507246376812,124,15,13,0.59,Head,global
T1190,68,114,20,0.9285714285714286,0.65,0.7647058823529411,13,1,7,0.59,Medium,global
T1204,114,118,32,0.8275862068965517,0.75,0.7868852459016393,24,5,8,0.59,Head,global
T1210,17,114,5,0.5,0.6,0.5454545454545454,3,3,2,0.59,Tail,global
T1218,59,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.59,Medium,global
T1219,68,116,19,0.8095238095238095,0.8947368421052632,0.85,17,4,2,0.59,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.59,Medium,global
T1518,43,114,12,1.0,0.75,0.8571428571428571,9,0,3,0.59,Medium,global
T1543,58,117,17,0.8125,0.7647058823529411,0.7878787878787878,13,3,4,0.59,Medium,global
T1547,80,114,23,0.9473684210526315,0.782608695652174,0.8571428571428571,18,1,5,0.59,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.59,Medium,global
T1552,28,114,8,0.7,0.875,0.7777777777777778,7,3,1,0.59,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.59,Tail,global
T1562,108,126,31,0.8518518518518519,0.7419354838709677,0.7931034482758621,23,4,8,0.59,Head,global
T1564,21,117,6,1.0,0.5,0.6666666666666666,3,0,3,0.59,Medium,global
T1566,107,114,31,0.8928571428571429,0.8064516129032258,0.847457627118644,25,3,6,0.59,Head,global
T1569,26,115,8,0.6,0.375,0.46153846153846156,3,2,5,0.59,Medium,global
T1570,73,114,21,0.9285714285714286,0.6190476190476191,0.7428571428571429,13,1,8,0.59,Medium,global
T1573,72,115,21,0.9375,0.7142857142857143,0.8108108108108109,15,1,6,0.59,Medium,global
T1574,88,114,25,0.9230769230769231,0.96,0.9411764705882353,24,2,1,0.59,Medium,global
