Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.6666666666666666,0.18181818181818182,0.2857142857142857,2,1,9,0.5699999928474426,Medium,minority_f2
T1003,107,107,30,0.8421052631578947,0.5333333333333333,0.6530612244897959,16,3,14,0.5699999928474426,Head,minority_f2
T1005,78,78,22,0.6842105263157895,0.5909090909090909,0.6341463414634146,13,6,9,0.5699999928474426,Medium,minority_f2
T1006,3,48,1,0.2,1.0,0.3333333333333333,1,4,0,0.23000000417232513,Tail,minority_f2
T1007,34,48,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.5699999928474426,Medium,minority_f2
T1008,31,48,9,0.7,0.7777777777777778,0.7368421052631579,7,3,2,0.5699999928474426,Medium,minority_f2
T1010,17,48,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.23000000417232513,Tail,minority_f2
T1011,5,48,2,0.5,1.0,0.6666666666666666,2,2,0,0.23000000417232513,Tail,minority_f2
T1012,59,59,17,0.7222222222222222,0.7647058823529411,0.7428571428571429,13,5,4,0.5699999928474426,Medium,minority_f2
T1014,19,48,5,0.4,0.8,0.5333333333333333,4,6,1,0.23000000417232513,Tail,minority_f2
T1016,136,136,39,0.7692307692307693,0.7692307692307693,0.7692307692307693,30,9,9,0.5699999928474426,Head,minority_f2
T1018,40,48,12,0.5384615384615384,0.5833333333333334,0.56,7,6,5,0.5699999928474426,Medium,minority_f2
T1020,18,48,5,0.11764705882352941,0.4,0.18181818181818182,2,15,3,0.23000000417232513,Tail,minority_f2
T1021,105,105,30,0.7142857142857143,0.6666666666666666,0.6896551724137931,20,8,10,0.5699999928474426,Head,minority_f2
T1025,18,48,5,0.25,0.8,0.38095238095238093,4,12,1,0.23000000417232513,Tail,minority_f2
T1027,344,344,98,0.7876106194690266,0.9081632653061225,0.8436018957345972,89,24,9,0.5699999928474426,Head,minority_f2
T1029,12,48,4,0.375,0.75,0.5,3,5,1,0.23000000417232513,Tail,minority_f2
T1030,9,48,3,0.4,0.6666666666666666,0.5,2,3,1,0.23000000417232513,Tail,minority_f2
T1033,108,108,31,0.7368421052631579,0.9032258064516129,0.8115942028985508,28,10,3,0.5699999928474426,Head,minority_f2
T1036,192,192,55,0.9743589743589743,0.6909090909090909,0.8085106382978723,38,1,17,0.5699999928474426,Head,minority_f2
T1037,32,48,9,1.0,1.0,1.0,9,0,0,0.5699999928474426,Medium,minority_f2
T1039,10,48,3,0.05263157894736842,0.6666666666666666,0.0975609756097561,2,36,1,0.23000000417232513,Tail,minority_f2
T1040,12,48,4,0.16666666666666666,0.75,0.2727272727272727,3,15,1,0.23000000417232513,Tail,minority_f2
T1041,64,64,18,0.6190476190476191,0.7222222222222222,0.6666666666666666,13,8,5,0.5699999928474426,Medium,minority_f2
T1046,31,48,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,0.5699999928474426,Medium,minority_f2
T1047,59,59,17,0.8333333333333334,0.8823529411764706,0.8571428571428571,15,3,2,0.5699999928474426,Medium,minority_f2
T1048,37,48,11,0.5,0.5454545454545454,0.5217391304347826,6,6,5,0.5699999928474426,Medium,minority_f2
T1049,51,51,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.5699999928474426,Medium,minority_f2
T1052,10,48,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,5,2,0.23000000417232513,Tail,minority_f2
T1053,121,121,35,0.7894736842105263,0.8571428571428571,0.821917808219178,30,8,5,0.5699999928474426,Head,minority_f2
T1055,170,170,49,0.8444444444444444,0.7755102040816326,0.8085106382978723,38,7,11,0.5699999928474426,Head,minority_f2
T1056,100,100,29,0.8333333333333334,0.8620689655172413,0.847457627118644,25,5,4,0.5699999928474426,Head,minority_f2
T1057,144,144,41,0.9230769230769231,0.8780487804878049,0.9,36,3,5,0.5699999928474426,Head,minority_f2
T1059,481,481,138,0.8872180451127819,0.855072463768116,0.8708487084870848,118,15,20,0.5699999928474426,Head,minority_f2
T1068,26,48,7,0.6666666666666666,0.2857142857142857,0.4,2,1,5,0.5699999928474426,Medium,minority_f2
T1069,45,48,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,3,3,0.5699999928474426,Medium,minority_f2
T1070,238,238,68,0.8591549295774648,0.8970588235294118,0.8776978417266187,61,10,7,0.5699999928474426,Head,minority_f2
T1071,255,255,73,0.8292682926829268,0.9315068493150684,0.8774193548387097,68,14,5,0.5699999928474426,Head,minority_f2
T1072,7,48,2,0.0,0.0,0.0,0,8,2,0.23000000417232513,Tail,minority_f2
T1074,68,68,20,0.75,0.6,0.6666666666666666,12,4,8,0.5699999928474426,Medium,minority_f2
T1078,63,63,18,0.625,0.5555555555555556,0.5882352941176471,10,6,8,0.5699999928474426,Medium,minority_f2
T1080,16,48,4,0.23529411764705882,1.0,0.38095238095238093,4,13,0,0.23000000417232513,Tail,minority_f2
T1082,205,205,59,0.9019607843137255,0.7796610169491526,0.8363636363636363,46,5,13,0.5699999928474426,Head,minority_f2
T1083,178,178,51,0.6666666666666666,0.7450980392156863,0.7037037037037037,38,19,13,0.5699999928474426,Head,minority_f2
T1087,66,66,19,0.7857142857142857,0.5789473684210527,0.6666666666666666,11,3,8,0.5699999928474426,Medium,minority_f2
T1090,87,87,25,0.8888888888888888,0.64,0.7441860465116279,16,2,9,0.5699999928474426,Medium,minority_f2
T1091,17,48,5,0.42857142857142855,0.6,0.5,3,4,2,0.23000000417232513,Tail,minority_f2
T1092,4,48,1,0.0,0.0,0.0,0,3,1,0.23000000417232513,Tail,minority_f2
T1095,38,48,11,0.7777777777777778,0.6363636363636364,0.7,7,2,4,0.5699999928474426,Medium,minority_f2
T1098,33,48,10,1.0,0.3,0.46153846153846156,3,0,7,0.5699999928474426,Medium,minority_f2
T1102,71,71,20,0.6842105263157895,0.65,0.6666666666666666,13,6,7,0.5699999928474426,Medium,minority_f2
T1104,12,48,3,0.05,0.3333333333333333,0.08695652173913043,1,19,2,0.23000000417232513,Tail,minority_f2
T1105,236,236,67,0.8923076923076924,0.8656716417910447,0.8787878787878788,58,7,9,0.5699999928474426,Head,minority_f2
T1106,81,81,23,0.7647058823529411,0.5652173913043478,0.65,13,4,10,0.5699999928474426,Medium,minority_f2
T1110,49,49,14,0.6875,0.7857142857142857,0.7333333333333333,11,5,3,0.5699999928474426,Medium,minority_f2
T1111,9,48,3,0.18181818181818182,0.6666666666666666,0.2857142857142857,2,9,1,0.23000000417232513,Tail,minority_f2
T1112,80,80,23,0.75,0.782608695652174,0.7659574468085106,18,6,5,0.5699999928474426,Medium,minority_f2
T1113,80,80,23,0.88,0.9565217391304348,0.9166666666666666,22,3,1,0.5699999928474426,Medium,minority_f2
T1114,36,48,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.5699999928474426,Medium,minority_f2
T1115,22,48,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.5699999928474426,Medium,minority_f2
T1119,33,48,10,0.16666666666666666,0.1,0.125,1,5,9,0.5699999928474426,Medium,minority_f2
T1120,31,48,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4,0.5699999928474426,Medium,minority_f2
T1123,19,48,5,0.5555555555555556,1.0,0.7142857142857143,5,4,0,0.23000000417232513,Tail,minority_f2
T1124,45,48,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.5699999928474426,Medium,minority_f2
