minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.56,0.032657785245449454,0.8875,0.07861725557789907,0.7763593380614657,0.14277640102604233,0.44768309481792906,0.7485693799300284,0.39883611014146514,0.05146106946735431
0.06,0.56,0.05085634879048839,0.8625,0.11917399840034902,0.7749408983451537,0.2065792790521805,0.44938432429674524,0.737931082057688,0.4021577662212328,0.0328597080993047
0.07,0.56,0.07574669464861924,0.8375,0.17262469682589898,0.7739952718676123,0.2822900500086222,0.4518421337572694,0.7272927841853475,0.40688723200430194,0.021725513123003363
0.08,0.56,0.10853312023375905,0.81875,0.23477886272257323,0.7730496453900709,0.36017182509086904,0.4553419283355293,0.7193140607810922,0.4134781721480455,0.015161401457415489
0.09,0.56,0.13923590446407724,0.76875,0.300886590321389,0.7702127659574468,0.43272678974631423,0.4590386556675368,0.6980374650364113,0.42021122004202754,0.011147244900089783
0.1,0.56,0.17940429912318095,0.75,0.3678498756500113,0.7692671394799054,0.4977057204037932,0.46445358561595723,0.690058741632156,0.42972580137250643,0.008571189944250726
0.11,0.56,0.22342374614098262,0.725,0.4323748668796592,0.7678486997635934,0.5532277295179697,0.47131474775702287,0.6794204437598156,0.44125239081948986,0.006845990019418287
0.12,0.56,0.27277674485134035,0.71875,0.4878268710550045,0.7673758865248227,0.5964718853362734,0.48192653714866335,0.6767608692917305,0.45686167959327223,0.0057315265278850775
0.13,0.56,0.31265444644706963,0.71875,0.5386657816130103,0.7673758865248227,0.6329953198127926,0.48946867846898917,0.6767608692917305,0.46868361641741907,0.004911991313970726
0.14,0.56,0.350461982414099,0.7125,0.5749734136830911,0.766903073286052,0.6572123176661264,0.4994159666523926,0.6741012948236453,0.48245867122329444,0.004416094210009814
0.15,0.56,0.3621922204421703,0.6645833333333333,0.6099585062240664,0.7645390070921986,0.6785564414603441,0.5056915544924411,0.6537112239016595,0.4898015850958057,0.0039984966487795716
0.16,0.56,0.3775169669868969,0.6270833333333333,0.6365430149960537,0.7626477541371158,0.693912669391267,0.5173090755746771,0.6377537770931488,0.5008851201883093,0.0037140083101914684
0.17,0.56,0.4001850522145576,0.6208333333333333,0.6566191446028513,0.7621749408983451,0.7054704595185995,0.5322711849782757,0.6350942026250638,0.5141837809319785,0.0035130394838494144
0.18,0.56,0.4173626938748212,0.6145833333333333,0.6777450567942785,0.7617021276595745,0.7172751558325913,0.5412387098570961,0.6324346281569787,0.5228516032875629,0.0033146806422650493
0.19,0.56,0.42901464197323735,0.6020833333333333,0.6924731182795699,0.7612293144208038,0.7252252252252253,0.549880008678966,0.6271154792208085,0.5308942934579125,0.0031841814043805984
0.2,0.56,0.44368922081611906,0.6020833333333333,0.7027498908773462,0.7612293144208038,0.7308216068996822,0.5590810017607146,0.6271154792208085,0.539138900505711,0.003095441922619172
0.21,0.56,0.4530584071823429,0.5875,0.7164511814534106,0.7598108747044917,0.7374942634235888,0.567406941743413,0.6209098054619433,0.54652064232112,0.002985822562796233
0.22,0.56,0.4358474893914136,0.55,0.726984126984127,0.757919621749409,0.7421296296296296,0.5656962410965422,0.6049523586534327,0.543048126622384,0.002907523020065563
0.23,0.56,0.44297370940463043,0.54375,0.7341888175985335,0.7574468085106383,0.7456364905748196,0.5739345896274439,0.6022927841853475,0.5492012229350548,0.0028527133401540935
0.24,0.56,0.4340752202841019,0.5270833333333333,0.7402777777777778,0.7560283687943262,0.7480701754385964,0.574346190437981,0.5952005856037872,0.5475356308439308,0.0028109535840310693
0.25,0.56,0.44304036665733654,0.5270833333333333,0.7458022388059702,0.7560283687943262,0.7508804883775534,0.5820167409276803,0.5952005856037872,0.5535432756813629,0.002769193827908045
0.26,0.56,0.44853083207427247,0.5270833333333333,0.7517630465444288,0.7560283687943262,0.7538896746817539,0.5863987064798586,0.5952005856037872,0.5570851534253681,0.0027248240870273318
0.27,0.56,0.45207762358255776,0.5229166666666666,0.7562707051585423,0.7555555555555555,0.7559129612109745,0.5924449356643856,0.593427535958397,0.5610370968719924,0.0026935042699350637
0.28,0.56,0.43771524984518406,0.5041666666666667,0.76,0.7546099290780142,0.7572953736654804,0.5932491403249733,0.5854488125541417,0.5571026152779364,0.0026700144071158624
0.29,0.56,0.41360510001909,0.4625,0.7644230769230769,0.75177304964539,0.7580452920143027,0.5967319164141324,0.567718316100241,0.5532356784322762,0.0026491345290543503
0.3,0.56,0.4110087699851002,0.45,0.7680038666022233,0.7513002364066194,0.7595602294455067,0.6004875579357313,0.5623991671640708,0.5550087280776662,0.002625644666235149
0.31,0.56,0.4012571538476144,0.4375,0.7704997573993208,0.7508274231678487,0.7605363984674329,0.5969978738609409,0.5570800182279007,0.5513973571790614,0.002609984757689015
0.32,0.56,0.40305964567767977,0.4375,0.7719980554205154,0.7508274231678487,0.7612655800575263,0.5992141859176785,0.5570800182279007,0.5528960062840934,0.002599544818658259
0.33,0.56,0.40305964567767977,0.4375,0.7727493917274939,0.7508274231678487,0.761630695443645,0.5992141859176785,0.5570800182279007,0.5528960062840934,0.002594324849142881
0.34,0.56,0.4006639602227837,0.43125,0.7752808988764045,0.750354609929078,0.762614127823162,0.6028742669713766,0.5544204437598155,0.5534551988645626,0.002578664940596747
0.35,0.56,0.39858062688945045,0.4270833333333333,0.7770700636942676,0.7498817966903073,0.7632338787295476,0.6037607917940716,0.5526473941144254,0.5534551988645625,0.0025682250015659908
0.36,0.56,0.398010190381514,0.4229166666666666,0.7784872298624754,0.7494089834515366,0.763671404480848,0.6090799407302419,0.5508743444690354,0.5552029192293042,0.002560395047292924
0.37,0.56,0.3984566189529425,0.4229166666666666,0.7788697788697788,0.7494089834515366,0.763855421686747,0.6093015719359155,0.5508743444690354,0.5554446987264029,0.0025577850625352347
0.38,0.56,0.39228125568102346,0.4125,0.7794190054160512,0.7484633569739952,0.7636275928605886,0.609447215299644,0.5464417203555602,0.5543163944066093,0.0025577850625352347
0.39,0.56,0.3882363422611101,0.40625,0.7808489634748272,0.7479905437352246,0.7640666505674958,0.6090039528882965,0.5437821458874751,0.5532272353387268,0.002549955108262168
0.4,0.56,0.3839135714861334,0.39999999999999997,0.7826732673267327,0.7475177304964539,0.7646916565900846,0.6059897684911334,0.54112257141939,0.5515175088949577,0.002539515169231412
0.41,0.56,0.3800445238670858,0.3958333333333333,0.7825656265477959,0.7470449172576832,0.764392839864538,0.6051032436684384,0.539349521774,0.5500990691786457,0.0025421251539891007
0.42,0.56,0.3782784107232637,0.3916666666666666,0.7836228287841192,0.7465721040189125,0.7646489104116223,0.6064203662621567,0.5375764721286099,0.5503650266254542,0.0025369051844737226
0.43,0.56,0.3785081901350284,0.3916666666666666,0.7840119165839126,0.7465721040189125,0.7648341002664083,0.6066863237089652,0.5375764721286099,0.5505549962303175,0.002534295199716034
0.44,0.56,0.3739087862709186,0.38541666666666663,0.7850746268656716,0.7460992907801418,0.765090909090909,0.6098778130706674,0.5349168976605247,0.549757123889892,0.002529075230200656
0.45,0.56,0.3739087862709186,0.38541666666666663,0.7858565737051793,0.7460992907801418,0.7654620422022799,0.6098778130706674,0.5349168976605247,0.549757123889892,0.002523855260685278
0.46,0.56,0.3743822711194035,0.38541666666666663,0.7866400797607178,0.7460992907801418,0.7658335355496239,0.610321075482015,0.5349168976605247,0.5501117338189699,0.0025186352911698994
0.47,0.56,0.3624775092146416,0.3729166666666666,0.7869261477045908,0.7456264775413711,0.7657198349113863,0.6067749761912348,0.5295977487243546,0.5455018047409557,0.0025186352911698994
0.48,0.56,0.36374013547726786,0.3729166666666666,0.7877122877122877,0.7456264775413711,0.7660918144279816,0.610321075482015,0.5295977487243546,0.5469202444572678,0.0025134153216545213
0.49,0.56,0.36340783909717733,0.36874999999999997,0.7883941970985493,0.7451536643026004,0.766164316966456,0.6129806499500999,0.5278246990789645,0.5482500316913103,0.0025108053368968325
0.5,0.56,0.35854672798606624,0.36249999999999993,0.7894736842105263,0.7446808510638298,0.7664233576642335,0.6156402244181851,0.5251651246108794,0.5473635068686152,0.0025055853673814545
0.51,0.56,0.34699369768303595,0.35,0.7901606425702812,0.7442080378250591,0.7664962259556855,0.6112076003047099,0.5198459756747091,0.542753577790601,0.0025029753826237653
0.52,0.56,0.34699369768303595,0.35,0.790557508789553,0.7442080378250591,0.76668290306868,0.6112076003047099,0.5198459756747091,0.542753577790601,0.0025003653978660765
0.53,0.56,0.3421860053753436,0.3458333333333333,0.7908496732026143,0.7437352245862884,0.7665692007797271,0.6058884513685397,0.5180729260293191,0.5400940033225159,0.0025003653978660765
0.54,0.56,0.3398247483725425,0.3416666666666667,0.7915407854984894,0.7432624113475177,0.7666422823701536,0.6075728485316603,0.5162998763839289,0.5401066679628402,0.0024977554131083873
0.55,0.56,0.3294080817058759,0.32916666666666666,0.7918346774193549,0.742789598108747,0.7665284215662357,0.6049132740635752,0.5109807274477588,0.53656056867206,0.0024977554131083873
0.56,0.56,0.32975148829928247,0.32916666666666666,0.7926337033299697,0.742789598108747,0.7669026116670735,0.6075728485316603,0.5109807274477588,0.5370924835656772,0.0024925354435930093
0.57,0.56,0.322807043854838,0.32291666666666663,0.7925290257445734,0.7423167848699763,0.7666015625,0.60225369959549,0.5083211529796736,0.5335463842748969,0.0024951454283506985
0.58,0.56,0.322807043854838,0.32291666666666663,0.7925290257445734,0.7423167848699763,0.7666015625,0.60225369959549,0.5083211529796736,0.5335463842748969,0.0024951454283506985
0.59,0.56,0.312385270979021,0.3104166666666667,0.7931208902377339,0.741371158392435,0.7663734115347018,0.6030515719359156,0.5030020040435035,0.5305701937987065,0.0024951454283506985
0.6,0.56,0.31435699716949717,0.3104166666666667,0.7943262411347518,0.741371158392435,0.7669356810956224,0.6079274584607383,0.5030020040435035,0.5327485119344714,0.0024873154740776312
0.61,0.56,0.30681280525030524,0.3,0.7949238578680203,0.7404255319148936,0.7667074663402693,0.6097005081061284,0.4985693799300283,0.5312794136568625,0.0024873154740776312
0.62,0.56,0.2948336385836386,0.2875,0.7956278596847992,0.7399527186761229,0.766780989710926,0.6052678839926532,0.49325023099385806,0.5264668503336609,0.0024847054893199425
0.63,0.56,0.2948336385836386,0.2875,0.7960325534079349,0.7399527186761229,0.7669688801764274,0.6052678839926532,0.49325023099385806,0.5264668503336609,0.0024820955045622532
0.64,0.56,0.295528083028083,0.2875,0.7964376590330788,0.7399527186761229,0.7671568627450981,0.6079274584607383,0.49325023099385806,0.5273533751563558,0.0024794855198045644
0.65,0.56,0.28997252747252744,0.28125,0.7971457696228338,0.7394799054373522,0.7672308069659063,0.6079274584607383,0.490590656525773,0.5255803255109658,0.002476875535046875
0.66,0.56,0.283028083028083,0.275,0.7970423253442122,0.7390070921985815,0.7669283611383709,0.602608309524568,0.48793108205768787,0.5220342262201857,0.0024794855198045644
0.67,0.56,0.27261141636141634,0.2625,0.797752808988764,0.7385342789598108,0.7670022096734593,0.5999487350564829,0.4826119331215176,0.5184881269294056,0.002476875535046875
0.68,0.56,0.2531669719169719,0.24375,0.7975460122699386,0.7375886524822695,0.7663964627855564,0.5893104371841426,0.4746332097172623,0.5096228787024552,0.0024820955045622532
0.69,0.56,0.2358592796092796,0.2270833333333333,0.797338792221085,0.7366430260047281,0.7657901204227083,0.5786721393118021,0.46754101113570207,0.5016441552981998,0.0024873154740776312
0.7,0.56,0.2233592796092796,0.2145833333333333,0.7972350230414746,0.7361702127659574,0.7654867256637168,0.5733529903756319,0.4622218621995319,0.49632500636202964,0.0024899254588353205
0.71,0.56,0.2233592796092796,0.2145833333333333,0.7972350230414746,0.7361702127659574,0.7654867256637168,0.5733529903756319,0.4622218621995319,0.49632500636202964,0.0024899254588353205
0.72,0.56,0.21641483516483517,0.20833333333333331,0.7979487179487179,0.7356973995271867,0.7655596555965559,0.5680338414394617,0.45956228773144675,0.4927789070712495,0.0024873154740776312
0.73,0.56,0.21641483516483517,0.20833333333333331,0.7983581323755772,0.7356973995271867,0.765748031496063,0.5680338414394617,0.45956228773144675,0.4927789070712495,0.0024847054893199425
0.74,0.56,0.21298840048840048,0.20416666666666666,0.7986646122239343,0.735224586288416,0.7656326932545544,0.5706934159075467,0.45778923808605665,0.4920696872130935,0.0024847054893199425
0.75,0.56,0.21298840048840048,0.20416666666666666,0.7986646122239343,0.735224586288416,0.7656326932545544,0.5706934159075467,0.45778923808605665,0.4920696872130935,0.0024847054893199425
0.76,0.56,0.2004884004884005,0.19166666666666665,0.7985611510791367,0.7347517730496453,0.7653287367643438,0.5653742669713766,0.4524700891498864,0.4867505382769233,0.0024873154740776312
0.77,0.56,0.19081196581196583,0.18125,0.7983539094650206,0.733806146572104,0.764720374476472,0.5653742669713766,0.4480374650364113,0.4833817439506821,0.0024925354435930093
0.78,0.56,0.18694291819291822,0.17708333333333331,0.7982501286670097,0.7333333333333333,0.7644159684573681,0.5644877421486815,0.44626441539102124,0.48196330423437006,0.0024951454283506985
0.79,0.56,0.18753815628815632,0.17708333333333331,0.7990726429675425,0.7333333333333333,0.764792899408284,0.5662607917940715,0.44626441539102124,0.48267252409252603,0.0024899254588353205
0.8,0.56,0.18753815628815632,0.17708333333333331,0.7990726429675425,0.7333333333333333,0.764792899408284,0.5662607917940715,0.44626441539102124,0.48267252409252603,0.0024899254588353205
0.81,0.56,0.18753815628815632,0.17708333333333331,0.7990726429675425,0.7333333333333333,0.764792899408284,0.5662607917940715,0.44626441539102124,0.48267252409252603,0.0024899254588353205
0.82,0.56,0.18059371184371184,0.1708333333333333,0.7993811242908716,0.7328605200945626,0.7646768623581648,0.5609416428579014,0.4436048409229361,0.47912642480174594,0.0024899254588353205
0.83,0.56,0.18059371184371184,0.1708333333333333,0.7993811242908716,0.7328605200945626,0.7646768623581648,0.5609416428579014,0.4436048409229361,0.47912642480174594,0.0024899254588353205
0.84,0.56,0.18059371184371184,0.1708333333333333,0.7993811242908716,0.7328605200945626,0.7646768623581648,0.5609416428579014,0.4436048409229361,0.47912642480174594,0.0024899254588353205
0.85,0.56,0.16670482295482297,0.1583333333333333,0.799173980382034,0.7319148936170212,0.7640671273445212,0.5503033449855609,0.4382856919867659,0.47203422622018565,0.0024951454283506985
0.86,0.56,0.1556394993894994,0.14791666666666664,0.7989664082687339,0.7309692671394799,0.7634567901234568,0.5449841960493907,0.4338530678732907,0.4668923822485544,0.0025003653978660765
0.87,0.56,0.14309371184371183,0.13541666666666666,0.7990678404971517,0.7295508274231679,0.7627286208601087,0.5378919974678305,0.42853391893712045,0.4613959283478452,0.0025055853673814545
0.88,0.56,0.121268315018315,0.1125,0.7987551867219918,0.7281323877068558,0.7618105367301509,0.5272536995954901,0.4187821458874751,0.4521760701918169,0.0025134153216545213
0.89,0.56,0.10663156288156288,0.09791666666666668,0.7992719708788352,0.7267139479905438,0.7612679544328875,0.5219345506593198,0.4125764721286098,0.4459703964329516,0.0025160253064122106
0.9,0.56,0.09487942612942613,0.0875,0.7990629880270692,0.7257683215130024,0.7606541129831517,0.5112962527869793,0.40814384801513465,0.43976472267408634,0.0025212452759275886
0.91,0.56,0.08347069597069598,0.07708333333333332,0.7992700729927007,0.724822695035461,0.7602281180262832,0.503317529382724,0.40371122390165953,0.43409096380883816,0.002523855260685278
