Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.5600000023841858,Medium,minority_f2
T1003,237,237,68,0.8688524590163934,0.7794117647058824,0.8217054263565892,53,8,15,0.5600000023841858,Head,minority_f2
T1005,156,156,44,0.7045454545454546,0.7045454545454546,0.7045454545454546,31,13,13,0.5600000023841858,Head,minority_f2
T1006,3,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.20999999344348907,Tail,minority_f2
T1007,34,78,10,0.6363636363636364,0.7,0.6666666666666666,7,4,3,0.5600000023841858,Medium,minority_f2
T1008,31,78,9,1.0,0.3333333333333333,0.5,3,0,6,0.5600000023841858,Medium,minority_f2
T1010,17,78,5,0.45454545454545453,1.0,0.625,5,6,0,0.20999999344348907,Tail,minority_f2
T1011,5,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.20999999344348907,Tail,minority_f2
T1012,88,88,25,0.8095238095238095,0.68,0.7391304347826086,17,4,8,0.5600000023841858,Medium,minority_f2
T1014,19,78,5,0.3125,1.0,0.47619047619047616,5,11,0,0.20999999344348907,Tail,minority_f2
T1016,182,182,52,0.84,0.8076923076923077,0.8235294117647058,42,8,10,0.5600000023841858,Head,minority_f2
T1018,40,78,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,7,2,5,0.5600000023841858,Medium,minority_f2
T1020,18,78,5,0.2727272727272727,0.6,0.375,3,8,2,0.20999999344348907,Tail,minority_f2
T1021,226,226,64,0.734375,0.734375,0.734375,47,17,17,0.5600000023841858,Head,minority_f2
T1025,18,78,5,0.11764705882352941,0.4,0.18181818181818182,2,15,3,0.20999999344348907,Tail,minority_f2
T1027,1105,1110,316,0.7267605633802817,0.8164556962025317,0.7690014903129657,258,97,58,0.5600000023841858,Head,minority_f2
T1029,12,78,4,0.21428571428571427,0.75,0.3333333333333333,3,11,1,0.20999999344348907,Tail,minority_f2
T1030,9,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.20999999344348907,Tail,minority_f2
T1033,153,153,44,0.8604651162790697,0.8409090909090909,0.8505747126436781,37,6,7,0.5600000023841858,Head,minority_f2
T1036,280,280,80,0.8026315789473685,0.7625,0.782051282051282,61,15,19,0.5600000023841858,Head,minority_f2
T1037,32,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.5600000023841858,Medium,minority_f2
T1039,10,78,3,0.2,1.0,0.3333333333333333,3,12,0,0.20999999344348907,Tail,minority_f2
T1040,12,78,4,0.2857142857142857,0.5,0.36363636363636365,2,5,2,0.20999999344348907,Tail,minority_f2
T1041,165,165,47,0.6326530612244898,0.6595744680851063,0.6458333333333334,31,18,16,0.5600000023841858,Head,minority_f2
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.5600000023841858,Medium,minority_f2
T1047,142,142,40,0.8085106382978723,0.95,0.8735632183908046,38,9,2,0.5600000023841858,Head,minority_f2
T1048,37,78,11,0.5,0.36363636363636365,0.42105263157894735,4,4,7,0.5600000023841858,Medium,minority_f2
T1049,51,78,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.5600000023841858,Medium,minority_f2
T1052,10,78,3,0.125,0.3333333333333333,0.18181818181818182,1,7,2,0.20999999344348907,Tail,minority_f2
T1053,242,243,69,0.9552238805970149,0.927536231884058,0.9411764705882353,64,3,5,0.5600000023841858,Head,minority_f2
T1055,502,502,143,0.9044117647058824,0.8601398601398601,0.8817204301075269,123,13,20,0.5600000023841858,Head,minority_f2
T1056,156,156,44,0.8888888888888888,0.9090909090909091,0.898876404494382,40,5,4,0.5600000023841858,Head,minority_f2
T1057,227,227,65,0.8412698412698413,0.8153846153846154,0.828125,53,10,12,0.5600000023841858,Head,minority_f2
T1059,807,808,231,0.8425925925925926,0.7878787878787878,0.814317673378076,182,34,49,0.5600000023841858,Head,minority_f2
T1068,37,78,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.5600000023841858,Medium,minority_f2
T1069,45,78,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.5600000023841858,Medium,minority_f2
T1070,329,329,94,0.8604651162790697,0.7872340425531915,0.8222222222222222,74,12,20,0.5600000023841858,Head,minority_f2
T1071,432,432,124,0.9065420560747663,0.782258064516129,0.8398268398268398,97,10,27,0.5600000023841858,Head,minority_f2
T1072,20,78,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.5600000023841858,Medium,minority_f2
T1074,103,103,29,0.782608695652174,0.6206896551724138,0.6923076923076923,18,5,11,0.5600000023841858,Head,minority_f2
T1078,257,263,74,0.8,0.7567567567567568,0.7777777777777778,56,14,18,0.5600000023841858,Head,minority_f2
T1080,16,78,4,0.09523809523809523,0.5,0.16,2,19,2,0.20999999344348907,Tail,minority_f2
T1082,332,332,95,0.78,0.8210526315789474,0.8,78,22,17,0.5600000023841858,Head,minority_f2
T1083,287,287,82,0.7857142857142857,0.8048780487804879,0.7951807228915663,66,18,16,0.5600000023841858,Head,minority_f2
T1087,66,78,19,0.6666666666666666,0.631578947368421,0.6486486486486487,12,6,7,0.5600000023841858,Medium,minority_f2
T1090,254,254,73,0.8611111111111112,0.8493150684931506,0.8551724137931035,62,10,11,0.5600000023841858,Head,minority_f2
T1091,17,78,5,0.4,0.8,0.5333333333333333,4,6,1,0.20999999344348907,Tail,minority_f2
T1092,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.20999999344348907,Tail,minority_f2
T1095,98,98,28,0.6875,0.7857142857142857,0.7333333333333333,22,10,6,0.5600000023841858,Medium,minority_f2
T1098,33,78,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.5600000023841858,Medium,minority_f2
T1102,71,78,20,0.7058823529411765,0.6,0.6486486486486487,12,5,8,0.5600000023841858,Medium,minority_f2
T1104,12,78,3,0.125,0.3333333333333333,0.18181818181818182,1,7,2,0.20999999344348907,Tail,minority_f2
