Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.5400000214576721,Head,minority_f2
T1005,78,115,22,0.5833333333333334,0.6363636363636364,0.6086956521739131,14,10,8,0.5400000214576721,Medium,minority_f2
T1012,29,116,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.5400000214576721,Medium,minority_f2
T1016,46,115,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.5400000214576721,Medium,minority_f2
T1021,121,128,34,0.8857142857142857,0.9117647058823529,0.8985507246376812,31,4,3,0.5400000214576721,Head,minority_f2
T1027,761,791,218,0.8235294117647058,0.7706422018348624,0.7962085308056872,168,36,50,0.5400000214576721,Head,minority_f2
T1033,45,118,13,0.47058823529411764,0.6153846153846154,0.5333333333333333,8,9,5,0.5400000214576721,Medium,minority_f2
T1036,88,114,25,0.75,0.84,0.7924528301886793,21,7,4,0.5400000214576721,Medium,minority_f2
T1041,101,114,29,0.6,0.6206896551724138,0.6101694915254238,18,12,11,0.5400000214576721,Head,minority_f2
T1047,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.5400000214576721,Medium,minority_f2
T1053,121,125,35,0.9333333333333333,0.8,0.8615384615384616,28,2,7,0.5400000214576721,Head,minority_f2
T1055,332,340,95,0.9090909090909091,0.8421052631578947,0.8743169398907104,80,8,15,0.5400000214576721,Head,minority_f2
T1056,55,115,16,1.0,0.9375,0.967741935483871,15,0,1,0.5400000214576721,Medium,minority_f2
T1057,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.5400000214576721,Medium,minority_f2
T1059,325,363,93,0.717391304347826,0.7096774193548387,0.7135135135135136,66,26,27,0.5400000214576721,Head,minority_f2
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.5400000214576721,Tail,minority_f2
T1070,91,114,26,0.6060606060606061,0.7692307692307693,0.6779661016949152,20,13,6,0.5400000214576721,Medium,minority_f2
T1071,178,184,51,0.8627450980392157,0.8627450980392157,0.8627450980392157,44,7,7,0.5400000214576721,Head,minority_f2
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.5400000214576721,Tail,minority_f2
T1074,34,119,10,0.8571428571428571,0.6,0.7058823529411765,6,1,4,0.5400000214576721,Medium,minority_f2
T1078,194,217,56,0.7636363636363637,0.75,0.7567567567567568,42,13,14,0.5400000214576721,Head,minority_f2
T1082,128,173,36,0.7352941176470589,0.6944444444444444,0.7142857142857143,25,9,11,0.5400000214576721,Head,minority_f2
T1083,108,120,31,0.7714285714285715,0.8709677419354839,0.8181818181818182,27,8,4,0.5400000214576721,Head,minority_f2
T1090,167,167,48,0.9148936170212766,0.8958333333333334,0.9052631578947369,43,4,5,0.5400000214576721,Head,minority_f2
T1095,60,114,17,1.0,0.8235294117647058,0.9032258064516129,14,0,3,0.5400000214576721,Medium,minority_f2
T1105,311,324,89,0.8214285714285714,0.7752808988764045,0.7976878612716763,69,15,20,0.5400000214576721,Head,minority_f2
T1106,222,244,64,0.6962025316455697,0.859375,0.7692307692307693,55,24,9,0.5400000214576721,Head,minority_f2
T1110,63,116,18,0.8823529411764706,0.8333333333333334,0.8571428571428571,15,2,3,0.5400000214576721,Medium,minority_f2
T1112,123,131,35,0.9310344827586207,0.7714285714285715,0.84375,27,2,8,0.5400000214576721,Head,minority_f2
T1113,37,118,11,0.8888888888888888,0.7272727272727273,0.8,8,1,3,0.5400000214576721,Medium,minority_f2
T1140,479,485,137,0.8819444444444444,0.927007299270073,0.9039145907473309,127,17,10,0.5400000214576721,Head,minority_f2
T1190,68,114,20,0.8421052631578947,0.8,0.8205128205128205,16,3,4,0.5400000214576721,Medium,minority_f2
T1204,114,118,32,0.8620689655172413,0.78125,0.819672131147541,25,4,7,0.5400000214576721,Head,minority_f2
T1210,17,114,5,0.5,0.6,0.5454545454545454,3,3,2,0.5400000214576721,Tail,minority_f2
T1218,59,114,17,0.7894736842105263,0.8823529411764706,0.8333333333333334,15,4,2,0.5400000214576721,Medium,minority_f2
T1219,68,116,19,0.8888888888888888,0.8421052631578947,0.8648648648648649,16,2,3,0.5400000214576721,Medium,minority_f2
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.5400000214576721,Medium,minority_f2
