Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.59,Medium,global
T1003,237,237,68,0.8421052631578947,0.7058823529411765,0.768,48,9,20,0.59,Head,global
T1005,156,156,44,0.7317073170731707,0.6818181818181818,0.7058823529411765,30,11,14,0.59,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.59,Tail,global
T1007,34,78,10,0.7272727272727273,0.8,0.7619047619047619,8,3,2,0.59,Medium,global
T1008,31,78,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.59,Medium,global
T1010,17,78,5,1.0,0.8,0.8888888888888888,4,0,1,0.59,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.59,Tail,global
T1012,88,88,25,0.7037037037037037,0.76,0.7307692307692307,19,8,6,0.59,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.59,Tail,global
T1016,182,182,52,0.7959183673469388,0.75,0.7722772277227723,39,10,13,0.59,Head,global
T1018,40,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.59,Medium,global
T1020,18,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.59,Tail,global
T1021,226,226,64,0.7833333333333333,0.734375,0.7580645161290323,47,13,17,0.59,Head,global
T1025,18,78,5,0.5,0.4,0.4444444444444444,2,2,3,0.59,Tail,global
T1027,1105,1110,316,0.7973421926910299,0.759493670886076,0.7779578606158833,240,61,76,0.59,Head,global
T1029,12,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.59,Tail,global
T1030,9,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.59,Tail,global
T1033,153,153,44,0.7872340425531915,0.8409090909090909,0.8131868131868132,37,10,7,0.59,Head,global
T1036,280,280,80,0.775,0.775,0.775,62,18,18,0.59,Head,global
T1037,32,78,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,0.59,Medium,global
T1039,10,78,3,0.4,0.6666666666666666,0.5,2,3,1,0.59,Tail,global
T1040,12,78,4,1.0,0.25,0.4,1,0,3,0.59,Tail,global
T1041,165,165,47,0.6744186046511628,0.6170212765957447,0.6444444444444445,29,14,18,0.59,Head,global
T1046,31,78,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.59,Medium,global
T1047,142,142,40,0.8095238095238095,0.85,0.8292682926829268,34,8,6,0.59,Head,global
T1048,37,78,11,0.4,0.36363636363636365,0.38095238095238093,4,6,7,0.59,Medium,global
T1049,51,78,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.59,Medium,global
T1052,10,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.59,Tail,global
T1053,242,243,69,0.9552238805970149,0.927536231884058,0.9411764705882353,64,3,5,0.59,Head,global
T1055,502,502,143,0.9126984126984127,0.8041958041958042,0.8550185873605948,115,11,28,0.59,Head,global
T1056,156,156,44,0.9736842105263158,0.8409090909090909,0.9024390243902439,37,1,7,0.59,Head,global
T1057,227,227,65,0.85,0.7846153846153846,0.816,51,9,14,0.59,Head,global
T1059,807,808,231,0.8502415458937198,0.7619047619047619,0.8036529680365296,176,31,55,0.59,Head,global
T1068,37,78,11,0.75,0.5454545454545454,0.631578947368421,6,2,5,0.59,Medium,global
T1069,45,78,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.59,Medium,global
T1070,329,329,94,0.826530612244898,0.8617021276595744,0.84375,81,17,13,0.59,Head,global
T1071,432,432,124,0.8888888888888888,0.8387096774193549,0.8630705394190872,104,13,20,0.59,Head,global
T1072,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.59,Medium,global
T1074,103,103,29,0.8947368421052632,0.5862068965517241,0.7083333333333334,17,2,12,0.59,Head,global
T1078,257,263,74,0.7297297297297297,0.7297297297297297,0.7297297297297297,54,20,20,0.59,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.59,Tail,global
T1082,332,332,95,0.8152173913043478,0.7894736842105263,0.8021390374331551,75,17,20,0.59,Head,global
T1083,287,287,82,0.8441558441558441,0.7926829268292683,0.8176100628930818,65,12,17,0.59,Head,global
T1087,66,78,19,0.75,0.631578947368421,0.6857142857142857,12,4,7,0.59,Medium,global
T1090,254,254,73,0.8194444444444444,0.8082191780821918,0.8137931034482758,59,13,14,0.59,Head,global
T1091,17,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.59,Tail,global
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.59,Tail,global
T1095,98,98,28,0.6774193548387096,0.75,0.711864406779661,21,10,7,0.59,Medium,global
T1098,33,78,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.59,Medium,global
T1102,71,78,20,0.7857142857142857,0.55,0.6470588235294118,11,3,9,0.59,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,1,3,0.59,Tail,global
T1105,547,547,156,0.8145695364238411,0.7884615384615384,0.8013029315960912,123,28,33,0.59,Head,global
T1106,304,305,87,0.6979166666666666,0.7701149425287356,0.73224043715847,67,29,20,0.59,Head,global
T1110,112,112,32,0.8125,0.8125,0.8125,26,6,6,0.59,Head,global
T1111,9,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.59,Tail,global
T1112,203,203,58,0.7678571428571429,0.7413793103448276,0.7543859649122807,43,13,15,0.59,Head,global
T1113,117,117,33,0.90625,0.8787878787878788,0.8923076923076924,29,3,4,0.59,Head,global
T1114,36,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.59,Medium,global
T1115,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.59,Medium,global
