Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9714285714285714,0.918918918918919,0.9444444444444444,34,1,3,0.51,Head,global
T1005,78,115,22,0.631578947368421,0.5454545454545454,0.5853658536585366,12,7,10,0.51,Medium,global
T1012,29,116,8,0.6666666666666666,0.75,0.7058823529411765,6,3,2,0.51,Medium,global
T1016,46,115,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,3,3,0.51,Medium,global
T1021,121,128,34,0.8823529411764706,0.8823529411764706,0.8823529411764706,30,4,4,0.51,Head,global
T1027,761,791,218,0.7250996015936255,0.8348623853211009,0.7761194029850746,182,69,36,0.51,Head,global
T1033,45,118,13,0.4666666666666667,0.5384615384615384,0.5,7,8,6,0.51,Medium,global
T1036,88,114,25,0.8333333333333334,0.8,0.8163265306122449,20,4,5,0.51,Medium,global
T1041,101,114,29,0.5,0.6206896551724138,0.5538461538461539,18,18,11,0.51,Head,global
T1047,82,114,24,0.9523809523809523,0.8333333333333334,0.8888888888888888,20,1,4,0.51,Medium,global
T1053,121,125,35,0.9310344827586207,0.7714285714285715,0.84375,27,2,8,0.51,Head,global
T1055,332,340,95,0.826530612244898,0.8526315789473684,0.8393782383419689,81,17,14,0.51,Head,global
T1056,55,115,16,0.9375,0.9375,0.9375,15,1,1,0.51,Medium,global
T1057,82,114,24,0.8,0.8333333333333334,0.8163265306122449,20,5,4,0.51,Medium,global
T1059,325,363,93,0.6574074074074074,0.7634408602150538,0.7064676616915423,71,37,22,0.51,Head,global
T1068,11,114,3,0.25,0.6666666666666666,0.36363636363636365,2,6,1,0.51,Tail,global
T1070,91,114,26,0.625,0.7692307692307693,0.6896551724137931,20,12,6,0.51,Medium,global
T1071,178,184,51,0.8235294117647058,0.8235294117647058,0.8235294117647058,42,9,9,0.51,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.51,Tail,global
T1074,34,119,10,0.5384615384615384,0.7,0.6086956521739131,7,6,3,0.51,Medium,global
T1078,194,217,56,0.7049180327868853,0.7678571428571429,0.7350427350427351,43,18,13,0.51,Head,global
T1082,128,173,36,0.6666666666666666,0.6666666666666666,0.6666666666666666,24,12,12,0.51,Head,global
T1083,108,120,31,0.6470588235294118,0.7096774193548387,0.676923076923077,22,12,9,0.51,Head,global
T1090,167,167,48,0.8837209302325582,0.7916666666666666,0.8351648351648352,38,5,10,0.51,Head,global
T1095,60,114,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.51,Medium,global
T1105,311,324,89,0.8021978021978022,0.8202247191011236,0.8111111111111111,73,18,16,0.51,Head,global
T1106,222,244,64,0.6875,0.859375,0.7638888888888888,55,25,9,0.51,Head,global
T1110,63,116,18,0.875,0.7777777777777778,0.8235294117647058,14,2,4,0.51,Medium,global
T1112,123,131,35,0.75,0.8571428571428571,0.8,30,10,5,0.51,Head,global
T1113,37,118,11,0.8888888888888888,0.7272727272727273,0.8,8,1,3,0.51,Medium,global
T1140,479,485,137,0.8873239436619719,0.9197080291970803,0.9032258064516129,126,16,11,0.51,Head,global
T1190,68,114,20,0.8571428571428571,0.6,0.7058823529411765,12,2,8,0.51,Medium,global
T1204,114,118,32,0.8333333333333334,0.78125,0.8064516129032258,25,5,7,0.51,Head,global
T1210,17,114,5,0.625,1.0,0.7692307692307693,5,3,0,0.51,Tail,global
T1218,59,114,17,0.75,0.8823529411764706,0.8108108108108109,15,5,2,0.51,Medium,global
T1219,68,116,19,0.8260869565217391,1.0,0.9047619047619048,19,4,0,0.51,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.51,Medium,global
T1518,43,114,12,0.7692307692307693,0.8333333333333334,0.8,10,3,2,0.51,Medium,global
T1543,58,117,17,0.75,0.7058823529411765,0.7272727272727273,12,4,5,0.51,Medium,global
T1547,80,114,23,0.8695652173913043,0.8695652173913043,0.8695652173913043,20,3,3,0.51,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.51,Medium,global
T1552,28,114,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.51,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.51,Tail,global
T1562,108,126,31,0.8064516129032258,0.8064516129032258,0.8064516129032258,25,6,6,0.51,Head,global
T1564,21,117,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.51,Medium,global
T1566,107,114,31,0.84375,0.8709677419354839,0.8571428571428571,27,5,4,0.51,Head,global
T1569,26,115,8,1.0,0.75,0.8571428571428571,6,0,2,0.51,Medium,global
T1570,73,114,21,0.7777777777777778,0.6666666666666666,0.717948717948718,14,4,7,0.51,Medium,global
T1573,72,115,21,0.6,0.5714285714285714,0.5853658536585366,12,8,9,0.51,Medium,global
T1574,88,114,25,0.8571428571428571,0.96,0.9056603773584906,24,4,1,0.51,Medium,global
