Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.3333333333333333,0.18181818181818182,0.23529411764705882,2,4,9,0.4699999988079071,Medium,minority_f2
T1003,107,107,30,0.7307692307692307,0.6333333333333333,0.6785714285714286,19,7,11,0.4699999988079071,Head,minority_f2
T1005,78,78,22,0.5652173913043478,0.5909090909090909,0.5777777777777777,13,10,9,0.4699999988079071,Medium,minority_f2
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.27000001072883606,Tail,minority_f2
T1007,34,48,10,0.8181818181818182,0.9,0.8571428571428571,9,2,1,0.4699999988079071,Medium,minority_f2
T1008,31,48,9,0.42857142857142855,0.3333333333333333,0.375,3,4,6,0.4699999988079071,Medium,minority_f2
T1010,17,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.27000001072883606,Tail,minority_f2
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.27000001072883606,Tail,minority_f2
T1012,59,59,17,0.7368421052631579,0.8235294117647058,0.7777777777777778,14,5,3,0.4699999988079071,Medium,minority_f2
T1014,19,48,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.27000001072883606,Tail,minority_f2
T1016,136,136,39,0.7619047619047619,0.8205128205128205,0.7901234567901234,32,10,7,0.4699999988079071,Head,minority_f2
T1018,40,48,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,4,4,0.4699999988079071,Medium,minority_f2
T1020,18,48,5,0.14285714285714285,0.2,0.16666666666666666,1,6,4,0.27000001072883606,Tail,minority_f2
T1021,105,105,30,0.6470588235294118,0.7333333333333333,0.6875,22,12,8,0.4699999988079071,Head,minority_f2
T1025,18,48,5,0.375,0.6,0.46153846153846156,3,5,2,0.27000001072883606,Tail,minority_f2
T1027,344,344,98,0.7583333333333333,0.9285714285714286,0.8348623853211009,91,29,7,0.4699999988079071,Head,minority_f2
T1029,12,48,4,0.5,0.25,0.3333333333333333,1,1,3,0.27000001072883606,Tail,minority_f2
T1030,9,48,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.27000001072883606,Tail,minority_f2
T1033,108,108,31,0.6923076923076923,0.8709677419354839,0.7714285714285715,27,12,4,0.4699999988079071,Head,minority_f2
T1036,192,192,55,0.8461538461538461,0.8,0.822429906542056,44,8,11,0.4699999988079071,Head,minority_f2
T1037,32,48,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.4699999988079071,Medium,minority_f2
T1039,10,48,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,5,2,0.27000001072883606,Tail,minority_f2
T1040,12,48,4,0.5,0.5,0.5,2,2,2,0.27000001072883606,Tail,minority_f2
T1041,64,64,18,0.6363636363636364,0.7777777777777778,0.7,14,8,4,0.4699999988079071,Medium,minority_f2
T1046,31,48,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.4699999988079071,Medium,minority_f2
