minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.59,0.033974883569968486,0.84375,0.08244802521221979,0.766903073286052,0.14888929686065724,0.4540041873327608,0.7239416047367746,0.39801845661439517,0.0483995573465851
0.06,0.59,0.05237869503452014,0.8125,0.12383284861472524,0.7650118203309693,0.21316118832751466,0.4557493589862441,0.7106437323963489,0.4014128659054371,0.031176267930595285
0.07,0.59,0.07536489459809638,0.79375,0.17645774186503604,0.7640661938534279,0.2867027410627162,0.4580372493007405,0.7026650089920936,0.40580559060727134,0.02098688743657737
0.08,0.59,0.10959916262189043,0.7770833333333333,0.23794781070322865,0.7631205673758865,0.36277815239379635,0.4619637683032026,0.6955728104105332,0.4130201887476098,0.014798613576096716
0.09,0.59,0.1515495173096439,0.7645833333333333,0.30507191521574567,0.7621749408983451,0.4357345587241519,0.46772284346840715,0.6902536614743631,0.4229086449594315,0.010896686363351638
0.1,0.59,0.1823659001208809,0.7416666666666666,0.3665148063781321,0.7607565011820331,0.49469638739431204,0.4717737042070804,0.6805018884247177,0.43009310395093264,0.008579019898523792
0.11,0.59,0.219060995708527,0.7041666666666666,0.428,0.7588652482269503,0.5473145780051151,0.4806941941382233,0.6645444416162071,0.44166177189582434,0.006929509531664335
0.12,0.59,0.2585313931408246,0.6916666666666667,0.480948094809481,0.757919621749409,0.5884728340675477,0.4886505924447111,0.6592252926800369,0.4536195169509585,0.0058515858267387715
0.13,0.59,0.2946079365883582,0.6729166666666666,0.5299966854491216,0.7560283687943262,0.6231488698363211,0.4961477033521146,0.6512465692757815,0.4650776298270833,0.005047710521370556
0.14,0.59,0.3142846789387885,0.6479166666666666,0.5742538655160014,0.7550827423167848,0.6523692810457516,0.5015308188001585,0.6406082714034411,0.47261041182690317,0.004442194057586704
0.15,0.59,0.3359913610085298,0.6166666666666666,0.6161577116350986,0.7536643026004728,0.678009357720119,0.5089112491948685,0.6273103990630156,0.4822017127702553,0.003951516923141169
0.16,0.59,0.36026015686820784,0.6125,0.6418211120064464,0.7531914893617021,0.6930606917554927,0.5190231811088009,0.6255373494176255,0.49338173450019723,0.0036826884930992003
0.17,0.59,0.3758408187529955,0.59375,0.6679261125104954,0.7522458628841607,0.7075828329997776,0.528081789870333,0.6175586260133702,0.5024643208538039,0.003432129956361055
0.18,0.59,0.40367519784201517,0.59375,0.6938508504143044,0.7522458628841607,0.7218693284936479,0.540460949750481,0.6175586260133702,0.5157374009637196,0.0031998413129267324
0.19,0.59,0.4089239804974804,0.5708333333333333,0.7137078651685393,0.7508274231678487,0.7317972350230415,0.5463918991028947,0.6078068529637248,0.5212553229318919,0.0030380222579500134
0.2,0.59,0.42429800519192595,0.5708333333333333,0.7257769652650823,0.7508274231678487,0.7380897048570765,0.5535237005166109,0.6078068529637248,0.5289345839434432,0.00294145282191552
0.21,0.59,0.4329350334478043,0.5645833333333333,0.7337031900138696,0.750354609929078,0.7419354838709677,0.5629605845545589,0.6051472784956398,0.5361557611114289,0.002881423172488673
0.22,0.59,0.4414640920010502,0.5520833333333333,0.7460018814675446,0.7498817966903073,0.7479368073567555,0.5720284670266966,0.5998281295594695,0.5436941447136423,0.0027900737059695572
0.23,0.59,0.44542015217324815,0.5458333333333333,0.7536852116024727,0.7494089834515366,0.7515410146989094,0.5793486291340928,0.5971685550913844,0.5480647445629655,0.002735264026058088
0.24,0.59,0.4586006907286899,0.5458333333333333,0.7631198844487241,0.7494089834515366,0.7562022900763359,0.5902271713956139,0.5971685550913844,0.55654214187015,0.0026674044223581736
0.25,0.59,0.46531076610652844,0.5458333333333333,0.7690441533236293,0.7494089834515366,0.7590996168582376,0.596101453732662,0.5971685550913844,0.5612418747613722,0.002625644666235149
0.26,0.59,0.4658506995992483,0.5333333333333333,0.7760901518863302,0.7489361702127659,0.7622714148219442,0.6059249930774779,0.5918494061552142,0.5661058641998299,0.002578664940596747
0.27,0.59,0.4542577724563019,0.5166666666666666,0.7785433070866141,0.7479905437352246,0.7629611767542802,0.6047091876063534,0.5847572075736539,0.5631162415293561,0.002565615016808302
0.28,0.59,0.46102409641012587,0.5166666666666666,0.7823936696340257,0.7479905437352246,0.7648054145516074,0.6162340103013888,0.5847572075736539,0.5691446103236824,0.002539515169231412
0.29,0.59,0.4589293900221726,0.5041666666666667,0.7856787667826952,0.7470449172576832,0.7658749394086282,0.6239594408991599,0.5794380586374837,0.5718118603313579,0.0025212452759275886
0.3,0.59,0.4318152868051281,0.46875,0.7876061969015492,0.7451536643026004,0.7657920310981535,0.6184629869984507,0.5643671366516682,0.5634194253431782,0.0025160253064122106
0.31,0.59,0.4213715638614052,0.45625,0.7889724310776942,0.7442080378250591,0.7659367396593674,0.6149168877076705,0.5590479877154979,0.55951871612332,0.0025108053368968325
0.32,0.59,0.4134109837960457,0.44375,0.7924433249370277,0.7437352245862884,0.7673170731707317,0.6163944290788289,0.5537288387793277,0.558065736478851,0.0024899254588353205
0.33,0.59,0.4166508543056531,0.44375,0.7948458817584638,0.7437352245862884,0.7684416218856863,0.6204787755833883,0.5537288387793277,0.5607199380692228,0.0024742655502891864
0.34,0.59,0.4039132548952596,0.4270833333333333,0.7961460446247465,0.7423167848699763,0.7682896990457548,0.6187057259379981,0.5466366401977675,0.5570345277348764,0.002471655565531497
0.35,0.59,0.3981943006468936,0.4208333333333333,0.7972560975609756,0.7418439716312056,0.7685525349008082,0.6144504067890619,0.5439770657296823,0.5543749532667913,0.002466435596016119
0.36,0.59,0.3882984673135602,0.4083333333333333,0.799184505606524,0.741371158392435,0.7691930340936963,0.6126773571436719,0.5386579167935122,0.5513354395889798,0.002455995656985363
0.37,0.59,0.3888193006468935,0.4083333333333333,0.7995920448750637,0.741371158392435,0.7693817468105987,0.6128673267485351,0.5386579167935122,0.5515718462083651,0.0024533856722276743
0.38,0.59,0.3781501087277016,0.3958333333333333,0.7993874425727412,0.7404255319148936,0.7687776141384389,0.61198080192584,0.5333387678573419,0.5482030518821239,0.0024586056417430524
0.39,0.59,0.37389851774042954,0.3895833333333333,0.8009211873080859,0.7399527186761229,0.7692307692307693,0.6113855638306019,0.5306791933892568,0.5470801204400436,0.002450775687469985
0.4,0.59,0.3738066059757236,0.38541666666666663,0.8024628014366342,0.7394799054373522,0.7696850393700787,0.6152862730504601,0.5289061437438667,0.5489164932870547,0.0024429457331969183
0.41,0.59,0.3561726774042951,0.36666666666666664,0.8030848329048843,0.7385342789598108,0.7694581280788177,0.6099671241142899,0.5209274203396114,0.5421535753539239,0.0024429457331969183
0.42,0.59,0.3505637030453207,0.36041666666666666,0.804639175257732,0.7380614657210401,0.7699136868064118,0.6108536489369849,0.5182678458715262,0.5403805257085339,0.002435115778923851
0.43,0.59,0.3505637030453207,0.36041666666666666,0.8050541516245487,0.7380614657210401,0.7701036013813517,0.6108536489369849,0.5182678458715262,0.5403805257085339,0.0024325057941661623
0.44,0.59,0.3505637030453207,0.36041666666666666,0.8054695562435501,0.7380614657210401,0.770293609671848,0.6108536489369849,0.5182678458715262,0.5403805257085339,0.002429895809408473
0.45,0.59,0.35125304128061485,0.36041666666666666,0.8058853897780073,0.7380614657210401,0.7704837117472852,0.6116515212774105,0.5182678458715262,0.5409504345231235,0.0024272858246507842
0.46,0.59,0.3517126001041443,0.36041666666666666,0.80671834625323,0.7380614657210401,0.7708641975308642,0.6121834361710274,0.5182678458715262,0.5413303737328501,0.0024220658551354062
0.47,0.59,0.33426978964662785,0.3416666666666667,0.806935817805383,0.7371158392434988,0.7704472448727453,0.6073962021284743,0.5102891224672709,0.5346814375626373,0.002424675839893095
0.48,0.59,0.3355543659771601,0.3416666666666667,0.8077720207253886,0.7371158392434988,0.7708281829419036,0.6099671241142899,0.5102891224672709,0.535960566235383,0.002419455870377717
0.49,0.59,0.3369308540723982,0.3416666666666667,0.8086099585062241,0.7371158392434988,0.7712094978976007,0.6115502041548168,0.5102891224672709,0.5370159529290676,0.002414235900862339
0.5,0.59,0.3374516874057315,0.3416666666666667,0.8090295796574987,0.7371158392434988,0.7714002968827314,0.6124367289775119,0.5102891224672709,0.5375225385420361,0.0024116259161046497
0.51,0.59,0.3374516874057315,0.3416666666666667,0.8090295796574987,0.7371158392434988,0.7714002968827314,0.6124367289775119,0.5102891224672709,0.5375225385420361,0.0024116259161046497
0.52,0.59,0.3334112833653275,0.33541666666666664,0.8097713097713097,0.7366430260047281,0.7714780886358009,0.6142097786229018,0.5076295479991858,0.5369906236484191,0.002409015931346961
0.53,0.59,0.3345273547938989,0.33541666666666664,0.8106139438085328,0.7366430260047281,0.7718602922962596,0.6168693530909869,0.5076295479991858,0.5382064291195437,0.002403795961831583
0.54,0.59,0.3345273547938989,0.33541666666666664,0.8106139438085328,0.7366430260047281,0.7718602922962596,0.6168693530909869,0.5076295479991858,0.5382064291195437,0.002403795961831583
0.55,0.59,0.3197109212274653,0.31875,0.8116849243609807,0.7356973995271867,0.7718253968253969,0.6127913389065898,0.5005373494176255,0.5327353044994829,0.0024011859770738937
0.56,0.59,0.3205122032787474,0.31875,0.8121085594989561,0.7356973995271867,0.7720168692632101,0.6133232538002068,0.5005373494176255,0.5332418901124515,0.002398575992316205
0.57,0.59,0.31014964916619325,0.30625,0.8132845188284519,0.735224586288416,0.7722870623292774,0.6124367289775118,0.49521820048145526,0.5300504007507494,0.002393356022800827
0.58,0.59,0.30693273740148735,0.3020833333333333,0.8140387637506548,0.7347517730496453,0.7723658051689861,0.6119048140838947,0.49344515083606527,0.5291005527264333,0.0023907460380431377
0.59,0.59,0.30693273740148735,0.3020833333333333,0.8140387637506548,0.7347517730496453,0.7723658051689861,0.6119048140838947,0.49344515083606527,0.5291005527264333,0.0023907460380431377
