Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.5899999737739563,Medium,minority_f2
T1003,237,237,68,0.8867924528301887,0.6911764705882353,0.7768595041322314,47,6,21,0.5899999737739563,Head,minority_f2
T1005,156,156,44,0.7777777777777778,0.6363636363636364,0.7,28,8,16,0.5899999737739563,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.25999999046325684,Tail,minority_f2
T1007,34,78,10,0.875,0.7,0.7777777777777778,7,1,3,0.5899999737739563,Medium,minority_f2
T1008,31,78,9,0.75,0.3333333333333333,0.46153846153846156,3,1,6,0.5899999737739563,Medium,minority_f2
T1010,17,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.25999999046325684,Tail,minority_f2
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.25999999046325684,Tail,minority_f2
T1012,88,88,25,0.7727272727272727,0.68,0.723404255319149,17,5,8,0.5899999737739563,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.25999999046325684,Tail,minority_f2
T1016,182,182,52,0.8301886792452831,0.8461538461538461,0.8380952380952381,44,9,8,0.5899999737739563,Head,minority_f2
T1018,40,78,12,0.7777777777777778,0.5833333333333334,0.6666666666666666,7,2,5,0.5899999737739563,Medium,minority_f2
T1020,18,78,5,0.36363636363636365,0.8,0.5,4,7,1,0.25999999046325684,Tail,minority_f2
T1021,226,226,64,0.8064516129032258,0.78125,0.7936507936507936,50,12,14,0.5899999737739563,Head,minority_f2
T1025,18,78,5,0.16666666666666666,0.4,0.23529411764705882,2,10,3,0.25999999046325684,Tail,minority_f2
T1027,1105,1110,316,0.7731343283582089,0.819620253164557,0.7956989247311828,259,76,57,0.5899999737739563,Head,minority_f2
T1029,12,78,4,0.2222222222222222,0.5,0.3076923076923077,2,7,2,0.25999999046325684,Tail,minority_f2
T1030,9,78,3,0.42857142857142855,1.0,0.6,3,4,0,0.25999999046325684,Tail,minority_f2
T1033,153,153,44,0.8333333333333334,0.7954545454545454,0.813953488372093,35,7,9,0.5899999737739563,Head,minority_f2
T1036,280,280,80,0.7894736842105263,0.75,0.7692307692307693,60,16,20,0.5899999737739563,Head,minority_f2
T1037,32,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.5899999737739563,Medium,minority_f2
T1039,10,78,3,0.3,1.0,0.46153846153846156,3,7,0,0.25999999046325684,Tail,minority_f2
T1040,12,78,4,0.2857142857142857,0.5,0.36363636363636365,2,5,2,0.25999999046325684,Tail,minority_f2
T1041,165,165,47,0.6,0.7021276595744681,0.6470588235294118,33,22,14,0.5899999737739563,Head,minority_f2
T1046,31,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.5899999737739563,Medium,minority_f2
T1047,142,142,40,0.813953488372093,0.875,0.8433734939759037,35,8,5,0.5899999737739563,Head,minority_f2
T1048,37,78,11,0.5,0.36363636363636365,0.42105263157894735,4,4,7,0.5899999737739563,Medium,minority_f2
T1049,51,78,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.5899999737739563,Medium,minority_f2
T1052,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.25999999046325684,Tail,minority_f2
T1053,242,243,69,0.9538461538461539,0.8985507246376812,0.9253731343283582,62,3,7,0.5899999737739563,Head,minority_f2
T1055,502,502,143,0.8928571428571429,0.8741258741258742,0.8833922261484098,125,15,18,0.5899999737739563,Head,minority_f2
T1056,156,156,44,0.9736842105263158,0.8409090909090909,0.9024390243902439,37,1,7,0.5899999737739563,Head,minority_f2
T1057,227,227,65,0.8545454545454545,0.7230769230769231,0.7833333333333333,47,8,18,0.5899999737739563,Head,minority_f2
T1059,807,808,231,0.8440366972477065,0.7965367965367965,0.8195991091314031,184,34,47,0.5899999737739563,Head,minority_f2
T1068,37,78,11,0.6666666666666666,0.7272727272727273,0.6956521739130435,8,4,3,0.5899999737739563,Medium,minority_f2
T1069,45,78,13,0.75,0.6923076923076923,0.72,9,3,4,0.5899999737739563,Medium,minority_f2
T1070,329,329,94,0.8555555555555555,0.8191489361702128,0.8369565217391305,77,13,17,0.5899999737739563,Head,minority_f2
T1071,432,432,124,0.8571428571428571,0.8225806451612904,0.8395061728395061,102,17,22,0.5899999737739563,Head,minority_f2
T1072,20,78,6,0.75,0.5,0.6,3,1,3,0.5899999737739563,Medium,minority_f2
T1074,103,103,29,0.8888888888888888,0.5517241379310345,0.6808510638297872,16,2,13,0.5899999737739563,Head,minority_f2
T1078,257,263,74,0.819672131147541,0.6756756756756757,0.7407407407407407,50,11,24,0.5899999737739563,Head,minority_f2
T1080,16,78,4,0.13333333333333333,0.5,0.21052631578947367,2,13,2,0.25999999046325684,Tail,minority_f2
T1082,332,332,95,0.8426966292134831,0.7894736842105263,0.8152173913043478,75,14,20,0.5899999737739563,Head,minority_f2
T1083,287,287,82,0.8243243243243243,0.7439024390243902,0.782051282051282,61,13,21,0.5899999737739563,Head,minority_f2
T1087,66,78,19,0.7142857142857143,0.5263157894736842,0.6060606060606061,10,4,9,0.5899999737739563,Medium,minority_f2
T1090,254,254,73,0.8823529411764706,0.821917808219178,0.851063829787234,60,8,13,0.5899999737739563,Head,minority_f2
T1091,17,78,5,0.4444444444444444,0.8,0.5714285714285714,4,5,1,0.25999999046325684,Tail,minority_f2
T1092,4,78,1,0.0,0.0,0.0,0,1,1,0.25999999046325684,Tail,minority_f2
T1095,98,98,28,0.782608695652174,0.6428571428571429,0.7058823529411765,18,5,10,0.5899999737739563,Medium,minority_f2
T1098,33,78,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.5899999737739563,Medium,minority_f2
T1102,71,78,20,0.7272727272727273,0.4,0.5161290322580645,8,3,12,0.5899999737739563,Medium,minority_f2
T1104,12,78,3,0.0,0.0,0.0,0,3,3,0.25999999046325684,Tail,minority_f2
T1105,547,547,156,0.8322981366459627,0.8589743589743589,0.8454258675078864,134,27,22,0.5899999737739563,Head,minority_f2
T1106,304,305,87,0.7111111111111111,0.735632183908046,0.7231638418079096,64,26,23,0.5899999737739563,Head,minority_f2
T1110,112,112,32,0.8181818181818182,0.84375,0.8307692307692308,27,6,5,0.5899999737739563,Head,minority_f2
T1111,9,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.25999999046325684,Tail,minority_f2
T1112,203,203,58,0.71875,0.7931034482758621,0.7540983606557377,46,18,12,0.5899999737739563,Head,minority_f2
T1113,117,117,33,0.8529411764705882,0.8787878787878788,0.8656716417910447,29,5,4,0.5899999737739563,Head,minority_f2
T1114,36,78,10,1.0,0.6,0.75,6,0,4,0.5899999737739563,Medium,minority_f2
T1115,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.5899999737739563,Medium,minority_f2
T1119,33,78,10,1.0,0.2,0.3333333333333333,2,0,8,0.5899999737739563,Medium,minority_f2
T1120,31,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.5899999737739563,Medium,minority_f2
T1123,19,78,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.25999999046325684,Tail,minority_f2
T1124,45,78,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,0.5899999737739563,Medium,minority_f2
T1125,19,78,5,0.625,1.0,0.7692307692307693,5,3,0,0.25999999046325684,Tail,minority_f2
T1127,9,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.25999999046325684,Tail,minority_f2
T1129,15,78,4,0.23076923076923078,0.75,0.35294117647058826,3,10,1,0.25999999046325684,Tail,minority_f2
T1132,66,78,19,1.0,0.6842105263157895,0.8125,13,0,6,0.5899999737739563,Medium,minority_f2
T1133,26,78,8,0.6666666666666666,0.5,0.5714285714285714,4,2,4,0.5899999737739563,Medium,minority_f2
T1134,52,78,15,0.8,0.8,0.8,12,3,3,0.5899999737739563,Medium,minority_f2
T1135,31,78,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,3,3,0.5899999737739563,Medium,minority_f2
T1136,27,78,8,0.7777777777777778,0.875,0.8235294117647058,7,2,1,0.5899999737739563,Medium,minority_f2
T1137,38,78,11,0.8571428571428571,0.5454545454545454,0.6666666666666666,6,1,5,0.5899999737739563,Medium,minority_f2
T1140,616,616,176,0.925,0.8409090909090909,0.8809523809523809,148,12,28,0.5899999737739563,Head,minority_f2
T1176,11,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.25999999046325684,Tail,minority_f2
T1185,15,78,4,0.5,0.25,0.3333333333333333,1,1,3,0.25999999046325684,Tail,minority_f2
T1187,12,78,4,0.14285714285714285,0.25,0.18181818181818182,1,6,3,0.25999999046325684,Tail,minority_f2
T1189,37,78,10,0.4,0.2,0.26666666666666666,2,3,8,0.5899999737739563,Medium,minority_f2
T1190,88,88,25,0.8076923076923077,0.84,0.8235294117647058,21,5,4,0.5899999737739563,Medium,minority_f2
T1195,19,78,6,0.42857142857142855,0.5,0.46153846153846156,3,4,3,0.25999999046325684,Tail,minority_f2
T1197,15,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.25999999046325684,Tail,minority_f2
T1199,8,78,2,0.25,0.5,0.3333333333333333,1,3,1,0.25999999046325684,Tail,minority_f2
T1200,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1201,7,78,2,0.4,1.0,0.5714285714285714,2,3,0,0.25999999046325684,Tail,minority_f2
T1202,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1203,44,78,12,0.8,0.6666666666666666,0.7272727272727273,8,2,4,0.5899999737739563,Medium,minority_f2
T1204,244,244,70,0.819672131147541,0.7142857142857143,0.7633587786259542,50,11,20,0.5899999737739563,Head,minority_f2
T1205,20,78,6,1.0,0.3333333333333333,0.5,2,0,4,0.5899999737739563,Medium,minority_f2
T1207,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.25999999046325684,Tail,minority_f2
T1210,33,78,10,1.0,0.5,0.6666666666666666,5,0,5,0.5899999737739563,Medium,minority_f2
T1211,4,78,1,0.0,0.0,0.0,0,1,1,0.25999999046325684,Tail,minority_f2
T1212,3,78,1,0.0,0.0,0.0,0,3,1,0.25999999046325684,Tail,minority_f2
T1213,17,78,5,0.5,0.8,0.6153846153846154,4,4,1,0.25999999046325684,Tail,minority_f2
T1216,10,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.25999999046325684,Tail,minority_f2
T1217,8,78,2,0.5,1.0,0.6666666666666666,2,2,0,0.25999999046325684,Tail,minority_f2
T1218,225,225,64,0.9074074074074074,0.765625,0.8305084745762712,49,5,15,0.5899999737739563,Head,minority_f2
T1219,86,86,24,0.8571428571428571,0.75,0.8,18,3,6,0.5899999737739563,Medium,minority_f2
T1220,10,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.25999999046325684,Tail,minority_f2
T1221,13,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.25999999046325684,Tail,minority_f2
T1222,25,78,7,0.6666666666666666,0.5714285714285714,0.6153846153846154,4,2,3,0.5899999737739563,Medium,minority_f2
T1480,24,78,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.5899999737739563,Medium,minority_f2
T1482,10,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.25999999046325684,Tail,minority_f2
T1484,49,78,14,0.9090909090909091,0.7142857142857143,0.8,10,1,4,0.5899999737739563,Medium,minority_f2
T1485,17,78,5,0.36363636363636365,0.8,0.5,4,7,1,0.25999999046325684,Tail,minority_f2
T1486,37,78,11,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,0.5899999737739563,Medium,minority_f2
T1489,22,78,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.5899999737739563,Medium,minority_f2
T1490,19,78,6,0.46153846153846156,1.0,0.631578947368421,6,7,0,0.25999999046325684,Tail,minority_f2
T1491,9,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.25999999046325684,Tail,minority_f2
T1495,3,78,1,0.0,0.0,0.0,0,3,1,0.25999999046325684,Tail,minority_f2
T1496,12,78,4,0.6666666666666666,1.0,0.8,4,2,0,0.25999999046325684,Tail,minority_f2
T1497,84,84,24,0.5789473684210527,0.4583333333333333,0.5116279069767442,11,8,13,0.5899999737739563,Medium,minority_f2
T1498,23,78,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5,0.5899999737739563,Medium,minority_f2
T1499,34,78,10,0.8,0.4,0.5333333333333333,4,1,6,0.5899999737739563,Medium,minority_f2
T1505,48,78,14,1.0,0.6428571428571429,0.782608695652174,9,0,5,0.5899999737739563,Medium,minority_f2
T1518,128,128,37,0.7142857142857143,0.8108108108108109,0.759493670886076,30,12,7,0.5899999737739563,Head,minority_f2
T1525,4,78,1,0.25,1.0,0.4,1,3,0,0.25999999046325684,Tail,minority_f2
T1526,4,78,1,0.0,0.0,0.0,0,2,1,0.25999999046325684,Tail,minority_f2
T1528,9,78,2,0.0,0.0,0.0,0,3,2,0.25999999046325684,Tail,minority_f2
T1529,11,78,3,0.42857142857142855,1.0,0.6,3,4,0,0.25999999046325684,Tail,minority_f2
T1530,6,78,2,0.5,0.5,0.5,1,1,1,0.25999999046325684,Tail,minority_f2
T1531,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1534,7,78,2,0.5,0.5,0.5,1,1,1,0.25999999046325684,Tail,minority_f2
T1535,5,78,2,1.0,1.0,1.0,2,0,0,0.25999999046325684,Tail,minority_f2
T1537,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1538,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1539,12,78,4,0.3333333333333333,0.75,0.46153846153846156,3,6,1,0.25999999046325684,Tail,minority_f2
T1542,29,78,8,0.5,0.375,0.42857142857142855,3,3,5,0.5899999737739563,Medium,minority_f2
T1543,181,182,52,0.7755102040816326,0.7307692307692307,0.7524752475247525,38,11,14,0.5899999737739563,Head,minority_f2
T1546,122,122,35,0.9047619047619048,0.5428571428571428,0.6785714285714286,19,2,16,0.5899999737739563,Head,minority_f2
T1547,338,338,96,0.8314606741573034,0.7708333333333334,0.8,74,15,22,0.5899999737739563,Head,minority_f2
T1548,92,92,26,0.9545454545454546,0.8076923076923077,0.875,21,1,5,0.5899999737739563,Medium,minority_f2
T1550,44,78,13,1.0,0.6153846153846154,0.7619047619047619,8,0,5,0.5899999737739563,Medium,minority_f2
T1552,86,86,25,1.0,0.44,0.6111111111111112,11,0,14,0.5899999737739563,Medium,minority_f2
T1553,98,98,28,0.64,0.5714285714285714,0.6037735849056604,16,9,12,0.5899999737739563,Medium,minority_f2
T1554,11,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.25999999046325684,Tail,minority_f2
T1555,99,99,28,0.625,0.7142857142857143,0.6666666666666666,20,12,8,0.5899999737739563,Medium,minority_f2
T1556,30,78,8,0.4444444444444444,0.5,0.47058823529411764,4,5,4,0.5899999737739563,Medium,minority_f2
T1557,31,78,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.5899999737739563,Medium,minority_f2
T1558,37,78,11,0.6,0.5454545454545454,0.5714285714285714,6,4,5,0.5899999737739563,Medium,minority_f2
T1559,33,78,10,1.0,0.3,0.46153846153846156,3,0,7,0.5899999737739563,Medium,minority_f2
T1560,98,98,28,0.7777777777777778,0.5,0.6086956521739131,14,4,14,0.5899999737739563,Medium,minority_f2
T1561,22,78,6,0.625,0.8333333333333334,0.7142857142857143,5,3,1,0.5899999737739563,Medium,minority_f2
T1562,230,231,66,0.734375,0.7121212121212122,0.7230769230769231,47,17,19,0.5899999737739563,Head,minority_f2
T1563,16,78,5,0.5,0.4,0.4444444444444444,2,2,3,0.25999999046325684,Tail,minority_f2
T1564,140,140,40,0.8928571428571429,0.625,0.7352941176470589,25,3,15,0.5899999737739563,Head,minority_f2
T1565,16,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.25999999046325684,Tail,minority_f2
T1566,242,244,69,0.84375,0.782608695652174,0.8120300751879699,54,10,15,0.5899999737739563,Head,minority_f2
T1567,19,78,6,0.42857142857142855,0.5,0.46153846153846156,3,4,3,0.25999999046325684,Tail,minority_f2
T1568,38,78,11,0.625,0.45454545454545453,0.5263157894736842,5,3,6,0.5899999737739563,Medium,minority_f2
T1569,68,78,20,0.7692307692307693,0.5,0.6060606060606061,10,3,10,0.5899999737739563,Medium,minority_f2
T1570,87,90,25,0.7,0.56,0.6222222222222222,14,6,11,0.5899999737739563,Medium,minority_f2
T1571,23,78,7,0.8,0.5714285714285714,0.6666666666666666,4,1,3,0.5899999737739563,Medium,minority_f2
T1572,14,78,4,0.2,0.5,0.2857142857142857,2,8,2,0.25999999046325684,Tail,minority_f2
T1573,206,206,59,0.7903225806451613,0.8305084745762712,0.8099173553719008,49,13,10,0.5899999737739563,Head,minority_f2
T1574,217,217,62,0.847457627118644,0.8064516129032258,0.8264462809917356,50,9,12,0.5899999737739563,Head,minority_f2
T1578,13,78,4,0.5,0.75,0.6,3,3,1,0.25999999046325684,Tail,minority_f2
T1580,7,78,2,0.0,0.0,0.0,0,6,2,0.25999999046325684,Tail,minority_f2
T1583,52,78,15,0.75,0.6,0.6666666666666666,9,3,6,0.5899999737739563,Medium,minority_f2
T1584,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.5899999737739563,Medium,minority_f2
T1585,25,78,7,0.8333333333333334,0.7142857142857143,0.7692307692307693,5,1,2,0.5899999737739563,Medium,minority_f2
T1586,19,78,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,5,4,1,0.25999999046325684,Tail,minority_f2
T1587,33,78,10,0.8571428571428571,0.6,0.7058823529411765,6,1,4,0.5899999737739563,Medium,minority_f2
T1588,74,78,21,0.7222222222222222,0.6190476190476191,0.6666666666666666,13,5,8,0.5899999737739563,Medium,minority_f2
T1589,23,78,6,1.0,0.6666666666666666,0.8,4,0,2,0.5899999737739563,Medium,minority_f2
T1590,24,78,7,0.75,0.8571428571428571,0.8,6,2,1,0.5899999737739563,Medium,minority_f2
T1591,17,78,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.25999999046325684,Tail,minority_f2
T1592,17,79,5,0.5,1.0,0.6666666666666666,5,5,0,0.25999999046325684,Tail,minority_f2
T1593,11,78,3,0.16666666666666666,0.6666666666666666,0.26666666666666666,2,10,1,0.25999999046325684,Tail,minority_f2
T1594,4,78,1,0.25,1.0,0.4,1,3,0,0.25999999046325684,Tail,minority_f2
T1595,13,78,4,0.6666666666666666,1.0,0.8,4,2,0,0.25999999046325684,Tail,minority_f2
T1596,24,78,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.5899999737739563,Medium,minority_f2
T1597,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.25999999046325684,Tail,minority_f2
T1598,23,78,7,0.5,0.2857142857142857,0.36363636363636365,2,2,5,0.5899999737739563,Medium,minority_f2
T1599,13,78,4,0.3076923076923077,1.0,0.47058823529411764,4,9,0,0.25999999046325684,Tail,minority_f2
T1600,11,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.25999999046325684,Tail,minority_f2
T1601,24,78,7,1.0,0.5714285714285714,0.7272727272727273,4,0,3,0.5899999737739563,Medium,minority_f2
T1602,12,78,3,0.4,0.6666666666666666,0.5,2,3,1,0.25999999046325684,Tail,minority_f2
T1606,18,78,5,0.35714285714285715,1.0,0.5263157894736842,5,9,0,0.25999999046325684,Tail,minority_f2
T1608,41,78,12,1.0,0.25,0.4,3,0,9,0.5899999737739563,Medium,minority_f2
T1609,5,78,2,0.5,1.0,0.6666666666666666,2,2,0,0.25999999046325684,Tail,minority_f2
T1610,6,78,2,0.3333333333333333,0.5,0.4,1,2,1,0.25999999046325684,Tail,minority_f2
T1611,8,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.25999999046325684,Tail,minority_f2
T1612,3,78,1,1.0,1.0,1.0,1,0,0,0.25999999046325684,Tail,minority_f2
T1613,5,78,1,0.0,0.0,0.0,0,2,1,0.25999999046325684,Tail,minority_f2
T1614,24,78,7,0.75,0.42857142857142855,0.5454545454545454,3,1,4,0.5899999737739563,Medium,minority_f2
T1615,5,79,1,0.5,1.0,0.6666666666666666,1,1,0,0.25999999046325684,Tail,minority_f2
T1619,3,78,1,0.0,0.0,0.0,0,0,1,0.25999999046325684,Tail,minority_f2
T1620,7,78,2,0.0,0.0,0.0,0,1,2,0.25999999046325684,Tail,minority_f2
