minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.64,0.026004319533107605,0.8333333333333334,0.34099216710182767,0.7953714981729598,0.47733918128654973,0.8318783216541625,0.7489789609303554,0.7319088891229787,0.03961218836565097
0.06,0.64,0.03563896975785436,0.8333333333333334,0.4053382991930478,0.7953714981729598,0.5370065789473685,0.8320424745565131,0.7489789609303554,0.7322320108520919,0.031191135734072024
0.07,0.64,0.04741671372106154,0.8333333333333334,0.4687724335965542,0.7953714981729598,0.5898825654923215,0.8322474828762835,0.7489789609303554,0.7326333315456115,0.02515235457063712
0.08,0.64,0.06468919587191119,0.8333333333333334,0.5383347073371806,0.7953714981729598,0.6420845624385447,0.8325572951807,0.7489789609303554,0.7332350964755082,0.020166204986149586
0.09,0.64,0.08895957079096614,0.8333333333333334,0.602954755309326,0.7953714981729598,0.6859243697478992,0.8330128709604735,0.7489789609303554,0.7341094078006617,0.016565096952908587
0.1,0.64,0.12067641294560093,0.8333333333333334,0.660262891809909,0.7953714981729598,0.7215469613259669,0.8336513237510382,0.7489789609303554,0.735311734368842,0.013961218836565098
0.11,0.64,0.1535964035964036,0.8333333333333334,0.7036637931034483,0.7953714981729598,0.7467124070897656,0.8343589027688517,0.7489789609303554,0.7366198195677128,0.01227146814404432
0.12,0.64,0.20138888888888887,0.8333333333333334,0.7420454545454546,0.7953714981729598,0.7677836566725456,0.8355364586311903,0.7489789609303554,0.7387108407091247,0.010941828254847645
0.13,0.64,0.26231396410917684,0.8333333333333334,0.7755344418052257,0.7953714981729598,0.7853277209861695,0.8373182091629409,0.7489789609303554,0.7417039573220404,0.009889196675900278
0.14,0.64,0.30020947332421344,0.7083333333333333,0.7980416156670747,0.7941534713763703,0.796092796092796,0.83953235702225,0.7389789609303554,0.7447423952112675,0.00925207756232687
0.15,0.64,0.3239732546134985,0.7083333333333333,0.8109452736318408,0.7941534713763703,0.8024615384615384,0.8402462166263385,0.7389789609303554,0.7459381357452431,0.00889196675900277
0.16,0.64,0.36468739593739596,0.7083333333333333,0.8253164556962025,0.7941534713763703,0.8094351334574799,0.8425425681372998,0.7389789609303554,0.7489493190064266,0.00850415512465374
0.17,0.64,0.39337913507471345,0.7083333333333333,0.8358974358974359,0.7941534713763703,0.8144909431605247,0.8436554450264925,0.7389789609303554,0.7506614173655837,0.008227146814404432
0.18,0.64,0.42269826866015614,0.7083333333333333,0.8434670116429496,0.7941534713763703,0.8180677540777918,0.8449307991872955,0.7389789609303554,0.7525476096047171,0.008033240997229917
0.19,0.64,0.4748366013071895,0.7083333333333333,0.8511749347258486,0.7941534713763703,0.8216761184625079,0.8494342042789359,0.7389789609303554,0.7574998240569316,0.007839335180055402
0.2,0.64,0.5047348484848485,0.7083333333333333,0.8590250329380764,0.7941534713763703,0.8253164556962025,0.8513084411531727,0.7389789609303554,0.7599151309722384,0.007645429362880886
0.21,0.64,0.5267857142857143,0.7083333333333333,0.8635761589403973,0.7941534713763703,0.8274111675126904,0.852998917343649,0.7389789609303554,0.7619190159761234,0.007534626038781163
0.22,0.64,0.5557162136109505,0.7083333333333333,0.8670212765957447,0.7941534713763703,0.8289891926255563,0.8556417744865062,0.7389789609303554,0.7648223348794424,0.007451523545706371
0.23,0.64,0.5973828802776171,0.7083333333333333,0.8681757656458056,0.7941534713763703,0.8295165394402035,0.8656417744865063,0.7389789609303554,0.7714890015461091,0.007423822714681441
0.24,0.64,0.6170634920634921,0.7083333333333333,0.8704939919893191,0.7941534713763703,0.8305732484076433,0.8681179649626966,0.7389789609303554,0.7738382078953154,0.007368421052631579
0.25,0.64,0.6319444444444444,0.7083333333333333,0.8728246318607764,0.7941534713763703,0.8316326530612245,0.8697846316293633,0.7389789609303554,0.7755048745619821,0.007313019390581718
0.26,0.64,0.5372474747474747,0.5833333333333333,0.8726541554959786,0.7929354445797807,0.8308870453095086,0.86645129829603,0.7289789609303554,0.7701715412286486,0.007340720221606648
0.27,0.64,0.5467171717171717,0.5833333333333333,0.8738255033557047,0.7929354445797807,0.8314176245210728,0.8681179649626967,0.7289789609303554,0.771504874561982,0.007313019390581718
0.28,0.64,0.5621657754010696,0.5833333333333333,0.8761776581426649,0.7929354445797807,0.8324808184143222,0.8721179649626966,0.7289789609303554,0.7740604301175376,0.0072576177285318556
0.29,0.64,0.578125,0.5833333333333333,0.8785425101214575,0.7929354445797807,0.8335467349551856,0.87645129829603,0.7289789609303554,0.7767747158318232,0.007202216066481994
0.3,0.64,0.5972222222222222,0.5833333333333333,0.8809201623815968,0.7929354445797807,0.8346153846153846,0.8881179649626965,0.7289789609303554,0.7810604301175377,0.007146814404432133
0.31,0.64,0.5972222222222222,0.5833333333333333,0.8809201623815968,0.7929354445797807,0.8346153846153846,0.8881179649626965,0.7289789609303554,0.7810604301175377,0.007146814404432133
0.32,0.64,0.5972222222222222,0.5833333333333333,0.8809201623815968,0.7929354445797807,0.8346153846153846,0.8881179649626965,0.7289789609303554,0.7810604301175377,0.007146814404432133
0.33,0.64,0.6031746031746033,0.5833333333333333,0.8821138211382114,0.7929354445797807,0.8351507376523413,0.89145129829603,0.7289789609303554,0.782393763450871,0.007119113573407203
0.34,0.64,0.6031746031746033,0.5833333333333333,0.8821138211382114,0.7929354445797807,0.8351507376523413,0.89145129829603,0.7289789609303554,0.782393763450871,0.007119113573407203
0.35,0.64,0.6031746031746033,0.5833333333333333,0.8821138211382114,0.7929354445797807,0.8351507376523413,0.89145129829603,0.7289789609303554,0.782393763450871,0.007119113573407203
0.36,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.37,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.38,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.39,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.4,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.41,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.42,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.43,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.44,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.45,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.46,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.47,0.64,0.6100427350427351,0.5833333333333333,0.8833107191316146,0.7929354445797807,0.8356867779204108,0.9014512982960299,0.7289789609303554,0.7843937634508711,0.007091412742382271
0.48,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.49,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.5,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.51,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.52,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.53,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.54,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.55,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.56,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.57,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.58,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.59,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.6,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.61,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.62,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.63,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.64,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.65,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.66,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.67,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.68,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.69,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.7,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.71,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.72,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.73,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.74,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.75,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.76,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.77,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.78,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.79,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.8,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.81,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.82,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.83,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.84,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.85,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.86,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.87,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.88,0.64,0.6239316239316239,0.5833333333333333,0.8845108695652174,0.7929354445797807,0.8362235067437379,0.9114512982960299,0.7289789609303554,0.7877270967842044,0.007063711911357341
0.89,0.64,0.5277777777777778,0.5,0.8843537414965986,0.7917174177831913,0.8354755784061697,0.89145129829603,0.7223122942636887,0.7777270967842044,0.007091412742382271
0.9,0.64,0.5277777777777778,0.5,0.8843537414965986,0.7917174177831913,0.8354755784061697,0.89145129829603,0.7223122942636887,0.7777270967842044,0.007091412742382271
0.91,0.64,0.5277777777777778,0.5,0.8843537414965986,0.7917174177831913,0.8354755784061697,0.89145129829603,0.7223122942636887,0.7777270967842044,0.007091412742382271
0.92,0.64,0.3888888888888889,0.375,0.8841961852861036,0.7904993909866017,0.8347266881028939,0.87145129829603,0.7123122942636887,0.764393763450871,0.007119113573407203
0.93,0.64,0.3888888888888889,0.375,0.8841961852861036,0.7904993909866017,0.8347266881028939,0.87145129829603,0.7123122942636887,0.764393763450871,0.007119113573407203
0.94,0.64,0.3888888888888889,0.375,0.8841961852861036,0.7904993909866017,0.8347266881028939,0.87145129829603,0.7123122942636887,0.764393763450871,0.007119113573407203
0.95,0.64,0.3888888888888889,0.375,0.8841961852861036,0.7904993909866017,0.8347266881028939,0.87145129829603,0.7123122942636887,0.764393763450871,0.007119113573407203
