Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.5,0.09090909090909091,0.15384615384615385,1,1,10,0.61,Medium,global
T1003,237,237,68,0.8333333333333334,0.7352941176470589,0.78125,50,10,18,0.61,Head,global
T1005,156,156,44,0.7272727272727273,0.5454545454545454,0.6233766233766234,24,9,20,0.61,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.61,Tail,global
T1007,34,34,10,0.75,0.6,0.6666666666666666,6,2,4,0.61,Medium,global
T1008,31,31,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.61,Medium,global
T1010,17,17,5,1.0,0.4,0.5714285714285714,2,0,3,0.61,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.61,Tail,global
T1012,88,88,25,0.6428571428571429,0.72,0.6792452830188679,18,10,7,0.61,Medium,global
T1014,19,19,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.61,Tail,global
T1016,182,182,52,0.7592592592592593,0.7884615384615384,0.7735849056603774,41,13,11,0.61,Head,global
T1018,40,40,12,1.0,0.5,0.6666666666666666,6,0,6,0.61,Medium,global
T1020,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.61,Tail,global
T1021,226,226,64,0.7540983606557377,0.71875,0.736,46,15,18,0.61,Head,global
T1025,18,18,5,0.5,0.2,0.2857142857142857,1,1,4,0.61,Tail,global
T1027,1105,1105,316,0.7529411764705882,0.810126582278481,0.7804878048780488,256,84,60,0.61,Head,global
T1029,12,12,4,0.5,0.5,0.5,2,2,2,0.61,Tail,global
T1030,9,9,3,1.0,0.6666666666666666,0.8,2,0,1,0.61,Tail,global
T1033,153,153,44,0.8333333333333334,0.7954545454545454,0.813953488372093,35,7,9,0.61,Head,global
T1036,280,280,80,0.6705882352941176,0.7125,0.6909090909090909,57,28,23,0.61,Head,global
T1037,32,32,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,1,2,8,0.61,Medium,global
T1039,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.61,Tail,global
