Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,0.9714285714285714,0.918918918918919,0.9444444444444444,34,1,3,0.6,Head,global
T1005,78,78,22,0.6666666666666666,0.45454545454545453,0.5405405405405406,10,5,12,0.6,Medium,global
T1012,29,29,8,1.0,0.375,0.5454545454545454,3,0,5,0.6,Medium,global
T1016,46,46,13,1.0,0.6923076923076923,0.8181818181818182,9,0,4,0.6,Medium,global
T1021,121,121,34,0.8108108108108109,0.8823529411764706,0.8450704225352113,30,7,4,0.6,Head,global
T1027,761,761,218,0.7839195979899497,0.7155963302752294,0.7482014388489209,156,43,62,0.6,Head,global
T1033,45,45,13,0.8,0.3076923076923077,0.4444444444444444,4,1,9,0.6,Medium,global
T1036,88,88,25,0.76,0.76,0.76,19,6,6,0.6,Medium,global
T1041,101,101,29,0.6296296296296297,0.5862068965517241,0.6071428571428571,17,10,12,0.6,Head,global
T1047,82,82,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.6,Medium,global
T1053,121,121,35,0.9666666666666667,0.8285714285714286,0.8923076923076924,29,1,6,0.6,Head,global
T1055,332,332,95,0.9101123595505618,0.8526315789473684,0.8804347826086957,81,8,14,0.6,Head,global
T1056,55,55,16,0.8823529411764706,0.9375,0.9090909090909091,15,2,1,0.6,Medium,global
T1057,82,82,24,0.8,0.8333333333333334,0.8163265306122449,20,5,4,0.6,Medium,global
T1059,325,325,93,0.6548672566371682,0.7956989247311828,0.7184466019417476,74,39,19,0.6,Head,global
T1068,11,11,3,1.0,0.6666666666666666,0.8,2,0,1,0.6,Tail,global
T1070,91,91,26,0.7037037037037037,0.7307692307692307,0.7169811320754716,19,8,7,0.6,Medium,global
T1071,178,178,51,0.8571428571428571,0.8235294117647058,0.84,42,7,9,0.6,Head,global
T1072,13,13,4,1.0,0.25,0.4,1,0,3,0.6,Tail,global
T1074,34,34,10,0.8333333333333334,0.5,0.625,5,1,5,0.6,Medium,global
T1078,194,194,56,0.6451612903225806,0.7142857142857143,0.6779661016949152,40,22,16,0.6,Head,global
T1082,128,128,36,0.75,0.5,0.6,18,6,18,0.6,Head,global
T1083,108,108,31,0.8518518518518519,0.7419354838709677,0.7931034482758621,23,4,8,0.6,Head,global
T1090,167,167,48,0.86,0.8958333333333334,0.8775510204081632,43,7,5,0.6,Head,global
T1095,60,60,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.6,Medium,global
T1105,311,311,89,0.8111111111111111,0.8202247191011236,0.8156424581005587,73,17,16,0.6,Head,global
T1106,222,222,64,0.631578947368421,0.75,0.6857142857142857,48,28,16,0.6,Head,global
T1110,63,63,18,0.9166666666666666,0.6111111111111112,0.7333333333333333,11,1,7,0.6,Medium,global
T1112,123,123,35,0.7560975609756098,0.8857142857142857,0.8157894736842105,31,10,4,0.6,Head,global
T1113,37,37,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,0.6,Medium,global
T1140,479,479,137,0.8923076923076924,0.8467153284671532,0.8689138576779026,116,14,21,0.6,Head,global
T1190,68,68,20,0.8421052631578947,0.8,0.8205128205128205,16,3,4,0.6,Medium,global
T1204,114,114,32,0.7857142857142857,0.6875,0.7333333333333333,22,6,10,0.6,Head,global
T1210,17,17,5,1.0,0.4,0.5714285714285714,2,0,3,0.6,Tail,global
T1218,59,59,17,0.8,0.9411764705882353,0.8648648648648649,16,4,1,0.6,Medium,global
T1219,68,68,19,0.9411764705882353,0.8421052631578947,0.8888888888888888,16,1,3,0.6,Medium,global
T1484,28,28,8,1.0,0.875,0.9333333333333333,7,0,1,0.6,Medium,global
T1518,43,43,12,0.7142857142857143,0.8333333333333334,0.7692307692307693,10,4,2,0.6,Medium,global
T1543,58,58,17,0.8,0.7058823529411765,0.75,12,3,5,0.6,Medium,global
T1547,80,80,23,0.9130434782608695,0.9130434782608695,0.9130434782608695,21,2,2,0.6,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.6,Medium,global
T1552,28,28,8,0.6666666666666666,0.75,0.7058823529411765,6,3,2,0.6,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.6,Tail,global
T1562,108,108,31,0.7878787878787878,0.8387096774193549,0.8125,26,7,5,0.6,Head,global
T1564,21,21,6,1.0,0.5,0.6666666666666666,3,0,3,0.6,Medium,global
T1566,107,107,31,0.9259259259259259,0.8064516129032258,0.8620689655172413,25,2,6,0.6,Head,global
T1569,26,26,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.6,Medium,global
T1570,73,73,21,0.7058823529411765,0.5714285714285714,0.631578947368421,12,5,9,0.6,Medium,global
T1573,72,72,21,0.65,0.6190476190476191,0.6341463414634146,13,7,8,0.6,Medium,global
T1574,88,88,25,0.9583333333333334,0.92,0.9387755102040817,23,1,2,0.6,Medium,global
