Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.4444444444444444,0.36363636363636365,0.4,4,5,7,0.6,Medium,global
T1003,237,237,68,0.8360655737704918,0.75,0.7906976744186046,51,10,17,0.6,Head,global
T1005,156,156,44,0.6428571428571429,0.6136363636363636,0.627906976744186,27,15,17,0.6,Head,global
T1006,3,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.6,Tail,global
T1007,34,78,10,0.875,0.7,0.7777777777777778,7,1,3,0.6,Medium,global
T1008,31,78,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.6,Medium,global
T1010,17,78,5,1.0,0.4,0.5714285714285714,2,0,3,0.6,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.6,Tail,global
T1012,88,88,25,0.76,0.76,0.76,19,6,6,0.6,Medium,global
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.6,Tail,global
T1016,182,182,52,0.6842105263157895,0.75,0.7155963302752294,39,18,13,0.6,Head,global
T1018,40,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.6,Medium,global
T1020,18,78,5,0.25,0.2,0.2222222222222222,1,3,4,0.6,Tail,global
T1021,226,226,64,0.7230769230769231,0.734375,0.7286821705426356,47,18,17,0.6,Head,global
T1025,18,78,5,0.2,0.2,0.2,1,4,4,0.6,Tail,global
T1027,1105,1110,316,0.7536656891495601,0.8132911392405063,0.7823439878234398,257,84,59,0.6,Head,global
T1029,12,78,4,0.2857142857142857,0.5,0.36363636363636365,2,5,2,0.6,Tail,global
T1030,9,78,3,1.0,1.0,1.0,3,0,0,0.6,Tail,global
T1033,153,153,44,0.8372093023255814,0.8181818181818182,0.8275862068965517,36,7,8,0.6,Head,global
T1036,280,280,80,0.7294117647058823,0.775,0.7515151515151515,62,23,18,0.6,Head,global
T1037,32,78,9,0.625,0.5555555555555556,0.5882352941176471,5,3,4,0.6,Medium,global
T1039,10,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.6,Tail,global
T1040,12,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.6,Tail,global
T1041,165,165,47,0.6382978723404256,0.6382978723404256,0.6382978723404256,30,17,17,0.6,Head,global
T1046,31,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.6,Medium,global
T1047,142,142,40,0.78,0.975,0.8666666666666667,39,11,1,0.6,Head,global
T1048,37,78,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.6,Medium,global
T1049,51,78,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,10,2,4,0.6,Medium,global
T1052,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.6,Tail,global
T1053,242,243,69,0.9253731343283582,0.8985507246376812,0.9117647058823529,62,5,7,0.6,Head,global
T1055,502,502,143,0.8848920863309353,0.8601398601398601,0.8723404255319149,123,16,20,0.6,Head,global
T1056,156,156,44,0.9047619047619048,0.8636363636363636,0.8837209302325582,38,4,6,0.6,Head,global
T1057,227,227,65,0.796875,0.7846153846153846,0.7906976744186046,51,13,14,0.6,Head,global
T1059,807,808,231,0.8,0.8138528138528138,0.8068669527896996,188,47,43,0.6,Head,global
T1068,37,78,11,0.75,0.5454545454545454,0.631578947368421,6,2,5,0.6,Medium,global
T1069,45,78,13,0.8181818181818182,0.6923076923076923,0.75,9,2,4,0.6,Medium,global
T1070,329,329,94,0.8217821782178217,0.8829787234042553,0.8512820512820513,83,18,11,0.6,Head,global
T1071,432,432,124,0.8307692307692308,0.8709677419354839,0.8503937007874016,108,22,16,0.6,Head,global
T1072,20,78,6,0.4444444444444444,0.6666666666666666,0.5333333333333333,4,5,2,0.6,Medium,global
T1074,103,103,29,0.75,0.6206896551724138,0.6792452830188679,18,6,11,0.6,Head,global
T1078,257,263,74,0.6904761904761905,0.7837837837837838,0.7341772151898734,58,26,16,0.6,Head,global
T1080,16,78,4,0.3333333333333333,0.25,0.2857142857142857,1,2,3,0.6,Tail,global
T1082,332,332,95,0.7978723404255319,0.7894736842105263,0.7936507936507936,75,19,20,0.6,Head,global
T1083,287,287,82,0.7558139534883721,0.7926829268292683,0.7738095238095238,65,21,17,0.6,Head,global
T1087,66,78,19,0.5882352941176471,0.5263157894736842,0.5555555555555556,10,7,9,0.6,Medium,global
T1090,254,254,73,0.8051948051948052,0.8493150684931506,0.8266666666666667,62,15,11,0.6,Head,global
T1091,17,78,5,0.3333333333333333,0.2,0.25,1,2,4,0.6,Tail,global
T1092,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.6,Tail,global
T1095,98,98,28,0.75,0.75,0.75,21,7,7,0.6,Medium,global
T1098,33,78,10,0.625,0.5,0.5555555555555556,5,3,5,0.6,Medium,global
T1102,71,78,20,0.7647058823529411,0.65,0.7027027027027027,13,4,7,0.6,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,1,3,0.6,Tail,global
T1105,547,547,156,0.7577639751552795,0.782051282051282,0.7697160883280757,122,39,34,0.6,Head,global
T1106,304,305,87,0.6403508771929824,0.8390804597701149,0.7263681592039801,73,41,14,0.6,Head,global
T1110,112,112,32,0.8387096774193549,0.8125,0.8253968253968254,26,5,6,0.6,Head,global
T1111,9,78,3,1.0,1.0,1.0,3,0,0,0.6,Tail,global
T1112,203,203,58,0.6818181818181818,0.7758620689655172,0.7258064516129032,45,21,13,0.6,Head,global
T1113,117,117,33,0.8823529411764706,0.9090909090909091,0.8955223880597015,30,4,3,0.6,Head,global
T1114,36,78,10,0.5714285714285714,0.4,0.47058823529411764,4,3,6,0.6,Medium,global
T1115,22,78,6,0.8571428571428571,1.0,0.9230769230769231,6,1,0,0.6,Medium,global
T1119,33,78,10,0.5,0.3,0.375,3,3,7,0.6,Medium,global
T1120,31,78,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,0.6,Medium,global
T1123,19,78,5,1.0,1.0,1.0,5,0,0,0.6,Tail,global
T1124,45,78,13,1.0,0.8461538461538461,0.9166666666666666,11,0,2,0.6,Medium,global
T1125,19,78,5,0.75,0.6,0.6666666666666666,3,1,2,0.6,Tail,global
T1127,9,78,3,1.0,0.3333333333333333,0.5,1,0,2,0.6,Tail,global
T1129,15,78,4,0.75,0.75,0.75,3,1,1,0.6,Tail,global
T1132,66,78,19,0.8823529411764706,0.7894736842105263,0.8333333333333334,15,2,4,0.6,Medium,global
T1133,26,78,8,0.6666666666666666,0.5,0.5714285714285714,4,2,4,0.6,Medium,global
T1134,52,78,15,0.8125,0.8666666666666667,0.8387096774193549,13,3,2,0.6,Medium,global
T1135,31,78,9,0.5454545454545454,0.6666666666666666,0.6,6,5,3,0.6,Medium,global
T1136,27,78,8,0.875,0.875,0.875,7,1,1,0.6,Medium,global
T1137,38,78,11,0.875,0.6363636363636364,0.7368421052631579,7,1,4,0.6,Medium,global
T1140,616,616,176,0.8888888888888888,0.8636363636363636,0.8760806916426513,152,19,24,0.6,Head,global
T1176,11,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.6,Tail,global
