Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.6200000047683716,Medium,minority_f2
T1003,237,237,68,0.8064516129032258,0.7352941176470589,0.7692307692307693,50,12,18,0.6200000047683716,Head,minority_f2
T1005,156,156,44,0.6585365853658537,0.6136363636363636,0.6352941176470588,27,14,17,0.6200000047683716,Head,minority_f2
T1006,3,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.28999999165534973,Tail,minority_f2
T1007,34,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.6200000047683716,Medium,minority_f2
T1008,31,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.6200000047683716,Medium,minority_f2
T1010,17,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.28999999165534973,Tail,minority_f2
T1011,5,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.28999999165534973,Tail,minority_f2
T1012,88,88,25,0.75,0.72,0.7346938775510204,18,6,7,0.6200000047683716,Medium,minority_f2
T1014,19,78,5,0.5555555555555556,1.0,0.7142857142857143,5,4,0,0.28999999165534973,Tail,minority_f2
T1016,182,182,52,0.7192982456140351,0.7884615384615384,0.7522935779816514,41,16,11,0.6200000047683716,Head,minority_f2
T1018,40,78,12,1.0,0.6666666666666666,0.8,8,0,4,0.6200000047683716,Medium,minority_f2
T1020,18,78,5,0.3333333333333333,0.4,0.36363636363636365,2,4,3,0.28999999165534973,Tail,minority_f2
T1021,226,226,64,0.7796610169491526,0.71875,0.7479674796747967,46,13,18,0.6200000047683716,Head,minority_f2
T1025,18,78,5,0.17391304347826086,0.8,0.2857142857142857,4,19,1,0.28999999165534973,Tail,minority_f2
T1027,1105,1110,316,0.7694610778443114,0.8132911392405063,0.7907692307692308,257,77,59,0.6200000047683716,Head,minority_f2
T1029,12,78,4,0.25,0.5,0.3333333333333333,2,6,2,0.28999999165534973,Tail,minority_f2
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.28999999165534973,Tail,minority_f2
T1033,153,153,44,0.8333333333333334,0.7954545454545454,0.813953488372093,35,7,9,0.6200000047683716,Head,minority_f2
T1036,280,280,80,0.7283950617283951,0.7375,0.7329192546583851,59,22,21,0.6200000047683716,Head,minority_f2
T1037,32,78,9,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,0.6200000047683716,Medium,minority_f2
T1039,10,78,3,0.21428571428571427,1.0,0.35294117647058826,3,11,0,0.28999999165534973,Tail,minority_f2
T1040,12,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.28999999165534973,Tail,minority_f2
T1041,165,165,47,0.6346153846153846,0.7021276595744681,0.6666666666666666,33,19,14,0.6200000047683716,Head,minority_f2
T1046,31,78,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,0.6200000047683716,Medium,minority_f2
T1047,142,142,40,0.7755102040816326,0.95,0.8539325842696629,38,11,2,0.6200000047683716,Head,minority_f2
T1048,37,78,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.6200000047683716,Medium,minority_f2
T1049,51,78,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,10,2,4,0.6200000047683716,Medium,minority_f2
T1052,10,78,3,0.08333333333333333,0.3333333333333333,0.13333333333333333,1,11,2,0.28999999165534973,Tail,minority_f2
T1053,242,243,69,0.9104477611940298,0.8840579710144928,0.8970588235294118,61,6,8,0.6200000047683716,Head,minority_f2
T1055,502,502,143,0.8732394366197183,0.8671328671328671,0.8701754385964913,124,18,19,0.6200000047683716,Head,minority_f2
T1056,156,156,44,0.9069767441860465,0.8863636363636364,0.896551724137931,39,4,5,0.6200000047683716,Head,minority_f2
T1057,227,227,65,0.8166666666666667,0.7538461538461538,0.784,49,11,16,0.6200000047683716,Head,minority_f2
T1059,807,808,231,0.8103448275862069,0.8138528138528138,0.8120950323974082,188,44,43,0.6200000047683716,Head,minority_f2
T1068,37,78,11,0.5625,0.8181818181818182,0.6666666666666666,9,7,2,0.6200000047683716,Medium,minority_f2
T1069,45,78,13,1.0,0.6153846153846154,0.7619047619047619,8,0,5,0.6200000047683716,Medium,minority_f2
T1070,329,329,94,0.7610619469026548,0.9148936170212766,0.8309178743961353,86,27,8,0.6200000047683716,Head,minority_f2
T1071,432,432,124,0.8548387096774194,0.8548387096774194,0.8548387096774194,106,18,18,0.6200000047683716,Head,minority_f2
T1072,20,78,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.6200000047683716,Medium,minority_f2
T1074,103,103,29,0.85,0.5862068965517241,0.6938775510204082,17,3,12,0.6200000047683716,Head,minority_f2
T1078,257,263,74,0.7916666666666666,0.7702702702702703,0.7808219178082192,57,15,17,0.6200000047683716,Head,minority_f2
T1080,16,78,4,0.2,0.5,0.2857142857142857,2,8,2,0.28999999165534973,Tail,minority_f2
T1082,332,332,95,0.8,0.7578947368421053,0.7783783783783784,72,18,23,0.6200000047683716,Head,minority_f2
T1083,287,287,82,0.7222222222222222,0.7926829268292683,0.7558139534883721,65,25,17,0.6200000047683716,Head,minority_f2
T1087,66,78,19,0.5625,0.47368421052631576,0.5142857142857142,9,7,10,0.6200000047683716,Medium,minority_f2
T1090,254,254,73,0.8,0.8767123287671232,0.8366013071895425,64,16,9,0.6200000047683716,Head,minority_f2
T1091,17,78,5,0.4444444444444444,0.8,0.5714285714285714,4,5,1,0.28999999165534973,Tail,minority_f2
T1092,4,78,1,0.3333333333333333,1.0,0.5,1,2,0,0.28999999165534973,Tail,minority_f2
T1095,98,98,28,0.8,0.8571428571428571,0.8275862068965517,24,6,4,0.6200000047683716,Medium,minority_f2
T1098,33,78,10,0.8333333333333334,0.5,0.625,5,1,5,0.6200000047683716,Medium,minority_f2
T1102,71,78,20,0.6470588235294118,0.55,0.5945945945945946,11,6,9,0.6200000047683716,Medium,minority_f2
T1104,12,78,3,0.25,0.6666666666666666,0.36363636363636365,2,6,1,0.28999999165534973,Tail,minority_f2
T1105,547,547,156,0.8263888888888888,0.7628205128205128,0.7933333333333333,119,25,37,0.6200000047683716,Head,minority_f2
T1106,304,305,87,0.6842105263157895,0.7471264367816092,0.7142857142857143,65,30,22,0.6200000047683716,Head,minority_f2
T1110,112,112,32,0.8125,0.8125,0.8125,26,6,6,0.6200000047683716,Head,minority_f2
T1111,9,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.28999999165534973,Tail,minority_f2
T1112,203,203,58,0.7931034482758621,0.7931034482758621,0.7931034482758621,46,12,12,0.6200000047683716,Head,minority_f2
T1113,117,117,33,0.7894736842105263,0.9090909090909091,0.8450704225352113,30,8,3,0.6200000047683716,Head,minority_f2
T1114,36,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.6200000047683716,Medium,minority_f2
T1115,22,78,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.6200000047683716,Medium,minority_f2
T1119,33,78,10,0.5714285714285714,0.4,0.47058823529411764,4,3,6,0.6200000047683716,Medium,minority_f2
T1120,31,78,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.6200000047683716,Medium,minority_f2
T1123,19,78,5,0.625,1.0,0.7692307692307693,5,3,0,0.28999999165534973,Tail,minority_f2
T1124,45,78,13,1.0,0.8461538461538461,0.9166666666666666,11,0,2,0.6200000047683716,Medium,minority_f2
T1125,19,78,5,0.42857142857142855,0.6,0.5,3,4,2,0.28999999165534973,Tail,minority_f2
T1127,9,78,3,0.2857142857142857,0.6666666666666666,0.4,2,5,1,0.28999999165534973,Tail,minority_f2
T1129,15,78,4,0.21428571428571427,0.75,0.3333333333333333,3,11,1,0.28999999165534973,Tail,minority_f2
T1132,66,78,19,0.9444444444444444,0.8947368421052632,0.918918918918919,17,1,2,0.6200000047683716,Medium,minority_f2
T1133,26,78,8,0.75,0.375,0.5,3,1,5,0.6200000047683716,Medium,minority_f2
T1134,52,78,15,0.7058823529411765,0.8,0.75,12,5,3,0.6200000047683716,Medium,minority_f2
T1135,31,78,9,0.5833333333333334,0.7777777777777778,0.6666666666666666,7,5,2,0.6200000047683716,Medium,minority_f2
T1136,27,78,8,0.75,0.75,0.75,6,2,2,0.6200000047683716,Medium,minority_f2
T1137,38,78,11,1.0,0.7272727272727273,0.8421052631578947,8,0,3,0.6200000047683716,Medium,minority_f2
T1140,616,616,176,0.9113924050632911,0.8181818181818182,0.8622754491017964,144,14,32,0.6200000047683716,Head,minority_f2
T1176,11,78,3,0.3333333333333333,1.0,0.5,3,6,0,0.28999999165534973,Tail,minority_f2
T1185,15,78,4,0.2222222222222222,0.5,0.3076923076923077,2,7,2,0.28999999165534973,Tail,minority_f2
T1187,12,78,4,0.18181818181818182,0.5,0.26666666666666666,2,9,2,0.28999999165534973,Tail,minority_f2
T1189,37,78,10,0.5714285714285714,0.4,0.47058823529411764,4,3,6,0.6200000047683716,Medium,minority_f2
T1190,88,88,25,0.9130434782608695,0.84,0.875,21,2,4,0.6200000047683716,Medium,minority_f2
T1195,19,78,6,0.2727272727272727,0.5,0.35294117647058826,3,8,3,0.28999999165534973,Tail,minority_f2
T1197,15,78,4,0.3333333333333333,1.0,0.5,4,8,0,0.28999999165534973,Tail,minority_f2
T1199,8,78,2,0.14285714285714285,0.5,0.2222222222222222,1,6,1,0.28999999165534973,Tail,minority_f2
T1200,3,78,1,0.0,0.0,0.0,0,2,1,0.28999999165534973,Tail,minority_f2
T1201,7,78,2,0.2,0.5,0.2857142857142857,1,4,1,0.28999999165534973,Tail,minority_f2
T1202,3,78,1,0.0,0.0,0.0,0,1,1,0.28999999165534973,Tail,minority_f2
T1203,44,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.6200000047683716,Medium,minority_f2
T1204,244,244,70,0.8142857142857143,0.8142857142857143,0.8142857142857143,57,13,13,0.6200000047683716,Head,minority_f2
T1205,20,78,6,1.0,0.6666666666666666,0.8,4,0,2,0.6200000047683716,Medium,minority_f2
T1207,5,78,2,0.0,0.0,0.0,0,0,2,0.28999999165534973,Tail,minority_f2
T1210,33,78,10,0.625,0.5,0.5555555555555556,5,3,5,0.6200000047683716,Medium,minority_f2
T1211,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.28999999165534973,Tail,minority_f2
T1212,3,78,1,1.0,1.0,1.0,1,0,0,0.28999999165534973,Tail,minority_f2
T1213,17,78,5,0.25,0.6,0.35294117647058826,3,9,2,0.28999999165534973,Tail,minority_f2
T1216,10,78,3,0.2,0.3333333333333333,0.25,1,4,2,0.28999999165534973,Tail,minority_f2
T1217,8,78,2,0.2,0.5,0.2857142857142857,1,4,1,0.28999999165534973,Tail,minority_f2
T1218,225,225,64,0.9137931034482759,0.828125,0.8688524590163934,53,5,11,0.6200000047683716,Head,minority_f2
T1219,86,86,24,0.85,0.7083333333333334,0.7727272727272727,17,3,7,0.6200000047683716,Medium,minority_f2
T1220,10,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.28999999165534973,Tail,minority_f2
T1221,13,78,4,0.18181818181818182,0.5,0.26666666666666666,2,9,2,0.28999999165534973,Tail,minority_f2
T1222,25,78,7,0.25,0.14285714285714285,0.18181818181818182,1,3,6,0.6200000047683716,Medium,minority_f2
T1480,24,78,7,0.8,0.5714285714285714,0.6666666666666666,4,1,3,0.6200000047683716,Medium,minority_f2
T1482,10,78,3,0.25,1.0,0.4,3,9,0,0.28999999165534973,Tail,minority_f2
T1484,49,78,14,0.75,0.6428571428571429,0.6923076923076923,9,3,5,0.6200000047683716,Medium,minority_f2
T1485,17,78,5,0.36363636363636365,0.8,0.5,4,7,1,0.28999999165534973,Tail,minority_f2
T1486,37,78,11,1.0,0.45454545454545453,0.625,5,0,6,0.6200000047683716,Medium,minority_f2
T1489,22,78,6,0.5714285714285714,0.6666666666666666,0.6153846153846154,4,3,2,0.6200000047683716,Medium,minority_f2
T1490,19,78,6,0.5454545454545454,1.0,0.7058823529411765,6,5,0,0.28999999165534973,Tail,minority_f2
T1491,9,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.28999999165534973,Tail,minority_f2
T1495,3,78,1,0.0,0.0,0.0,0,2,1,0.28999999165534973,Tail,minority_f2
T1496,12,78,4,0.5,0.75,0.6,3,3,1,0.28999999165534973,Tail,minority_f2
T1497,84,84,24,0.43478260869565216,0.4166666666666667,0.425531914893617,10,13,14,0.6200000047683716,Medium,minority_f2
T1498,23,78,6,0.0,0.0,0.0,0,4,6,0.6200000047683716,Medium,minority_f2
T1499,34,78,10,0.4,0.2,0.26666666666666666,2,3,8,0.6200000047683716,Medium,minority_f2
T1505,48,78,14,0.8333333333333334,0.7142857142857143,0.7692307692307693,10,2,4,0.6200000047683716,Medium,minority_f2
T1518,128,128,37,0.6222222222222222,0.7567567567567568,0.6829268292682927,28,17,9,0.6200000047683716,Head,minority_f2
T1525,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.28999999165534973,Tail,minority_f2
T1526,4,78,1,0.0,0.0,0.0,0,1,1,0.28999999165534973,Tail,minority_f2
T1528,9,78,2,0.0,0.0,0.0,0,4,2,0.28999999165534973,Tail,minority_f2
T1529,11,78,3,0.375,1.0,0.5454545454545454,3,5,0,0.28999999165534973,Tail,minority_f2
T1530,6,78,2,0.14285714285714285,0.5,0.2222222222222222,1,6,1,0.28999999165534973,Tail,minority_f2
T1531,3,78,1,0.0,0.0,0.0,0,0,1,0.28999999165534973,Tail,minority_f2
T1534,7,78,2,0.2,0.5,0.2857142857142857,1,4,1,0.28999999165534973,Tail,minority_f2
T1535,5,78,2,0.3333333333333333,0.5,0.4,1,2,1,0.28999999165534973,Tail,minority_f2
T1537,3,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.28999999165534973,Tail,minority_f2
T1538,3,78,1,0.0,0.0,0.0,0,3,1,0.28999999165534973,Tail,minority_f2
T1539,12,78,4,0.4444444444444444,1.0,0.6153846153846154,4,5,0,0.28999999165534973,Tail,minority_f2
T1542,29,78,8,1.0,0.375,0.5454545454545454,3,0,5,0.6200000047683716,Medium,minority_f2
T1543,181,182,52,0.7678571428571429,0.8269230769230769,0.7962962962962963,43,13,9,0.6200000047683716,Head,minority_f2
T1546,122,122,35,0.782608695652174,0.5142857142857142,0.6206896551724138,18,5,17,0.6200000047683716,Head,minority_f2
T1547,338,338,96,0.7647058823529411,0.8125,0.7878787878787878,78,24,18,0.6200000047683716,Head,minority_f2
T1548,92,92,26,0.8181818181818182,0.6923076923076923,0.75,18,4,8,0.6200000047683716,Medium,minority_f2
T1550,44,78,13,0.5333333333333333,0.6153846153846154,0.5714285714285714,8,7,5,0.6200000047683716,Medium,minority_f2
T1552,86,86,25,0.5185185185185185,0.56,0.5384615384615384,14,13,11,0.6200000047683716,Medium,minority_f2
T1553,98,98,28,0.7619047619047619,0.5714285714285714,0.6530612244897959,16,5,12,0.6200000047683716,Medium,minority_f2
T1554,11,78,3,0.3,1.0,0.46153846153846156,3,7,0,0.28999999165534973,Tail,minority_f2
T1555,99,99,28,0.6666666666666666,0.6428571428571429,0.6545454545454545,18,9,10,0.6200000047683716,Medium,minority_f2
T1556,30,78,8,0.5,0.375,0.42857142857142855,3,3,5,0.6200000047683716,Medium,minority_f2
T1557,31,78,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,0.6200000047683716,Medium,minority_f2
T1558,37,78,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.6200000047683716,Medium,minority_f2
T1559,33,78,10,0.8,0.8,0.8,8,2,2,0.6200000047683716,Medium,minority_f2
T1560,98,98,28,0.68,0.6071428571428571,0.6415094339622641,17,8,11,0.6200000047683716,Medium,minority_f2
T1561,22,78,6,0.6,0.5,0.5454545454545454,3,2,3,0.6200000047683716,Medium,minority_f2
T1562,230,231,66,0.704225352112676,0.7575757575757576,0.7299270072992701,50,21,16,0.6200000047683716,Head,minority_f2
T1563,16,78,5,0.13333333333333333,0.4,0.2,2,13,3,0.28999999165534973,Tail,minority_f2
T1564,140,140,40,0.7058823529411765,0.6,0.6486486486486487,24,10,16,0.6200000047683716,Head,minority_f2
T1565,16,78,5,0.16666666666666666,0.2,0.18181818181818182,1,5,4,0.28999999165534973,Tail,minority_f2
T1566,242,244,69,0.8194444444444444,0.855072463768116,0.8368794326241135,59,13,10,0.6200000047683716,Head,minority_f2
T1567,19,78,6,0.23076923076923078,0.5,0.3157894736842105,3,10,3,0.28999999165534973,Tail,minority_f2
T1568,38,78,11,0.6666666666666666,0.5454545454545454,0.6,6,3,5,0.6200000047683716,Medium,minority_f2
T1569,68,78,20,0.5333333333333333,0.4,0.45714285714285713,8,7,12,0.6200000047683716,Medium,minority_f2
T1570,87,90,25,0.68,0.68,0.68,17,8,8,0.6200000047683716,Medium,minority_f2
T1571,23,78,7,0.6666666666666666,0.5714285714285714,0.6153846153846154,4,2,3,0.6200000047683716,Medium,minority_f2
T1572,14,78,4,0.18181818181818182,1.0,0.3076923076923077,4,18,0,0.28999999165534973,Tail,minority_f2
T1573,206,206,59,0.7966101694915254,0.7966101694915254,0.7966101694915254,47,12,12,0.6200000047683716,Head,minority_f2
T1574,217,217,62,0.7704918032786885,0.7580645161290323,0.7642276422764228,47,14,15,0.6200000047683716,Head,minority_f2
T1578,13,78,4,0.2222222222222222,0.5,0.3076923076923077,2,7,2,0.28999999165534973,Tail,minority_f2
T1580,7,78,2,0.0,0.0,0.0,0,4,2,0.28999999165534973,Tail,minority_f2
T1583,52,78,15,0.625,0.3333333333333333,0.43478260869565216,5,3,10,0.6200000047683716,Medium,minority_f2
T1584,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.6200000047683716,Medium,minority_f2
T1585,25,78,7,0.7777777777777778,1.0,0.875,7,2,0,0.6200000047683716,Medium,minority_f2
T1586,19,78,6,0.38461538461538464,0.8333333333333334,0.5263157894736842,5,8,1,0.28999999165534973,Tail,minority_f2
