Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.6899999976158142,Head,minority_f2
T1005,78,115,22,0.6470588235294118,0.5,0.5641025641025641,11,6,11,0.6899999976158142,Medium,minority_f2
T1012,29,116,8,1.0,0.5,0.6666666666666666,4,0,4,0.6899999976158142,Medium,minority_f2
T1016,46,115,13,0.9,0.6923076923076923,0.782608695652174,9,1,4,0.6899999976158142,Medium,minority_f2
T1021,121,128,34,0.875,0.8235294117647058,0.8484848484848485,28,4,6,0.6899999976158142,Head,minority_f2
T1027,761,791,218,0.8415841584158416,0.7798165137614679,0.8095238095238095,170,32,48,0.6899999976158142,Head,minority_f2
T1033,45,118,13,0.75,0.46153846153846156,0.5714285714285714,6,2,7,0.6899999976158142,Medium,minority_f2
T1036,88,114,25,0.7894736842105263,0.6,0.6818181818181818,15,4,10,0.6899999976158142,Medium,minority_f2
T1041,101,114,29,0.6538461538461539,0.5862068965517241,0.6181818181818182,17,9,12,0.6899999976158142,Head,minority_f2
T1047,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.6899999976158142,Medium,minority_f2
T1053,121,125,35,1.0,0.8285714285714286,0.90625,29,0,6,0.6899999976158142,Head,minority_f2
T1055,332,340,95,0.9310344827586207,0.8526315789473684,0.8901098901098901,81,6,14,0.6899999976158142,Head,minority_f2
T1056,55,115,16,0.9375,0.9375,0.9375,15,1,1,0.6899999976158142,Medium,minority_f2
T1057,82,114,24,0.8333333333333334,0.8333333333333334,0.8333333333333334,20,4,4,0.6899999976158142,Medium,minority_f2
T1059,325,363,93,0.7368421052631579,0.7526881720430108,0.7446808510638298,70,25,23,0.6899999976158142,Head,minority_f2
T1068,11,114,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.38999998569488525,Tail,minority_f2
T1070,91,114,26,0.7857142857142857,0.8461538461538461,0.8148148148148148,22,6,4,0.6899999976158142,Medium,minority_f2
T1071,178,184,51,0.8653846153846154,0.8823529411764706,0.8737864077669902,45,7,6,0.6899999976158142,Head,minority_f2
T1072,13,114,4,0.25,0.25,0.25,1,3,3,0.38999998569488525,Tail,minority_f2
T1074,34,119,10,1.0,0.5,0.6666666666666666,5,0,5,0.6899999976158142,Medium,minority_f2
T1078,194,217,56,0.8085106382978723,0.6785714285714286,0.7378640776699029,38,9,18,0.6899999976158142,Head,minority_f2
T1082,128,173,36,0.8260869565217391,0.5277777777777778,0.6440677966101694,19,4,17,0.6899999976158142,Head,minority_f2
T1083,108,120,31,0.8888888888888888,0.7741935483870968,0.8275862068965517,24,3,7,0.6899999976158142,Head,minority_f2
