Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.8,0.36363636363636365,0.5,4,1,7,0.6,Medium,global
T1003,107,107,30,0.7894736842105263,0.5,0.6122448979591837,15,4,15,0.6,Head,global
T1005,78,78,22,0.6521739130434783,0.6818181818181818,0.6666666666666666,15,8,7,0.6,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.6,Tail,global
T1007,34,48,10,0.875,0.7,0.7777777777777778,7,1,3,0.6,Medium,global
T1008,31,48,9,0.75,0.6666666666666666,0.7058823529411765,6,2,3,0.6,Medium,global
T1010,17,48,5,1.0,0.6,0.75,3,0,2,0.6,Tail,global
T1011,5,48,2,1.0,1.0,1.0,2,0,0,0.6,Tail,global
T1012,59,59,17,0.6875,0.6470588235294118,0.6666666666666666,11,5,6,0.6,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.6,Tail,global
T1016,136,136,39,0.7894736842105263,0.7692307692307693,0.7792207792207793,30,8,9,0.6,Head,global
T1018,40,48,12,0.6,0.5,0.5454545454545454,6,4,6,0.6,Medium,global
T1020,18,48,5,0.3333333333333333,0.4,0.36363636363636365,2,4,3,0.6,Tail,global
T1021,105,105,30,0.7096774193548387,0.7333333333333333,0.7213114754098361,22,9,8,0.6,Head,global
T1025,18,48,5,0.5,0.8,0.6153846153846154,4,4,1,0.6,Tail,global
T1027,344,344,98,0.75,0.8877551020408163,0.8130841121495327,87,29,11,0.6,Head,global
T1029,12,48,4,0.0,0.0,0.0,0,1,4,0.6,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.6,Tail,global
T1033,108,108,31,0.6829268292682927,0.9032258064516129,0.7777777777777778,28,13,3,0.6,Head,global
T1036,192,192,55,0.8571428571428571,0.7636363636363637,0.8076923076923077,42,7,13,0.6,Head,global
T1037,32,48,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.6,Medium,global
T1039,10,48,3,0.5,0.3333333333333333,0.4,1,1,2,0.6,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.6,Tail,global
T1041,64,64,18,0.6190476190476191,0.7222222222222222,0.6666666666666666,13,8,5,0.6,Medium,global
T1046,31,48,9,0.5384615384615384,0.7777777777777778,0.6363636363636364,7,6,2,0.6,Medium,global
